train/RL_loss,time/fps,train/critic_loss,train/MSE_losses,train/MSE_loss,train/Main_losses,time/total_timesteps,train/Beta,train/ent_coef_loss,train/n_updates,time/time_elapsed,train/critic_los,train/loss,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/actor_loss,train/ent_coef,rollout/ep_len_mean
11.98904037475586,100,0.6857798099517822,1.795919418334961,1.795919418334961,27.441131591796875,800,0.8604,-0.032371360808610916,699,7,0.6857798099517822,27.441131591796875,-478.28798225,4,0.001,11.98904037475586,0.7045508623123169,200.0
17.47874641418457,93,0.637708842754364,1.5586005449295044,1.5586005449295044,28.395183563232422,1600,0.7004,-0.10512913763523102,1499,17,0.637708842754364,28.395183563232422,-329.20627575000003,8,0.001,17.47874641418457,0.5534071922302246,200.0
17.117786407470703,91,0.5197122097015381,1.66889226436615,1.66889226436615,26.1364803314209,2400,0.5404,-0.05792282894253731,2299,26,0.5197122097015381,26.1364803314209,-279.31880625,12,0.001,17.117786407470703,0.45575934648513794,200.0
20.770374298095703,90,0.31897783279418945,1.6299325227737427,1.6299325227737427,26.970638275146484,3200,0.3804,-0.07437343150377274,3099,35,0.31897783279418945,26.970638275146484,-232.859557375,16,0.001,20.770374298095703,0.3417251706123352,200.0
21.853153228759766,89,0.3838735818862915,1.5394197702407837,1.5394197702407837,25.246034622192383,4000,0.2204,-0.08355972170829773,3899,44,0.3838735818862915,25.246034622192383,-199.04963705,20,0.001,21.853153228759766,0.2245815098285675,200.0
24.499549865722656,89,0.4512205123901367,1.5947273969650269,1.5947273969650269,25.462764739990234,4800,0.0604,-0.7519768476486206,4699,53,0.4512205123901367,25.462764739990234,-203.4001805833333,24,0.001,24.499549865722656,0.10934103280305862,200.0
18.620332717895508,89,0.6056968569755554,1.9192438125610352,1.9192438125610352,18.620332717895508,5600,0,-1.456784725189209,5499,62,0.6056968569755554,18.620332717895508,-191.60465039285714,28,0.001,18.620332717895508,0.02921518310904503,200.0
22.23405647277832,88,0.8295185565948486,1.7084487676620483,1.7084487676620483,22.23405647277832,6400,0,0.5988894104957581,6299,71,0.8295185565948486,22.23405647277832,-187.076522625,32,0.001,22.23405647277832,0.018044453114271164,200.0
22.864025115966797,88,0.7366682291030884,1.9235281944274902,1.9235281944274902,22.864025115966797,7200,0,0.7105884552001953,7099,81,0.7366682291030884,22.864025115966797,-183.08747913888888,36,0.001,22.864025115966797,0.021042948588728905,200.0
23.003658294677734,88,0.723641574382782,1.978426456451416,1.978426456451416,23.003658294677734,8000,0,-0.5459317564964294,7899,90,0.723641574382782,23.003658294677734,-183.18386942499998,40,0.001,23.003658294677734,0.021578781306743622,200.0
21.838796615600586,88,0.9790226221084595,2.131070137023926,2.131070137023926,21.838796615600586,8800,0,0.16120555996894836,8699,99,0.9790226221084595,21.838796615600586,-179.9489626363636,44,0.001,21.838796615600586,0.016328787431120872,200.0
23.269277572631836,88,0.46304070949554443,2.0199742317199707,2.0199742317199707,23.269277572631836,9600,0,-0.05965517461299896,9499,108,0.46304070949554443,23.269277572631836,-174.16533129166666,48,0.001,23.269277572631836,0.020543159916996956,200.0
18.604934692382812,88,0.3818756639957428,1.9852526187896729,1.9852526187896729,18.604934692382812,10400,0,-0.05981849133968353,10299,117,0.3818756639957428,18.604934692382812,-170.51533651923077,52,0.001,18.604934692382812,0.021773457527160645,200.0
17.672618865966797,88,0.29999059438705444,2.0506479740142822,2.0506479740142822,17.672618865966797,11200,0,-0.4170379340648651,11099,127,0.29999059438705444,17.672618865966797,-162.9610178214286,56,0.001,17.672618865966797,0.018495695665478706,200.0
17.8624267578125,88,0.7061243057250977,1.9324193000793457,1.9324193000793457,17.8624267578125,12000,0,-1.0113232135772705,11899,136,0.7061243057250977,17.8624267578125,-165.19946335,60,0.001,17.8624267578125,0.015996307134628296,200.0
14.461244583129883,88,0.36995771527290344,2.1614646911621094,2.1614646911621094,14.461244583129883,12800,0,-0.5190480351448059,12699,145,0.36995771527290344,14.461244583129883,-164.088080890625,64,0.001,14.461244583129883,0.016010774299502373,200.0
14.890335083007812,88,0.28380438685417175,2.168001890182495,2.168001890182495,14.890335083007812,13600,0,0.03214138746261597,13499,154,0.28380438685417175,14.890335083007812,-159.77369011764705,68,0.001,14.890335083007812,0.012503433041274548,200.0
17.95595932006836,88,0.3733312487602234,2.195260524749756,2.195260524749756,17.95595932006836,14400,0,0.1748320460319519,14299,163,0.3733312487602234,17.95595932006836,-160.56393347222223,72,0.001,17.95595932006836,0.012309162877500057,200.0
16.585979461669922,88,0.26949214935302734,1.9723353385925293,1.9723353385925293,16.585979461669922,15200,0,-0.2625123858451843,15099,172,0.26949214935302734,16.585979461669922,-157.1529672763158,76,0.001,16.585979461669922,0.010806701146066189,200.0
17.11225128173828,87,0.4488169550895691,1.9576104879379272,1.9576104879379272,17.11225128173828,16000,0,0.017985790967941284,15899,181,0.4488169550895691,17.11225128173828,-155.5038144375,80,0.001,17.11225128173828,0.010127920657396317,200.0
17.22819709777832,87,0.7464362978935242,2.002286672592163,2.002286672592163,17.22819709777832,16800,0,1.4154744148254395,16699,190,0.7464362978935242,17.22819709777832,-152.45963665476194,84,0.001,17.22819709777832,0.009930617175996304,200.0
20.16537094116211,87,0.5190549492835999,2.0416605472564697,2.0416605472564697,20.16537094116211,17600,0,-0.26596570014953613,17499,200,0.5190549492835999,20.16537094116211,-152.26042360227274,88,0.001,20.16537094116211,0.011217067018151283,200.0
