time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,train/actor_loss,train/Beta,train/MSE_loss,train/n_updates,train/MSE_losses,train/RL_loss,train/learning_rate,train/loss,train/Main_losses,train/critic_loss,train/critic_los
4,2727,-121.4823545,1,2016,681.75,,,,,,,,,,,
8,9127,-104.119676125,4,1992,1140.875,,,,,,,,,,,
12,12197,-99.26695733333332,20,590,1016.4166666666666,0.5999443148145612,0.98,15.168990135192871,2382,8.521040925916457,0.6666226983070374,0.001,15.532234191894531,8.95056459287934,4.1548656021672645,0.06859351694583893
16,17546,-75.80927274999999,51,341,1096.625,1.9471200048923492,0.972,8.35526180267334,6929,7.187457112371922,1.9045313596725464,0.001,10.025845527648926,8.933328344523908,2.59698599641677,0.13713155686855316
20,19765,-76.39080804999999,65,301,988.25,2.4655549308305145,0.964,2.928053617477417,9038,7.074652425704464,2.1990764141082764,0.001,5.021719932556152,9.285519774242115,1.5026776551479293,0.16684028506278992
24,22784,-66.98012545833333,87,259,949.3333333333334,2.9203187842774234,0.956,9.88740062713623,12432,6.7638557331234805,2.4458675384521484,0.001,11.898221969604492,9.386564700432073,0.8817203652868474,0.1107964813709259
28,24816,-71.00791164285714,104,237,886.2857142857143,2.998593804347946,0.948,8.76962661743164,15032,6.024704495928989,2.356571674346924,0.001,10.670177459716797,8.710013741675425,0.8229570745600389,0.9710286855697632
32,26896,-71.74203925,112,238,840.5,3.1013942737328377,0.94,16.04196548461914,16169,6.196668844473989,3.424947500228882,0.001,18.50439453125,8.926262937094036,1.6559207930572724,0.19524431228637695
36,29460,-71.84697961111111,138,213,818.3333333333334,2.84886740843455,0.932,4.814184665679932,20178,5.887063148286607,2.2933859825134277,0.001,6.780206203460693,8.335610177781847,0.5670944893525707,0.12257665395736694
40,30500,-71.773622125,144,210,762.5,2.7330647607974434,0.924,3.2725956439971924,21172,5.947907014146596,2.7086503505706787,0.001,5.7325286865234375,8.228930988185034,0.9102159281588236,0.14797736704349518
44,32785,-63.89432918181817,152,214,745.1136363636364,2.688887099636362,0.916,12.100897789001465,22161,5.834279478864467,3.0390877723693848,0.001,14.123510360717773,8.033087164797681,0.7761615710999985,0.11204326152801514
48,36474,-51.14666091666667,176,206,759.875,1.7324764202488587,0.908,10.253280639648438,25747,5.565160546153784,1.0617996454238892,0.001,10.37177848815918,6.7856421640515325,0.8974835347523913,0.1858263909816742
52,38180,-48.883442634615385,191,199,734.2307692307693,1.046675561593651,0.9,2.4485390186309814,28117,5.448632658417545,0.4370970129966736,0.001,2.640782117843628,5.950444822435949,0.4208183064222781,0.15145808458328247
56,39807,-44.89951080357144,207,192,710.8392857142857,0.8548038606950572,0.892,7.928689002990723,30590,5.312141602723757,0.7451006770133972,0.001,7.817491054534912,5.5932342703410125,0.677046086198477,0.15334761142730713
60,40542,-46.54217823333334,211,191,675.7,0.9434769199540217,0.884,2.5632269382476807,31270,5.670135150353114,2.3779101371765137,0.001,4.643802642822266,5.955876422921817,0.8801572081171164,0.24777516722679138
64,41933,-44.972121046875,221,189,655.203125,0.7664132638715498,0.876,5.8990654945373535,32674,5.368403962863389,0.47365233302116394,0.001,5.641233444213867,5.469135057797996,0.6392986101967526,0.13461259007453918
68,42801,-45.898151691176466,225,189,629.4264705882352,1.0087299845874944,0.868,6.247420310974121,33375,5.901464502862159,1.851493000984192,0.001,7.2742533683776855,6.13120099902153,0.6479997895261709,0.4561120271682739
72,43379,-48.110098416666666,230,187,602.4861111111111,1.0832995489612223,0.86,2.5951995849609375,34122,5.744536258379618,0.2193497270345688,0.001,2.451221227645874,6.023600811163584,0.7563731666879366,0.3719176948070526
76,44118,-49.71899409210526,235,187,580.5,0.9591459231968555,0.852,5.242542743682861,34858,5.694847356941965,-0.35309866070747375,0.001,4.113547325134277,5.8111558953921,1.076317683276203,0.21089306473731995
80,45266,-49.0575820625,242,186,565.825,1.2519379374394948,0.844,4.1548895835876465,35794,5.667638703294703,-0.19894751906394958,0.001,3.307779312133789,6.035424880723696,0.9823289827720539,0.29438871145248413
