rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/episodes,train/learning_rate,train/MSE_loss,train/MSE_losses,train/Beta,train/n_updates,train/critic_loss,train/critic_los,train/loss,train/actor_loss,train/RL_loss,train/Main_losses
15.0,3710,15.0,60,0,4,,,,,,,,,,,
20.75,475,20.75,166,0,8,0.001,0.2676389515399933,0.27917728974268985,0.988,48,0.013647855874150992,0.004958609119057655,1.6232304573059082,-0.9878662687081557,-1.0210423469543457,1.7704053750404944
95.83333333333333,295,95.83333333333333,1150,3,12,0.001,0.277748167514801,0.25704040424898267,0.98,565,0.017436048696254147,0.010884525254368782,0.49297571182250977,-1.9768007947131991,-2.228956460952759,0.5421952130272985
187.9375,192,187.9375,3007,15,16,0.001,0.2892191708087921,0.2537485044598579,0.972,2422,0.07078450677543878,0.08404020965099335,-3.2296440601348877,-5.480695360183716,-6.040854454040527,-3.0142598276138304
237.3,178,237.3,4746,26,20,0.001,0.19995459914207458,0.25901704756398275,0.964,4161,0.14293616161096928,0.17206458747386932,-7.455667018890381,-9.040455798411,-9.38322925567627,-6.543531365962844
281.0833333333333,172,281.0833333333333,6746,39,24,0.001,0.24787375330924988,0.25220129144191744,0.956,6161,0.11344463573023676,0.2202693521976471,-10.82431411743164,-12.9720747756958,-13.193986892700195,-10.561030349731446
312.35714285714283,168,312.35714285714283,8746,51,28,0.001,0.3145539164543152,0.25242035937309265,0.948,8161,0.11582404307648539,0.15157164633274078,-14.320605278015137,-16.90784348297119,-17.302576065063477,-14.514898593902588
335.8125,166,335.8125,10746,64,32,0.001,0.24178683757781982,0.25011028558015824,0.94,10161,0.118396039750427,0.027032531797885895,-18.77317237854004,-20.639843688964845,-21.045969009399414,-18.28880711364746
354.05555555555554,165,354.05555555555554,12746,76,36,0.001,0.24123279750347137,0.2554651463031769,0.932,12161,0.1427045550905168,0.17126302421092987,-22.487163543701172,-24.254502227783203,-24.73545265197754,-21.873567161560057
368.65,164,368.65,14746,89,40,0.001,0.25426414608955383,0.252390039563179,0.924,14161,0.148138186596334,0.053029030561447144,-25.77983856201172,-27.592803970336913,-28.129240036010742,-25.260720054626464
380.59090909090907,163,380.59090909090907,16746,102,44,0.001,0.2820456922054291,0.2555240370631218,0.916,16161,0.14017290502786636,0.11655937880277634,-28.674102783203125,-30.697219436645508,-31.257640838623047,-28.356619247436523
390.5416666666667,163,390.5416666666667,18746,114,48,0.001,0.20873840153217316,0.2525108485221863,0.908,18161,0.14935922139510513,0.1327238380908966,-31.90283966064453,-33.76784454345703,-33.79818344116211,-31.475046035766603
398.96153846153845,162,398.96153846153845,20746,127,52,0.001,0.20204436779022217,0.251938883125782,0.9,20161,0.17460102179646492,0.038865379989147186,-35.177772521972656,-36.71144195556641,-36.99617004394531,-34.4439920501709
406.17857142857144,162,406.17857142857144,22746,140,56,0.001,0.28259241580963135,0.25542782205343245,0.892,22161,0.20104468025267125,0.17976847290992737,-37.74879837036133,-39.76238696289062,-40.26952362060547,-37.483970825195314
408.98333333333335,161,408.98333333333335,24539,152,60,0.001,0.23558877408504486,0.2669264338090031,0.884,24115,0.3019472389986599,0.21295765042304993,-41.0897102355957,-42.94475864628863,-43.17231369018555,-40.58512896903286
408.921875,161,408.921875,26171,161,64,0.001,0.2618095278739929,0.26084083738084324,0.876,25610,0.7743352322342867,0.2769024670124054,-43.638057708740234,-45.22212657814254,-45.93151092529297,-42.93716067468335
412.1764705882353,161,412.1764705882353,28028,173,68,0.001,0.24128077924251556,0.25653406682509733,0.868,27443,0.5311847376356642,0.19522464275360107,-45.768280029296875,-47.29436977589188,-47.86259841918945,-45.0676540982896
415.0833333333333,161,415.0833333333333,29886,185,72,0.001,0.3131473958492279,0.2574470298886299,0.86,29301,0.7930436154007912,0.6467797160148621,-47.167179107666016,-49.28983012390137,-49.86024856567383,-47.07578558349609
419.55263157894734,161,419.55263157894734,31886,197,76,0.001,0.24585480988025665,0.2596399180293083,0.852,31301,0.7400256717056036,0.5674611330032349,-49.55305862426758,-51.68929733276367,-51.647743225097656,-49.477165145874025
423.575,161,423.575,33886,210,80,0.001,0.23115043342113495,0.25952159774303435,0.844,33301,0.49195149731636045,0.15982645750045776,-52.2530632019043,-54.21699163818359,-54.20397186279297,-52.02662939453125
425.9761904761905,160,425.9761904761905,35782,222,84,0.001,0.2860575318336487,0.2790884900448927,0.836,35202,0.7699197560846063,0.6497014760971069,-53.64851379394531,-56.826673118629266,-56.039955139160156,-54.49349349292356
426.10227272727275,160,426.10227272727275,37497,233,88,0.001,0.2672812342643738,0.2679733400813705,0.828,36912,0.8232059959845472,0.5346494913101196,-57.078468322753906,-58.89466857910156,-59.29155731201172,-56.67584932399095
429.3152173913044,160,429.3152173913044,39497,245,92,0.001,0.24504004418849945,0.25563868510723115,0.82,38912,0.6675269856750965,0.32183128595352173,-59.1914176940918,-60.61872058105469,-61.20074462890625,-58.52248345947265
431.40625,160,431.40625,41415,258,96,0.001,0.3017346262931824,0.2671883022785187,0.812,40912,0.8631922305673361,0.6442813873291016,-60.8863410949707,-62.69936151123047,-63.33642578125,-60.52979264831543
431.84,160,431.84,43184,269,100,0.001,0.2794387638568878,0.27644149827957154,0.804,42756,0.8801197950839996,0.8654093742370605,-61.9342041015625,-64.55669226074218,-64.18089294433594,-62.33410270690918
451.24,160,451.24,45184,281,104,0.001,0.23159000277519226,0.2587404909729958,0.796,44599,0.5520857489407063,0.7386941909790039,-63.32027053833008,-65.34987815856934,-65.16372680664062,-63.2903038482666
