time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,train/actor_loss,train/critic_loss,train/RL_loss,train/Beta,train/critic_los,train/loss,train/n_updates,train/MSE_losses,train/learning_rate,train/Main_losses,train/MSE_loss
196,5.79,6,5.79,172,1202,-2.527099053064982,0.02961524451772372,-2.575091600418091,0.0,0.033308252692222595,-2.575091600418091,1102,1.6433098713556926,0.001,-2.527099053064982,1.5960421562194824
200,5.79,7,5.79,171,1224,-2.5655455589294434,0.03922475688159466,-2.5862557888031006,0.0,0.031141426414251328,-2.5862557888031006,1124,1.637037952740987,0.001,-2.5655455589294434,1.5973824262619019
204,5.8,7,5.8,171,1248,-2.6675096352895102,0.025048426818102598,-2.660236120223999,0.0,0.03171581029891968,-2.660236120223999,1148,1.564387559890747,0.001,-2.6675096352895102,1.5512882471084595
208,5.81,7,5.81,171,1272,-2.68888521194458,0.04426811449229717,-2.7571568489074707,0.0,0.024935591965913773,-2.7571568489074707,1172,1.5631531079610188,0.001,-2.68888521194458,1.5730667114257812
212,5.81,7,5.81,170,1295,-2.630415916442871,0.03592863058050474,-2.721865177154541,0.0,0.03593122586607933,-2.721865177154541,1196,1.621511459350586,0.001,-2.630415916442871,1.603119969367981
216,5.8,7,5.8,170,1317,-2.534825921058655,0.04245093315839767,-2.568336009979248,0.0,0.019258376210927963,-2.568336009979248,1217,1.685052752494812,0.001,-2.534825921058655,1.6718899011611938
220,5.8,7,5.8,170,1340,-2.5527032216389975,0.04553277641534805,-2.555677652359009,0.0,0.10846509039402008,-2.555677652359009,1240,1.68220853805542,0.001,-2.5527032216389975,1.5941128730773926
224,5.8,8,5.8,170,1364,-2.5883209705352783,0.05683326286574205,-2.441270589828491,0.0,0.04547834396362305,-2.441270589828491,1264,1.651523192723592,0.001,-2.5883209705352783,1.703749179840088
228,5.79,8,5.79,170,1387,-2.625573515892029,0.04208122342824936,-2.5656161308288574,0.0,0.04537248611450195,-2.5656161308288574,1287,1.6445106863975525,0.001,-2.625573515892029,1.6705069541931152
232,5.78,8,5.78,169,1410,-2.7375333309173584,0.03303394466638565,-2.8735132217407227,0.0,0.02467169240117073,-2.8735132217407227,1310,1.6203136046727498,0.001,-2.7375333309173584,1.579339623451233
236,5.78,8,5.78,169,1433,-2.7731810808181763,0.04003658518195152,-2.8358280658721924,0.0,0.044437095522880554,-2.8358280658721924,1333,1.601886510848999,0.001,-2.7731810808181763,1.5606420040130615
240,5.78,8,5.78,169,1455,-2.720008969306946,0.07612887993454934,-2.7247977256774902,0.0,0.048829346895217896,-2.7247977256774902,1355,1.651762068271637,0.001,-2.720008969306946,1.6417851448059082
244,5.78,8,5.78,169,1478,-2.7984577814737954,0.036834708601236346,-2.960488796234131,0.0,0.04036443307995796,-2.960488796234131,1378,1.595405141512553,0.001,-2.7984577814737954,1.47989821434021
248,5.77,8,5.77,169,1501,-2.7937662601470947,0.038292049119869866,-2.8046300411224365,0.0,0.038762904703617096,-2.8046300411224365,1401,1.601519783337911,0.001,-2.7937662601470947,1.5835506916046143
252,5.76,9,5.76,169,1524,-2.8108819325764975,0.07765005230903625,-2.6846559047698975,0.0,0.030494846403598785,-2.6846559047698975,1424,1.6136716206868489,0.001,-2.8108819325764975,1.6587976217269897
256,5.76,9,5.76,168,1548,-2.9086431662241616,0.04286772571504116,-2.9022417068481445,0.0,0.029842102900147438,-2.9022417068481445,1448,1.5508582989374797,0.001,-2.9086431662241616,1.5753484964370728
260,5.77,9,5.77,168,1572,-2.89106822013855,0.03474856602648894,-3.023149251937866,0.0,0.06069422513246536,-3.023149251937866,1472,1.5869572162628174,0.001,-2.89106822013855,1.5115127563476562
264,5.78,9,5.78,168,1596,-2.809619744618734,0.03096235729753971,-2.947322368621826,0.0,0.020893968641757965,-2.947322368621826,1496,1.6437914768854778,0.001,-2.809619744618734,1.5689834356307983
268,5.79,9,5.79,168,1620,-2.779545466105143,0.04035004942367474,-2.714996814727783,0.0,0.040860019624233246,-2.714996814727783,1520,1.6564486821492512,0.001,-2.779545466105143,1.6259316205978394
272,5.78,9,5.78,168,1643,-2.933754801750183,0.03703225739300251,-2.8905529975891113,0.0,0.028859661892056465,-2.8905529975891113,1543,1.567380428314209,0.001,-2.933754801750183,1.6130512952804565
276,5.79,9,5.79,168,1667,-2.9073943297068277,0.03195608562479416,-2.96433687210083,0.0,0.04273686558008194,-2.96433687210083,1567,1.6016424496968586,0.001,-2.9073943297068277,1.5667741298675537
280,5.81,10,5.81,168,1691,-2.9206717014312744,0.05110575444996357,-3.08017897605896,0.0,0.12608784437179565,-3.08017897605896,1591,1.5896992683410645,0.001,-2.9206717014312744,1.5086458921432495
