rollout/ep_len_mean,time/episodes,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/std,time/total_timesteps,train/n_updates,train/learning_rate,train/critic_los,train/MSE_losses,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/RL_loss,train/Beta,train/Main_losses,train/MSE_loss,train/actor_loss,train/loss
77.25,4,0,1922,-114.278884,0.04978706315159798,309,,,,,,,,,,,,,
648.625,8,2,2055,-102.12444175,0.04978706315159798,5189,,,,,,,,,,,,,
714.25,12,4,2056,-98.72875608333332,0.04978706315159798,8571,,,,,,,,,,,,,
651.9375,16,9,1110,-107.045359375,0.04993590712547302,10431,384,0.00073,0.510780930519104,7.161089010536671,10.827557621523738,-1.4514312911778688,0.7615400450304151,-5.276741027832031,0.995,2.298150844871998,7.9059834480285645,-4.827132772654295,2.589712619781494
539.65,20,13,779,-106.5120305,0.04996635019779205,10793,768,0.00073,2.1380703449249268,6.8992158100008965,7.862390975467861,-2.7986648362129927,0.579369637183845,-8.674478530883789,0.989,-2.080724023282528,4.528220176696777,-8.904048636555672,-4.19606876373291
477.0833333333333,24,21,539,-108.27700108333333,0.04997270181775093,11450,1408,0.00073,1.0474222898483276,6.443687330931425,3.1650635600090027,-4.223411779850721,0.37998221768066287,-9.720796585083008,0.979,-3.585992783308029,10.537481307983398,-9.894362539052963,0.5953969955444336
428.5357142857143,28,27,431,-109.15701014285715,0.04996543377637863,11999,1984,0.00073,0.406211256980896,6.064383279532194,2.4427079907618463,-4.682341106235981,0.26766207721084356,-7.655601978302002,0.97,-1.1373616568744183,8.134663581848145,-7.019813604652882,0.23502206802368164
386.0,32,31,390,-109.0479140625,0.04995087906718254,12352,2304,0.00073,2.105219841003418,5.510345555841923,1.4457686617970467,-5.201044097542763,0.22328613023273647,-3.4578051567077637,0.965,0.9255201704800129,6.048604965209961,-4.391963152214885,2.379098415374756
374.0,36,44,300,-110.0253398888889,0.049849703907966614,13464,3456,0.00073,0.35814595222473145,5.230708174407482,1.0924559098202735,-5.054996350780129,0.12076989165507257,2.8775572776794434,0.947,7.596465595066547,4.980599880218506,2.642984826117754,7.5941853523254395
367.8,40,58,249,-109.47651477500001,0.04968273639678955,14712,4672,0.00073,0.5157787799835205,4.721041232347488,0.516261737793684,-3.984823281818535,0.07045141037087888,9.335033416748047,0.928,11.921781986951828,3.7215094566345215,7.540655866265297,12.788594245910645
386.15909090909093,44,85,198,-108.57653886363637,0.049399904906749725,16991,6976,0.00073,0.41354310512542725,4.416933726519346,0.2703351095551625,-1.3896692334674299,0.03662460739724338,10.749252319335938,0.892,15.443508639931679,4.48616886138916,11.503603741526604,14.75091552734375
383.125,48,101,180,-107.1185123125,0.04922890663146973,18390,8384,0.00073,0.24769654870033264,4.325225055217743,0.2774659227579832,-0.931469360832125,0.029942427267087623,13.182798385620117,0.87,16.93601869046688,4.526917457580566,13.173072949051857,17.1212158203125
424.4807692307692,52,143,153,-105.35958942307693,0.04903363063931465,22073,12032,0.00073,0.4066237807273865,3.339732550084591,0.320975317270495,-1.0135163797531277,0.023505731543991715,11.763467788696289,0.813,14.15086081624031,3.7779436111450195,11.43565821647644,14.834936141967773
463.85714285714283,56,188,137,-99.84782612499998,0.048859551548957825,25976,15936,0.00073,0.12131256610155106,2.9890963193029165,0.2879531019134447,0.708212101017125,0.019259038264863193,6.830885887145996,0.752,10.761024832725525,2.5756726264953613,8.513224445283413,8.767791748046875
499.93333333333334,60,234,127,-96.93766226666665,0.04879835247993469,29996,19968,0.00073,1.0903146266937256,2.905395358800888,0.23001146281603724,-1.2989528373582289,0.014661917390185408,5.454469203948975,0.689,8.463620238006115,2.3695833683013916,6.461802765727043,7.0871124267578125
505.46875,64,261,123,-91.43867506250001,0.04868664965033531,32350,22336,0.00073,0.2985219359397888,2.676949167624116,0.1940650036558509,0.28367681382223964,0.013242295710369945,6.1807966232299805,0.652,7.623649753630161,2.9368042945861816,5.878278858959675,8.095593452453613
509.4117647058824,68,288,120,-88.58598669117649,0.04864339902997017,34640,24640,0.00073,0.2412315160036087,2.8506901804357767,0.2571158034261316,1.6606156388297677,0.01366599471657537,5.1555376052856445,0.616,7.21252566576004,2.4944052696228027,5.456500541418791,6.69209098815918
560.4722222222222,72,353,114,-77.26183375,0.04878817871212959,40354,30336,0.00073,0.8349339962005615,2.621845055371523,0.6485744398087263,-0.49864047672599554,0.010264947472023778,1.4032330513000488,0.527,2.7004955373704433,2.1225950717926025,1.3187831649556756,2.5218405723571777
552.578947368421,76,373,112,-76.4698172236842,0.04879103973507881,41996,32000,0.00073,0.15229877829551697,2.43789791315794,0.6468732783105224,-1.2402580012567341,0.010813473345478997,0.6479843854904175,0.501,2.621476074680686,2.452941656112671,1.400089246686548,1.8769081830978394
591.325,80,433,109,-63.327505724999995,0.0487392358481884,47306,37312,0.00073,0.2094331830739975,2.5930767860263586,0.41348459478467703,-0.13951845047995448,0.011263193606282584,0.09330564737319946,0.418,1.285253579262644,2.890566825866699,0.20134746260009706,1.3015625476837158
599.5952380952381,84,468,107,-55.132210845238085,0.04847828671336174,50366,40320,0.00073,0.3548138737678528,2.2164027765393257,0.3147652195766568,0.9715490742819384,0.00987200767849572,-2.5280981063842773,0.371,-0.6610024534165859,2.135207414627075,-1.483287863433361,-1.735936164855957
619.1590909090909,88,516,105,-43.82218519318182,0.04844184219837189,54486,44480,0.00073,0.14205580949783325,2.246582217514515,0.30585802998393774,0.07105606980621815,0.010125606888323091,-3.96470046043396,0.306,-3.248408492654562,2.2793445587158203,-3.9358626417815685,-3.267220973968506
