time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/MSE_losses,train/MSE_loss,train/RL_loss,train/critic_loss,train/Beta,train/loss,train/actor_loss,train/Main_losses,train/critic_los,train/n_updates,train/learning_rate
88,241,437.6818181818182,437.6818181818182,38516,159,0.26404167157411573,0.28147265315055847,-61.76848602294922,0.6874589373767376,0.828,-59.43789291381836,-61.45963047790527,-59.27336549377441,0.34333285689353943,37924,0.001
92,254,440.39130434782606,440.39130434782606,40516,159,0.2594742007851601,0.242214635014534,-63.46583938598633,0.9284086076021194,0.82,-61.479679107666016,-63.44041882324219,-61.31273056030273,0.8217742443084717,39924,0.001
96,267,442.875,442.875,42516,159,0.26424449747800827,0.2574928104877472,-65.49671936035156,0.8550500060617924,0.812,-63.40587615966797,-65.6676564025879,-63.52199108886719,0.1300964653491974,41924,0.001
100,279,445.16,445.16,44516,159,0.26620897579193115,0.27531003952026367,-68.07039642333984,1.3392947538495064,0.804,-65.85690307617188,-67.70838830566406,-65.56806811523437,0.41035783290863037,43924,0.001
104,290,456.39,456.39,45731,157,0.3305775065437641,0.27485984563827515,-70.86959838867188,1.6786702958002588,0.796,-68.68171691894531,-70.79854803147659,-68.16715085896013,131.02767944335938,45603,0.001
108,294,461.97,461.97,46495,157,0.2825515628457069,0.23135779798030853,-69.95482635498047,3.1257152149677276,0.788,-68.13172912597656,-70.39661831665039,-68.17011221313477,0.7818841934204102,46275,0.001
112,298,458.46,458.46,47145,157,0.2680690813549729,0.2339262217283249,-71.13285827636719,2.602991882451745,0.78,-69.30823516845703,-70.81029288713322,-68.71935387544853,7.38401985168457,46847,0.001
116,309,461.93,461.93,49145,158,0.2564109067320824,0.24467700719833374,-71.88544464111328,1.8402652680128813,0.772,-69.99653625488281,-71.71338165283203,-69.73388961791993,0.09423574060201645,48553,0.001
120,322,464.61,464.61,51145,158,0.2620816442370415,0.2644200325012207,-72.03858947753906,1.2884787803739308,0.764,-70.01841735839844,-72.5333091430664,-70.53100534057617,2.917814254760742,50553,0.001
124,335,466.29,466.29,53145,158,0.26298022478818894,0.26903536915779114,-75.47269439697266,1.205914754256606,0.756,-73.43878936767578,-74.01115859985352,-72.02302828979492,0.14803791046142578,52553,0.001
128,347,466.29,466.29,55145,158,0.265960945725441,0.25057926774024963,-76.0099105834961,0.8446493420153857,0.748,-74.13557434082031,-75.60754962158204,-73.61816174316407,0.691954493522644,54553,0.001
132,360,466.29,466.29,57145,158,0.27014453828334806,0.33824247121810913,-78.52568054199219,1.0924620715081692,0.74,-76.02268981933594,-77.58845437622071,-75.5893850402832,2.6405105590820312,56553,0.001
136,373,466.29,466.29,59145,158,0.263378934442997,0.27547526359558105,-78.95753479003906,1.1013981231451035,0.732,-76.94105529785156,-79.2782568359375,-77.35032299804688,0.5683382749557495,58553,0.001
140,386,466.29,466.29,61145,158,0.26375823056697845,0.2442121058702469,-78.94818878173828,0.9133066049218178,0.724,-77.18009185791016,-79.56611212158204,-77.65650274658204,0.41908371448516846,60553,0.001
144,398,466.29,466.29,63145,158,0.36147481215000155,0.24940089881420135,-81.58477783203125,1.3297729147672652,0.716,-79.79906463623047,-81.21659945678711,-78.62843978881835,0.632836639881134,62553,0.001
148,411,466.29,466.29,65145,158,0.30776642256975173,0.27803340554237366,-81.65678405761719,0.6526458566486836,0.708,-79.68830871582031,-81.67863656616211,-79.49965026855469,0.5651466250419617,64553,0.001
152,424,466.29,466.29,67145,158,0.28446103882789614,0.358315646648407,-79.48037719726562,0.7691849382221698,0.7,-76.97216796875,-81.6861632385254,-79.69493588256836,0.3168410062789917,66553,0.001
