time/fps,time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/RL_loss,train/critic_los,train/n_updates,train/ent_coef,train/ent_coef_loss,train/MSE_losses,train/critic_loss,train/MSE_loss,train/Beta,train/Main_losses,train/loss,train/learning_rate,train/actor_loss
2676,4,0,25.25,101,25.25,,,,,,,,,,,,,
165,8,1,22.875,183,22.875,-2.6685407161712646,0.11533665657043457,82,0.9221309423446655,-0.13255000114440918,1.3491196632385254,0.11533665657043457,1.3491196632385254,0.919,-1.4286997318267822,-1.4286997318267822,0.001,-2.6685407161712646
111,12,2,23.666666666666668,284,23.666666666666668,-3.06488037109375,0.16609008610248566,183,0.8338239192962646,-0.2898145914077759,1.2634226083755493,0.16609008610248566,1.2634226083755493,0.818,-2.031400680541992,-2.031400680541992,0.001,-3.06488037109375
96,16,3,23.625,378,23.625,-3.5773797035217285,0.22948884963989258,277,0.759123682975769,-0.4465389549732208,1.299142599105835,0.22948884963989258,1.299142599105835,0.724,-2.636800527572632,-2.636800527572632,0.001,-3.5773797035217285
91,20,5,22.9,458,22.9,-3.92956280708313,0.15204763412475586,357,0.7006813883781433,-0.573898434638977,1.2629754543304443,0.15204763412475586,1.2629754543304443,0.644,-3.116206645965576,-3.116206645965576,0.001,-3.92956280708313
90,24,5,22.458333333333332,539,22.458333333333332,-4.354480743408203,0.21549899876117706,438,0.6463249325752258,-0.7072750329971313,1.218989610671997,0.21549899876117706,1.218989610671997,0.563,-3.668189525604248,-3.668189525604248,0.001,-4.354480743408203
88,28,7,22.5,630,22.5,-4.6425886154174805,0.1871255785226822,529,0.5903165340423584,-0.8317753672599792,1.111126184463501,0.1871255785226822,1.111126184463501,0.472,-4.118136882781982,-4.118136882781982,0.001,-4.6425886154174805
88,32,11,32.21875,1031,32.21875,-6.484097480773926,0.2150568962097168,930,0.4031350314617157,-1.3253346681594849,1.336392879486084,0.2150568962097168,1.336392879486084,0.071,-6.389213562011719,-6.389213562011719,0.001,-6.484097480773926
88,36,16,41.333333333333336,1488,41.333333333333336,-8.893360137939453,0.04895351827144623,1387,0.2727457582950592,-1.6588280200958252,1.3087085485458374,0.04895351827144623,1.3087085485458374,0,-8.893360137939453,-8.893360137939453,0.001,-8.893360137939453
88,40,24,54.45,2178,54.45,-11.557836532592773,0.18230535089969635,2077,0.15373751521110535,-2.0156259536743164,1.5766767263412476,0.18230535089969635,1.5766767263412476,0,-11.557836532592773,-11.557836532592773,0.001,-11.557836532592773
88,44,31,63.77272727272727,2806,63.77272727272727,-13.906065940856934,0.07080265134572983,2705,0.08928882330656052,-2.252460241317749,1.3156604766845703,0.07080265134572983,1.3156604766845703,0,-13.906065940856934,-13.906065940856934,0.001,-13.906065940856934
