rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,train/MSE_loss,train/MSE_losses,train/critic_los,train/critic_loss,train/Beta,train/Main_losses,train/RL_loss,train/ent_coef,train/actor_loss,train/n_updates,train/loss,train/learning_rate,train/ent_coef_loss
14.75,0,4,2809,14.75,59,,,,,,,,,,,,,
13.5,0,8,775,13.5,108,1.295344591140747,1.295344591140747,0.5097026824951172,0.5097026824951172,0.994,-0.6188867092132568,-1.9064592123031616,0.9940285682678223,-1.9064592123031616,7,-0.6188867092132568,0.001,-0.00915827602148056
20.416666666666668,1,12,142,20.416666666666668,245,1.2044278383255005,1.2044278383255005,0.1727474331855774,0.1727474331855774,0.857,-1.7644693851470947,-2.796663999557495,0.866564154624939,-2.796663999557495,144,-1.7644693851470947,0.001,-0.22767552733421326
29.125,4,16,110,29.125,466,1.0200526714324951,1.0200526714324951,0.08212755620479584,0.08212755620479584,0.636,-3.2145326137542725,-3.863286018371582,0.6953655481338501,-3.863286018371582,365,-3.2145326137542725,0.001,-0.5765334367752075
29.4,5,20,105,29.4,588,1.2684674263000488,1.2684674263000488,0.1386415958404541,0.1386415958404541,0.514,-3.8735384941101074,-4.525530815124512,0.6158738732337952,-4.525530815124512,487,-3.8735384941101074,0.001,-0.77803635597229
28.666666666666668,6,24,101,28.666666666666668,688,1.3249728679656982,1.3249728679656982,0.17977675795555115,0.17977675795555115,0.414,-4.331018447875977,-4.879557132720947,0.5579351782798767,-4.879557132720947,587,-4.331018447875977,0.001,-0.9281874299049377
33.535714285714285,9,28,98,33.535714285714285,939,1.4807323217391968,1.4807323217391968,0.18766897916793823,0.18766897916793823,0.163,-5.8190388679504395,-6.060398101806641,0.43615978956222534,-6.060398101806641,838,-5.8190388679504395,0.001,-1.2535576820373535
39.46875,13,32,95,39.46875,1263,1.2006365060806274,1.2006365060806274,0.06403736770153046,0.06403736770153046,0,-7.61980676651001,-7.61980676651001,0.3224412500858307,-7.61980676651001,1162,-7.61980676651001,0.001,-1.5988260507583618
48.611111111111114,18,36,94,48.611111111111114,1750,1.3344535827636719,1.3344535827636719,0.0913214161992073,0.0913214161992073,0,-9.698230743408203,-9.698230743408203,0.2119164913892746,-9.698230743408203,1649,-9.698230743408203,0.001,-1.8285267353057861
56.7,24,40,92,56.7,2268,1.3881652355194092,1.3881652355194092,0.10425177216529846,0.10425177216529846,0,-11.763516426086426,-11.763516426086426,0.13662950694561005,-11.763516426086426,2167,-11.763516426086426,0.001,-2.319715976715088
66.29545454545455,31,44,92,66.29545454545455,2917,1.25989830493927,1.25989830493927,0.04641987383365631,0.04641987383365631,0,-14.080745697021484,-14.080745697021484,0.07736074179410934,-14.080745697021484,2816,-14.080745697021484,0.001,-2.586812734603882
75.14583333333333,39,48,91,75.14583333333333,3607,1.248433232307434,1.248433232307434,0.08208733797073364,0.08208733797073364,0,-16.02059555053711,-16.02059555053711,0.042516861110925674,-16.02059555053711,3506,-16.02059555053711,0.001,-2.5957024097442627
82.63461538461539,47,52,91,82.63461538461539,4297,1.31122887134552,1.31122887134552,0.20795553922653198,0.20795553922653198,0,-17.698429107666016,-17.698429107666016,0.02512590028345585,-17.698429107666016,4196,-17.698429107666016,0.001,-2.426889657974243
88.41071428571429,54,56,91,88.41071428571429,4951,1.5474913120269775,1.5474913120269775,0.20266425609588623,0.20266425609588623,0,-20.289466857910156,-20.289466857910156,0.017018970102071762,-20.289466857910156,4850,-20.289466857910156,0.001,-1.4712841510772705
93.28333333333333,61,60,90,93.28333333333333,5597,1.4492416381835938,1.4492416381835938,0.15143394470214844,0.15143394470214844,0,-22.129695892333984,-22.129695892333984,0.012924815528094769,-22.129695892333984,5496,-22.129695892333984,0.001,-0.49704697728157043
96.765625,68,64,90,96.765625,6193,1.4804130792617798,1.4804130792617798,0.2886887490749359,0.2886887490749359,0,-23.501550674438477,-23.501550674438477,0.010177582502365112,-23.501550674438477,6092,-23.501550674438477,0.001,0.20471495389938354
99.6029411764706,74,68,90,99.6029411764706,6773,1.2915955781936646,1.2915955781936646,0.2109622061252594,0.2109622061252594,0,-24.50029754638672,-24.50029754638672,0.008732437156140804,-24.50029754638672,6672,-24.50029754638672,0.001,-0.2516718804836273
102.34722222222223,81,72,90,102.34722222222223,7369,1.5726585388183594,1.5726585388183594,0.09154734760522842,0.09154734760522842,0,-26.67098045349121,-26.67098045349121,0.008368031121790409,-26.67098045349121,7268,-26.67098045349121,0.001,0.07125487923622131
104.84210526315789,88,76,90,104.84210526315789,7968,1.626532793045044,1.626532793045044,0.09359110891819,0.09359110891819,0,-28.386821746826172,-28.386821746826172,0.008520610630512238,-28.386821746826172,7867,-28.386821746826172,0.001,0.10028180480003357
107.5375,95,80,90,107.5375,8603,1.2006516456604004,1.2006516456604004,0.051226768642663956,0.051226768642663956,0,-29.35593032836914,-29.35593032836914,0.008663952350616455,-29.35593032836914,8502,-29.35593032836914,0.001,0.5658817887306213
110.02380952380952,102,84,90,110.02380952380952,9242,1.573121190071106,1.573121190071106,0.05812545493245125,0.05812545493245125,0,-31.51122283935547,-31.51122283935547,0.008396661840379238,-31.51122283935547,9141,-31.51122283935547,0.001,0.18505340814590454
113.06818181818181,110,88,90,113.06818181818181,9950,1.343100905418396,1.343100905418396,0.11665274947881699,0.11665274947881699,0,-32.50959777832031,-32.50959777832031,0.009303968399763107,-32.50959777832031,9849,-32.50959777832031,0.001,0.6432840824127197
