train/MSE_loss,train/RL_loss,train/Main_losses,train/MSE_losses,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef,time/time_elapsed,train/critic_los,rollout/ep_len_mean,train/n_updates,train/actor_loss,time/episodes,time/fps,train/loss,train/Beta,train/ent_coef_loss,train/critic_loss,train/learning_rate
5.473823070526123,21.360279083251953,21.360279083251953,5.473823070526123,800,-1299.0270302499998,0.5075759291648865,7,0.07029752433300018,200.0,699,21.360279083251953,4,100,21.360279083251953,0.0,-0.992131233215332,0.07029752433300018,0.001
5.0303053855896,46.121341705322266,46.121341705322266,5.0303053855896,1600,-1441.1966845,0.2594851553440094,16,0.06408745050430298,200.0,1499,46.121341705322266,8,94,46.121341705322266,-0.0,-1.4277257919311523,0.06408745050430298,0.001
4.4284467697143555,65.65123748779297,65.65123748779297,4.4284467697143555,2400,-1292.9147185833333,0.19463123381137848,26,0.10414181649684906,200.0,2299,65.65123748779297,12,92,65.65123748779297,-0.0,0.47733068466186523,0.10414181649684906,0.001
3.4077634811401367,73.21119689941406,73.21119689941406,3.4077634811401367,3200,-1056.3231984375,0.21052084863185883,35,0.1612471640110016,200.0,3099,73.21119689941406,16,91,73.21119689941406,-0.0,0.04656808078289032,0.1612471640110016,0.001
2.6265642642974854,72.42002868652344,72.42002868652344,2.6265642642974854,4000,-941.2883760000001,0.20093537867069244,44,0.33148670196533203,200.0,3899,72.42002868652344,20,90,72.42002868652344,-0.0,-0.08641083538532257,0.33148670196533203,0.001
2.410945177078247,65.28034973144531,65.28034973144531,2.410945177078247,4800,-800.1291708333333,0.16229234635829926,53,0.6679776906967163,200.0,4699,65.28034973144531,24,90,65.28034973144531,-0.0,-0.4436039924621582,0.6679776906967163,0.001
2.3583121299743652,64.73918151855469,64.73918151855469,2.3583121299743652,5600,-756.553756,0.11575884371995926,62,2.0708794593811035,200.0,5499,64.73918151855469,28,90,64.73918151855469,-0.0,-0.12785238027572632,2.0708794593811035,0.001
2.1657612323760986,71.73109436035156,71.73109436035156,2.1657612323760986,6400,-707.7797685937501,0.11019019782543182,71,2.1464943885803223,200.0,6299,71.73109436035156,32,89,71.73109436035156,-0.0,0.6182348132133484,2.1464943885803223,0.001
2.8544650077819824,67.7000732421875,67.7000732421875,2.8544650077819824,7200,-645.6944995555556,0.09655030816793442,80,2.3697304725646973,200.0,7099,67.7000732421875,36,89,67.7000732421875,-0.0,-0.3725024461746216,2.3697304725646973,0.001
2.8226611614227295,69.01656341552734,69.01656341552734,2.8226611614227295,8000,-605.0278467,0.09202629327774048,89,1.2861897945404053,200.0,7899,69.01656341552734,40,89,69.01656341552734,-0.0,0.08478844165802002,1.2861897945404053,0.001
2.646198272705078,49.974945068359375,49.974945068359375,2.646198272705078,8800,-565.6672173863636,0.08277305215597153,98,1.1690528392791748,200.0,8699,49.974945068359375,44,89,49.974945068359375,-0.0,-0.27990448474884033,1.1690528392791748,0.001
2.8799564838409424,50.74362564086914,50.74362564086914,2.8799564838409424,9600,-528.5531443958333,0.06826794147491455,107,0.8433849811553955,200.0,9499,50.74362564086914,48,89,50.74362564086914,-0.0,-0.7531744837760925,0.8433849811553955,0.001
3.0988574028015137,54.138954162597656,54.138954162597656,3.0988574028015137,10400,-500.98485132692315,0.052207257598638535,116,1.1044752597808838,200.0,10299,54.138954162597656,52,89,54.138954162597656,-0.0,0.0789307951927185,1.1044752597808838,0.001
3.614748477935791,46.64643478393555,46.64643478393555,3.614748477935791,11200,-473.8416032857143,0.043154526501894,125,1.0621393918991089,200.0,11099,46.64643478393555,56,89,46.64643478393555,-0.0,-0.23471754789352417,1.0621393918991089,0.001
3.0078868865966797,43.99561309814453,43.99561309814453,3.0078868865966797,12000,-450.0040975666667,0.03827575966715813,134,0.7971689701080322,200.0,11899,43.99561309814453,60,89,43.99561309814453,-0.0,-0.779100239276886,0.7971689701080322,0.001
3.406269073486328,35.028648376464844,35.028648376464844,3.406269073486328,12800,-431.256142515625,0.03495030850172043,143,0.7334069013595581,200.0,12699,35.028648376464844,64,89,35.028648376464844,-0.0,-0.678169846534729,0.7334069013595581,0.001
3.1666083335876465,41.10118865966797,41.10118865966797,3.1666083335876465,13600,-415.7361805735295,0.03090411238372326,152,0.9605028033256531,200.0,13499,41.10118865966797,68,89,41.10118865966797,-0.0,-0.3268960118293762,0.9605028033256531,0.001
3.328911304473877,42.774356842041016,42.774356842041016,3.328911304473877,14400,-402.67127502777777,0.02836209535598755,161,0.7707353234291077,200.0,14299,42.774356842041016,72,89,42.774356842041016,-0.0,0.21391481161117554,0.7707353234291077,0.001
3.125270366668701,30.530893325805664,30.530893325805664,3.125270366668701,15200,-391.019385,0.024241745471954346,170,0.5324047803878784,200.0,15099,30.530893325805664,76,89,30.530893325805664,-0.0,-1.1363751888275146,0.5324047803878784,0.001
3.1854639053344727,37.24005889892578,37.24005889892578,3.1854639053344727,16000,-376.313549075,0.02432416006922722,179,0.6264222860336304,200.0,15899,37.24005889892578,80,89,37.24005889892578,-0.0,-0.4326823353767395,0.6264222860336304,0.001
3.2078466415405273,35.73359680175781,35.73359680175781,3.2078466415405273,16800,-365.7879838452381,0.017984572798013687,188,0.9765496253967285,200.0,16699,35.73359680175781,84,89,35.73359680175781,-0.0,-1.0569812059402466,0.9765496253967285,0.001
2.719715118408203,33.02598190307617,33.02598190307617,2.719715118408203,17600,-355.9286678409091,0.017569351941347122,197,0.47119855880737305,200.0,17499,33.02598190307617,88,89,33.02598190307617,-0.0,-0.2936404049396515,0.47119855880737305,0.001
