rollout/ep_rew_mean,time/time_elapsed,time/fps,train/std,time/episodes,rollout/ep_len_mean,time/total_timesteps,train/ent_coef_loss,train/MSE_loss,train/loss,train/Beta,train/actor_loss,train/RL_loss,train/ent_coef,train/MSE_losses,train/critic_loss,train/learning_rate,train/critic_los,train/n_updates,train/Main_losses
-101.69784120000001,159,146,0.049582600593566895,60,389.46666666666664,23368,-0.9224314063321799,4.522224426269531,17.228227615356445,0.792,11.872352704405785,13.646625518798828,0.02549430530052632,3.478182090446353,0.5419931691139936,0.00073,0.5360875129699707,13376,14.627072870731354
-98.15578767187499,210,131,0.04951007291674614,64,434.53125,27810,-0.36517399817239493,2.164377450942993,11.109787940979004,0.723,8.688420951366425,9.544942855834961,0.018636154214618728,3.0410577189177275,0.3874002263182774,0.00073,0.24410998821258545,17792,10.88710568845272
-81.33377948529412,277,121,0.04926883056759834,68,493.22058823529414,33539,-0.5702071315608919,2.158552646636963,6.376509189605713,0.633,4.9199604615569115,5.01014518737793,0.015731487626908347,2.744302136823535,0.26720246172044426,0.00073,0.22883340716362,23552,6.65710373967886
-71.66817375,322,116,0.04894965887069702,72,521.0555555555555,37516,1.0088660432957113,4.541092872619629,5.0797319412231445,0.571,2.4396405797451735,2.4867680072784424,0.013608716806629673,2.738817226141691,0.23443587962538004,0.00073,0.22663424909114838,27520,4.003505151718855
-61.001976657894744,369,112,0.04887395724654198,76,545.9736842105264,41494,-0.49869630206376314,2.327193260192871,2.560922622680664,0.509,0.559276488609612,1.3763813972473145,0.012883214498287998,2.4938844740390778,0.23291954270098358,0.00073,0.3551117777824402,31488,1.828663697000593
-56.925334075,391,110,0.048977311700582504,80,542.8875,43431,-1.1384307038970292,2.426422119140625,0.7940651178359985,0.479,-0.1245406570378691,-0.36819109320640564,0.013077511917799711,2.43812626414001,0.2994500242639333,0.00073,0.15640953183174133,33408,1.0433218395337462
-47.284478785714285,430,108,0.04884150251746178,84,556.9642857142857,46785,-0.4348360328003764,3.4085195064544678,1.6951789855957031,0.426,-1.7150489990599453,0.24314960837364197,0.011522968954523094,2.5243443828076124,0.3742840402992442,0.00073,0.6570136547088623,36800,-0.6396782957017422
-44.11909214772727,452,107,0.0488465279340744,88,553.1704545454545,48679,1.1004529518540949,3.208367347717285,-2.4920361042022705,0.397,-2.9017660804092884,-3.7657580375671387,0.012408981419866905,2.426146499812603,0.5111361604649574,0.00073,0.2875877320766449,38656,-1.9385858718305826
-39.04366823913044,478,106,0.04881986603140831,92,554.3695652173913,51002,-0.21855812263675034,2.7243940830230713,-2.216968536376953,0.361,-3.6592004895210266,-3.200474739074707,0.011861123057315126,2.29108121432364,0.49929950293153524,0.00073,0.21915200352668762,40960,-2.83212018199265
-36.528008104166666,502,105,0.04911353439092636,96,552.3020833333334,53021,0.6916888495907187,1.5640238523483276,-4.596752643585205,0.329,-4.591474021784961,-5.111316680908203,0.012937347593833692,2.3084806222468615,0.5645764691289514,0.00073,0.41000694036483765,43008,-3.831983911804855
-35.12075694,522,104,0.04918031394481659,100,548.14,54814,-0.08826121361926198,1.5582365989685059,-6.175176620483398,0.301,-5.117029495537281,-6.6442060470581055,0.012326518175541423,2.3713854029774666,0.460661442251876,0.00073,0.2396153211593628,44800,-4.403242517262697
-32.46157353,539,104,0.04927517846226692,104,512.84,56199,-0.17599207046441734,2.4367423057556152,-2.0201714038848877,0.279,-5.45683579146862,-2.7000224590301514,0.013104084209771827,2.5343305747956038,0.4595039583509788,0.00073,0.5142067074775696,46208,-4.749757539480925
-23.82615555,578,102,0.04949674382805824,108,527.83,59592,0.3079436793923378,1.6760962009429932,-5.519032001495361,0.226,-5.458242684602737,-5.897829532623291,0.010944445675704628,2.384918749332428,0.5282049344386905,0.00073,0.3674844205379486,49600,-4.919251047074795
-13.753111009999992,620,101,0.049369025975465775,112,545.33,63188,-0.2846289324807003,1.921220064163208,-6.861146450042725,0.17,-6.156924858689308,-7.187753677368164,0.009344468999188393,2.208291592076421,0.5371066150255501,0.00073,0.7468997240066528,53184,-5.781515296548605
1.3073949500000017,681,100,0.049553897231817245,116,596.39,68585,0.390766829950735,1.705947995185852,-6.438111305236816,0.086,-6.592739440500736,-6.584822654724121,0.008005001654964872,2.2744058091193438,0.33402440254576504,0.00073,0.3423081636428833,58560,-6.39714053273201
10.818030340000002,715,99,0.049484241753816605,120,621.19,71451,-0.5136210038326681,2.242677688598633,-7.6505866050720215,0.041,-7.189391613006592,-7.742536544799805,0.007546652763267048,2.53151948004961,0.3431796714430675,0.00073,0.23221111297607422,61440,-7.085599310696125
21.940982830000003,749,99,0.04941609129309654,124,641.63,74379,0.5955676122102886,2.542205810546875,-5.601433277130127,0,-7.378752492368221,-5.601433277130127,0.007490487121685874,2.55054172873497,0.6073468860704452,0.00073,0.5359207987785339,64384,-7.378752492368221
29.671925060000007,771,98,0.04937766492366791,128,648.33,76387,0.5761936472263187,1.484588623046875,-8.787854194641113,0,-7.645660407841206,-8.787854194641113,0.007604972452099901,2.615268101915717,0.31887349218595773,0.00073,0.11291252076625824,66368,-7.645660407841206
31.851323850000004,782,98,0.04937739670276642,132,653.19,77259,-0.3795590102672577,3.1642022132873535,-6.218470573425293,0,-7.7569888681173325,-6.218470573425293,0.007693697058130056,2.7410048581659794,0.5532826273702085,0.00073,6.413896560668945,67264,-7.7569888681173325
38.859425540000004,801,98,0.0494992733001709,136,653.15,79028,0.25509365112520754,2.351796865463257,-9.51816463470459,0,-7.8945197612047195,-9.51816463470459,0.007512816780945286,2.8144396468997,0.36860017804428935,0.00073,0.24398759007453918,68992,-7.8945197612047195
