rollout/ep_rew_mean,time/fps,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/MSE_losses,train/RL_loss,train/Main_losses,train/MSE_loss,train/ent_coef,train/actor_loss,train/critic_loss,train/n_updates,train/critic_los,train/Beta,train/ent_coef_loss,train/loss,train/learning_rate
23.0,2861,4,23.0,0,92,,,,,,,,,,,,,
18.875,250,8,18.875,0,151,0.3816570043563843,-2.472602128982544,-2.472602128982544,0.3816570043563843,0.952150285243988,-2.472602128982544,0.07080923020839691,50,0.07080923020839691,0.0,-0.08123145997524261,-2.472602128982544,0.001
17.583333333333332,165,12,17.583333333333332,1,211,0.41348275542259216,-2.7692513465881348,-2.7692513465881348,0.41348275542259216,0.8966739177703857,-2.7692513465881348,0.06490369141101837,110,0.06490369141101837,0.0,-0.18306344747543335,-2.7692513465881348,0.001
16.375,141,16,16.375,1,262,0.41242358088493347,-3.0449860095977783,-3.0449860095977783,0.41242358088493347,0.852075457572937,-3.0449860095977783,0.10384596884250641,161,0.10384596884250641,0.0,-0.2685389518737793,-3.0449860095977783,0.001
15.55,129,20,15.55,2,311,0.4349178671836853,-3.257197380065918,-3.257197380065918,0.4349178671836853,0.8112437129020691,-3.257197380065918,0.10869482904672623,210,0.10869482904672623,0.0,-0.35067951679229736,-3.257197380065918,0.001
17.0,116,24,17.0,3,408,0.4546555280685425,-3.7010791301727295,-3.7010791301727295,0.4546555280685425,0.7361952066421509,-3.7010791301727295,0.14057126641273499,307,0.14057126641273499,0.0,-0.5070098638534546,-3.7010791301727295,0.001
16.0,113,28,16.0,3,448,0.41065508127212524,-3.8318543434143066,-3.8318543434143066,0.41065508127212524,0.7073123455047607,-3.8318543434143066,0.07860004156827927,347,0.07860004156827927,0.0,-0.5871162414550781,-3.8318543434143066,0.001
15.71875,110,32,15.71875,4,503,0.4068225920200348,-4.0345587730407715,-4.0345587730407715,0.4068225920200348,0.6694837212562561,-4.0345587730407715,0.0956597626209259,402,0.0956597626209259,0.0,-0.6727523803710938,-4.0345587730407715,0.001
16.77777777777778,106,36,16.77777777777778,5,604,0.3714817762374878,-4.50089168548584,-4.50089168548584,0.3714817762374878,0.605338990688324,-4.50089168548584,0.12588784098625183,503,0.12588784098625183,0.0,-0.8279417753219604,-4.50089168548584,0.001
17.175,103,40,17.175,6,687,0.33950233459472656,-4.824766159057617,-4.824766159057617,0.33950233459472656,0.5575270652770996,-4.824766159057617,0.08743572235107422,586,0.08743572235107422,0.0,-0.9691362977027893,-4.824766159057617,0.001
18.522727272727273,101,44,18.522727272727273,8,815,0.3101586401462555,-5.462581634521484,-5.462581634521484,0.3101586401462555,0.49183782935142517,-5.462581634521484,0.07129237055778503,714,0.07129237055778503,0.0,-1.1243155002593994,-5.462581634521484,0.001
19.4375,99,48,19.4375,9,933,0.3061898648738861,-5.8310160636901855,-5.8310160636901855,0.3061898648738861,0.43944501876831055,-5.8310160636901855,0.05839793384075165,832,0.05839793384075165,0.0,-1.2939555644989014,-5.8310160636901855,0.001
22.942307692307693,96,52,22.942307692307693,12,1193,0.26511603593826294,-7.2523088455200195,-7.2523088455200195,0.26511603593826294,0.34744465351104736,-7.2523088455200195,0.09523814171552658,1092,0.09523814171552658,-0.0,-1.5038187503814697,-7.2523088455200195,0.001
30.660714285714285,94,56,30.660714285714285,18,1717,0.32375869154930115,-9.468582153320312,-9.468582153320312,0.32375869154930115,0.2229364961385727,-9.468582153320312,0.10037091374397278,1616,0.10037091374397278,-0.0,-1.7316186428070068,-9.468582153320312,0.001
40.81666666666667,93,60,40.81666666666667,26,2449,0.2758205533027649,-12.77381706237793,-12.77381706237793,0.2758205533027649,0.1204683929681778,-12.77381706237793,0.06886406242847443,2348,0.06886406242847443,-0.0,-2.3278636932373047,-12.77381706237793,0.001
47.828125,92,64,47.828125,33,3061,0.31321340799331665,-14.569751739501953,-14.569751739501953,0.31321340799331665,0.07087096571922302,-14.569751739501953,0.11497235298156738,2960,0.11497235298156738,-0.0,-2.4032137393951416,-14.569751739501953,0.001
52.48529411764706,92,68,52.48529411764706,38,3569,0.2971495985984802,-15.78078556060791,-15.78078556060791,0.2971495985984802,0.04638282582163811,-15.78078556060791,0.1575590968132019,3468,0.1575590968132019,-0.0,-2.1846914291381836,-15.78078556060791,0.001
56.81944444444444,91,72,56.81944444444444,44,4091,0.3540310859680176,-17.509140014648438,-17.509140014648438,0.3540310859680176,0.030750999227166176,-17.509140014648438,0.10810068249702454,3990,0.10810068249702454,-0.0,-2.7093191146850586,-17.509140014648438,0.001
62.526315789473685,91,76,62.526315789473685,51,4752,0.26060929894447327,-20.107696533203125,-20.107696533203125,0.26060929894447327,0.01934334821999073,-20.107696533203125,0.09338098764419556,4651,0.09338098764419556,-0.0,-2.026869058609009,-20.107696533203125,0.001
66.4625,91,80,66.4625,58,5317,0.2541360557079315,-21.521875381469727,-21.521875381469727,0.2541360557079315,0.013866997323930264,-21.521875381469727,0.1090926080942154,5216,0.1090926080942154,-0.0,-1.818449854850769,-21.521875381469727,0.001
69.73809523809524,91,84,69.73809523809524,64,5858,0.3038957715034485,-22.61646842956543,-22.61646842956543,0.3038957715034485,0.011396807618439198,-22.61646842956543,0.12072300910949707,5757,0.12072300910949707,-0.0,-1.4366118907928467,-22.61646842956543,0.001
74.0,91,88,74.0,71,6512,0.3312831521034241,-24.44416046142578,-24.44416046142578,0.3312831521034241,0.010790702886879444,-24.44416046142578,0.7325775623321533,6411,0.7325775623321533,-0.0,0.13959845900535583,-24.44416046142578,0.001
