rollout/ep_len_mean,time/episodes,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/RL_loss,train/actor_loss,train/loss,train/Main_losses,train/MSE_losses,train/critic_loss,train/n_updates,train/learning_rate,train/critic_los,train/Beta,train/MSE_loss
108.75,4,1860,0,435,-103.03420349999999,,,,,,,,,,,
476.0,8,1972,1,3808,-102.07304925,,,,,,,,,,,
470.8333333333333,12,1979,2,5650,-101.98173466666668,,,,,,,,,,,
656.3125,16,1928,5,10501,-97.760403625,,,,,,,,,,,
610.9,20,488,25,12218,-99.54937385,0.04152442887425423,-0.04035489032976329,0.04152442887425423,-0.04035489032976329,8.503799057006836,4.560695441917349,3282,0.001,0.043998368084430695,0.0,8.799142837524414
529.1666666666666,24,454,27,12700,-103.76400995833335,-0.24331176280975342,0.016822646882954158,-0.24331176280975342,0.016822646882954158,9.032812118530273,5.629956128968768,3731,0.001,0.1669204831123352,0.0,9.52088737487793
465.14285714285717,28,430,30,13024,-105.96461714285714,0.3042711615562439,-0.0038696694891990685,0.3042711615562439,-0.0038696694891990685,9.288325333013766,7.317425650703471,4090,0.001,0.8605054616928101,0.0,8.883648872375488
464.34375,32,355,41,14859,-107.94125853125,-0.0543825663626194,0.2119396984124103,-0.0543825663626194,0.2119396984124103,8.271081060976595,2.555268435059367,5907,0.001,0.15238219499588013,0.0,8.643759727478027
420.8611111111111,36,347,43,15151,-107.37742919444445,1.3614468574523926,0.1962778560979211,1.3614468574523926,0.1962778560979211,8.50267511865367,10.554134294786985,6193,0.001,0.10002420842647552,0.0,8.869796752929688
433.45,40,301,57,17338,-106.38461350000003,0.5407468676567078,-0.03187447882674892,0.5407468676567078,-0.03187447882674892,8.514171353701887,5.6826068338725655,8366,0.001,1.445788860321045,0.0,9.094283103942871
399.84090909090907,44,297,59,17593,-106.1389716590909,0.037078142166137695,0.3299439622834325,0.037078142166137695,0.3299439622834325,7.824315662384033,13.33538433237403,8639,0.001,0.6312755942344666,0.0,8.339033126831055
372.7083333333333,48,293,60,17890,-106.16078614583334,-0.37262919545173645,0.09973515898865812,-0.37262919545173645,0.09973515898865812,7.386161537731395,4.332499072941787,8922,0.001,0.10193756222724915,0.0,8.498465538024902
349.09615384615387,52,289,62,18153,-105.92511996153847,0.48252856731414795,-0.014412995532620699,0.48252856731414795,-0.014412995532620699,7.779070961475372,7.13964081085287,9198,0.001,1.2832311391830444,0.0,7.913064002990723
328.0,56,286,64,18368,-105.80524916071428,1.276549220085144,0.1842057042910407,1.276549220085144,0.1842057042910407,8.263028820355734,12.028417452865718,9407,0.001,3.4696547985076904,0.0,8.70911979675293
311.1166666666667,60,283,65,18667,-105.8412696,-0.20539318025112152,0.2877609934657812,-0.20539318025112152,0.2877609934657812,8.315108123578524,16.927486681705947,9691,0.001,0.2361425906419754,0.0,7.839722633361816
319.8125,64,264,77,20468,-105.733032984375,-0.31943708658218384,0.25892765702214093,-0.31943708658218384,0.25892765702214093,7.982933523654938,4.9599672323674895,11512,0.001,0.2545894980430603,0.0,8.10338020324707
350.02941176470586,68,263,90,23802,-105.62670972058824,0.06440165638923645,0.3288234497025405,0.06440165638923645,0.3288234497025405,8.466958760619164,2.350773911506403,13301,0.001,0.1871262490749359,0.0,8.660984992980957
333.25,72,239,99,23994,-105.42868936111111,-0.02988298423588276,0.32249856046805886,-0.02988298423588276,0.32249856046805886,8.895107994908871,1.5169439949887864,15043,0.001,0.14857399463653564,0.0,9.712059020996094
318.2763157894737,76,238,101,24189,-105.22886542105262,0.09873464703559875,0.19255282744416036,0.09873464703559875,0.19255282744416036,9.06851331392924,2.1390919725721083,15239,0.001,0.20217128098011017,0.0,9.224510192871094
342.625,80,241,113,27410,-106.88090065000002,2.4734010696411133,1.039067966147111,2.4734010696411133,1.039067966147111,8.900391578674316,1.3615057172540288,16988,0.001,8.212034225463867,0.0,9.113930702209473
365.98809523809524,84,214,143,30743,-106.90748941666668,2.7177751064300537,1.6685658813484254,2.7177751064300537,1.6685658813484254,8.199138164520264,1.0202497252293172,21771,0.001,1.0678788423538208,0.0,9.001548767089844
353.8863636363636,88,213,145,31142,-107.16287993181818,2.277452230453491,1.7021656374314003,2.277452230453491,1.7021656374314003,8.682574374335152,1.4578238555363245,22160,0.001,1.8674781322479248,0.0,8.953764915466309
358.69565217391306,92,220,149,33000,-107.566714826087,2.6908788681030273,2.3463017974581035,2.6908788681030273,2.3463017974581035,8.478714629581996,1.234856284525193,22499,0.001,0.8371952772140503,0.0,8.485011100769043
362.625,96,205,169,34812,-107.56836676041667,2.5202133655548096,2.5741894841194153,2.5202133655548096,2.5741894841194153,8.07630981717791,1.0662335122802429,25823,0.001,1.4194387197494507,0.0,7.977962493896484
381.9,100,208,183,38190,-107.68015517999999,1.7884019613265991,2.3359320572111755,1.7884019613265991,2.3359320572111755,7.5864422678947445,0.890428725129459,27689,0.001,0.7231963872909546,0.0,7.722523212432861
398.52,104,204,196,40287,-107.95918139999999,1.1009855270385742,3.137359319506465,1.1009855270385742,3.137359319506465,7.676469751306482,3.3790720751559413,29786,0.001,0.7833778858184814,0.0,7.525522232055664
367.57,108,196,206,40565,-108.12157315999998,2.3156540393829346,3.7157323701041087,2.3156540393829346,3.7157323701041087,6.788595335824149,0.9114206026900898,31594,0.001,0.5233094692230225,0.0,7.646101474761963
351.8,112,195,208,40830,-108.08627872999999,3.4145443439483643,3.782842659589016,3.4145443439483643,3.782842659589016,6.823618469816266,0.7962236915070277,31854,0.001,0.3674880266189575,0.0,7.035665035247803
308.84,116,195,211,41385,-108.78390445999999,3.0361156463623047,3.7642651423811913,3.0361156463623047,3.7642651423811913,6.726913134256999,0.7649021735414863,32403,0.001,0.35129082202911377,0.0,6.519603252410889
325.11,120,198,224,44729,-108.49992595000002,3.0419397354125977,4.005622770335223,3.0419397354125977,4.005622770335223,6.93610751951063,0.8593796666812252,34228,0.001,0.3042455315589905,0.0,7.140379428863525
338.88,124,190,245,46588,-108.15396658999998,5.871710300445557,4.6643261283636095,5.871710300445557,4.6643261283636095,6.7618639761209485,0.8229181247600355,37625,0.001,1.328870415687561,0.0,7.709352016448975
384.82,128,186,276,51506,-107.60458565,5.8587846755981445,5.033805166780948,5.8587846755981445,5.033805166780948,6.610911863446236,0.8406179063068703,42487,0.001,0.37465304136276245,0.0,6.623193740844727
370.78,132,186,278,51937,-107.13720074999999,6.211706638336182,5.372109736336602,6.211706638336182,5.372109736336602,6.642757436964247,1.0420031697395142,42950,0.001,0.4637795388698578,0.0,6.293712139129639
401.98,136,189,292,55349,-107.17189784,6.383336544036865,5.166616880375406,6.383336544036865,5.166616880375406,6.738746456477953,1.0069542996909306,44848,0.001,0.5991148948669434,0.0,6.32147216796875
386.32,140,183,304,55970,-107.79795094,7.401616096496582,5.52996438321933,7.401616096496582,5.52996438321933,7.118130724195024,1.1495097713203917,46924,0.001,2.3394551277160645,0.0,7.292811870574951
387.45,144,183,307,56338,-108.36288915000003,6.840160846710205,5.984142541885376,6.840160846710205,5.984142541885376,7.217642025514082,1.4193553732729507,47370,0.001,0.8965597152709961,0.0,7.55658483505249
403.29,148,182,318,58219,-108.35661828000002,4.300304412841797,5.700018286705017,4.300304412841797,5.700018286705017,7.044601608205725,0.947426518632306,49213,0.001,0.8460707068443298,0.0,6.780387878417969
434.29,152,181,340,61582,-108.13952761000002,6.280343532562256,5.989137521386146,6.280343532562256,5.989137521386146,6.426561263799667,0.9541660991800017,52603,0.001,2.1564695835113525,0.0,6.411089897155762
467.31,156,183,354,65099,-107.07881437000002,8.191998481750488,6.384775960168173,8.191998481750488,6.384775960168173,6.4122933232507044,0.8618880430626314,54598,0.001,1.4469927549362183,0.0,6.244485855102539
497.88,160,178,383,68455,-106.70076896999998,6.597833156585693,5.772589993926714,6.597833156585693,5.772589993926714,6.999084157763787,0.6114285675303959,59505,0.001,1.612628698348999,0.0,7.245420932769775
514.15,164,181,397,71883,-105.91714761000001,7.052170753479004,5.678694918535758,7.052170753479004,5.678694918535758,6.866830307504405,0.7126078579736792,61382,0.001,0.8367341160774231,0.0,6.770313739776611
