rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,train/actor_loss,train/critic_loss,train/Beta,train/RL_loss,train/learning_rate,train/Main_losses,train/MSE_loss,train/critic_los,train/n_updates,train/loss,train/MSE_losses
-106.12203575000001,4,88.0,0,352,1866,,,,,,,,,,,
-99.51205200000001,8,470.5,1,3764,2003,,,,,,,,,,,
-100.29493416666668,12,471.4166666666667,2,5657,2006,,,,,,,,,,,
-103.8076956875,16,377.9375,3,6047,2002,,,,,,,,,,,
-102.12516984999999,20,467.75,4,9355,2004,,,,,,,,,,,
-103.64180845833334,24,541.5833333333334,26,12998,492,-0.4083519053598866,2.6245344475400634,0.0,-0.313451886177063,0.001,-0.4083519053598866,7.6566362380981445,0.06629568338394165,3471,-0.313451886177063,8.942673951387405
-107.35629489285714,28,532.75,39,14917,381,-0.07551708772662095,1.2785818793543149,0.0,-0.036659613251686096,0.001,-0.07551708772662095,7.602316856384277,0.11886310577392578,5506,-0.036659613251686096,8.521743786931038
-107.353834625,32,579.75,53,18552,346,0.016689593412320392,2.04490145920543,0.0,0.6058496832847595,0.001,0.016689593412320392,9.20305061340332,1.3405765295028687,7597,0.6058496832847595,8.764862589240074
-109.22810511111112,36,566.3888888888889,73,20390,277,0.02538143208419735,2.385417649565741,0.0,-0.15761402249336243,0.001,0.02538143208419735,9.363874435424805,0.1572449505329132,10982,-0.15761402249336243,10.127047538757324
-108.90146810000002,40,592.975,94,23719,251,0.49088015003750723,2.7271858168409224,0.0,0.43691298365592957,0.001,0.49088015003750723,8.651163101196289,0.14830747246742249,14282,0.43691298365592957,8.795131961504618
-108.44863236363639,44,578.8636363636364,105,25470,241,0.7316570307772893,4.4905442195195775,0.0,1.3451502323150635,0.001,0.7316570307772893,9.422163963317871,0.3312950134277344,16060,1.3451502323150635,8.925531790806698
-109.06912766666666,48,535.1875,106,25689,240,0.9246091148150819,3.5517693183638834,0.0,0.6718131899833679,0.001,0.9246091148150819,8.717622756958008,0.4363458752632141,16284,0.6718131899833679,8.993312290736608
-109.6026784423077,52,498.3269230769231,108,25913,239,0.9893538037250782,2.738884939567039,0.0,1.8038583993911743,0.001,0.9893538037250782,9.941794395446777,2.548468589782715,16502,1.8038583993911743,9.336156417583597
-110.28983707142856,56,467.39285714285717,109,26174,238,1.1774836710521153,2.3738815411925316,0.0,0.8555965423583984,0.001,1.1774836710521153,9.164907455444336,0.3102511167526245,16747,0.8555965423583984,9.397070612226214
-110.98662771666666,60,491.55,122,29493,241,1.6002151401713491,2.3944710498675703,0.0,1.3674824237823486,0.001,1.6002151401713491,9.548300743103027,0.21969816088676453,18538,1.3674824237823486,9.292269439697266
-110.55894815625,64,467.078125,133,29893,224,2.1100931553567044,0.9408927680771859,0.0,2.062880277633667,0.001,2.1100931553567044,9.483148574829102,0.7066051363945007,20473,2.062880277633667,9.41479420271076
-110.07984644117647,68,467.30882352941177,144,31777,219,2.3715346770361068,1.190352074438706,0.0,2.1018261909484863,0.001,2.3715346770361068,7.703328609466553,0.32497885823249817,22327,2.1018261909484863,8.964929088354111
-108.35210658333334,72,509.125,167,36657,218,2.5230207977443935,1.028050888259895,0.0,2.209892749786377,0.001,2.5230207977443935,8.701964378356934,0.12749864161014557,25702,2.209892749786377,8.781636566519737
-108.36850418421052,76,532.4342105263158,191,40465,211,2.938700990229845,1.1449722897075116,0.0,1.73088538646698,0.001,2.938700990229845,9.88568115234375,0.14259064197540283,29510,1.73088538646698,9.121941756606102
-105.76935414999998,80,566.775,230,45342,196,2.72934971049428,1.0402719181962312,0.0,2.4430906772613525,0.001,2.72934971049428,8.945754051208496,0.6434597969055176,35910,2.4430906772613525,8.796004938483238
-105.86303746428568,84,545.1190476190476,233,45790,196,2.9732892376131717,1.0697495805808401,0.0,1.8564698696136475,0.001,2.9732892376131717,8.552396774291992,0.8583871126174927,36357,1.8564698696136475,9.024173002327437
-105.71940063636363,88,523.1363636363636,235,46036,195,3.1556704521179197,1.3804643819297568,0.0,3.298168182373047,0.001,3.1556704521179197,8.637015342712402,1.1203062534332275,36626,3.298168182373047,8.909179251534598
-105.77158334782608,92,503.0217391304348,236,46278,195,3.104983384544785,1.1632209651776262,0.0,2.741130828857422,0.001,3.104983384544785,9.541095733642578,0.28780657052993774,36858,2.741130828857422,9.122056935284588
-103.99413764583335,96,532.9791666666666,267,51166,191,3.3641925556212664,0.7800445265835151,0.0,3.9737565517425537,0.001,3.3641925556212664,7.520131587982178,1.1421351432800293,41723,3.9737565517425537,7.7380136936903
-105.24916680000003,100,532.78,279,53278,190,3.551878103843102,0.5204845879085457,0.0,2.8962700366973877,0.001,3.551878103843102,8.680709838867188,0.36212486028671265,43711,2.8962700366973877,8.181223551432291
-105.12884831000001,104,548.89,284,55241,193,3.7186258137226105,0.7818983246882757,0.0,6.62392520904541,0.001,3.7186258137226105,7.683047771453857,1.0294337272644043,44286,6.62392520904541,7.645988871653874
-104.22311094999999,108,563.67,315,60131,190,3.7763833017647266,0.7420305703254416,0.0,4.526519775390625,0.001,3.7763833017647266,9.211706161499023,0.915055513381958,49176,4.526519775390625,7.720682175755501
-102.99251818000002,112,594.32,346,65089,187,3.741481145322323,0.6243451210064813,0.0,2.7250185012817383,0.001,3.741481145322323,8.306679725646973,0.3000370264053345,54134,2.7250185012817383,7.831517053246498
-102.17745217000001,116,636.42,375,69689,185,3.776469528402081,0.6140810230334524,0.0,4.011366367340088,0.001,3.776469528402081,7.207646369934082,0.36231309175491333,58734,4.011366367340088,7.2366151533054035
-101.57708070999999,120,642.2,400,73575,183,3.71420423746109,0.5564674084750004,0.0,2.666454315185547,0.001,3.71420423746109,7.343174934387207,0.09912243485450745,62620,2.666454315185547,7.508381754755974
-99.48997537000001,124,669.77,440,79975,181,3.5498940646648407,0.4726016726763919,0.0,2.6655540466308594,0.001,3.5498940646648407,7.745233058929443,0.4114726185798645,69020,2.6655540466308594,8.060079523324966
-96.77659795000004,128,714.58,480,86375,179,3.3779956071078776,0.4081301640206948,0.0,2.8125641345977783,0.001,3.3779956071078776,7.638321399688721,0.14296278357505798,75420,2.8125641345977783,8.26178197801113
-95.91619279000003,132,742.23,521,92775,177,3.1711689203977587,0.3859497330826707,0.0,2.2654528617858887,0.001,3.1711689203977587,8.158236503601074,3.7839255332946777,81820,2.2654528617858887,7.711529887914658
-93.06460571,136,787.85,561,99175,176,3.1543585667014122,0.39846776017919183,0.0,2.5910351276397705,0.001,3.1543585667014122,7.950318336486816,0.11019827425479889,88220,2.5910351276397705,8.06232899427414
-90.59067239,140,818.56,601,105575,175,2.880890512764454,0.3302412280126009,0.0,2.6336324214935303,0.001,2.880890512764454,7.262210369110107,0.12555299699306488,94620,2.6336324214935303,7.54073836684227
-89.16698256,144,856.68,637,111138,174,2.688458694247749,0.5514239074239998,0.0,2.2428066730499268,0.001,2.688458694247749,8.369298934936523,0.13400281965732574,100183,2.2428066730499268,7.427292607274894
-87.08993258000001,148,918.49,677,117538,173,2.3531451037153603,0.4635574091062881,0.0,2.4956555366516113,0.001,2.3531451037153603,6.500336647033691,0.10945571959018707,106583,2.4956555366516113,6.8863855880498885
-84.16920282,152,980.25,717,123938,172,2.2507916704565285,0.45781250794767403,0.0,2.0668790340423584,0.001,2.2507916704565285,8.071700096130371,0.26543760299682617,112983,2.0668790340423584,7.7692337679862975
-83.59239588999999,156,1033.07,752,129481,171,1.9590735826455057,0.3337562773260288,0.0,2.49476957321167,0.001,1.9590735826455057,7.401734352111816,0.15116600692272186,118526,2.49476957321167,7.443399773240089
-83.48123187999998,160,1021.59,774,131652,169,2.192430563767751,0.34470597612723874,0.0,2.3348095417022705,0.001,2.192430563767751,7.686512470245361,0.3280620872974396,122220,2.3348095417022705,7.904754691653782
-83.45534896,164,1041.62,787,134055,170,2.2089988122115263,0.29049069274749073,0.0,1.6522353887557983,0.001,2.2089988122115263,8.784859657287598,0.24880850315093994,124178,1.6522353887557983,8.811928330241022
-83.48757757999999,168,1086.78,821,140455,170,2.439597219079733,0.44693961094133555,0.0,1.3802927732467651,0.001,2.439597219079733,8.81649398803711,0.07113243639469147,129500,1.3802927732467651,8.741573750376702
-85.05145392,172,1040.44,831,140701,169,2.510931216753446,0.23758273055920234,0.0,1.9844180345535278,0.001,2.510931216753446,7.326869964599609,0.18732011318206787,131281,1.9844180345535278,7.664832188532903
-85.10985994999999,176,1004.29,833,140894,169,2.868774135907491,0.6047724021035571,0.0,3.424255847930908,0.001,2.868774135907491,6.9063401222229,0.5057797431945801,131491,3.424255847930908,6.925127483549572
-85.83504306,180,1019.52,864,147294,170,2.905931279063225,0.5202586169913411,0.0,1.7291457653045654,0.001,2.905931279063225,7.435344219207764,0.057968974113464355,136339,1.7291457653045654,7.710936565995216
-83.36577312,184,1079.04,905,153694,169,3.0067393843829633,0.543929036470363,0.0,2.8650970458984375,0.001,3.0067393843829633,8.155888557434082,0.28709107637405396,142739,2.8650970458984375,7.4075458002090455
-81.29245173,188,1140.58,945,160094,169,3.0930702333152293,0.7351553394668735,0.0,2.440141201019287,0.001,3.0930702333152293,7.395443439483643,0.1311628371477127,149139,2.440141201019287,7.500246973633766
-79.51225125,192,1202.16,986,166494,168,3.105231506973505,0.38332999727223066,0.0,3.635476589202881,0.001,3.105231506973505,7.221053123474121,0.3626941740512848,155539,3.635476589202881,7.389605353474617
-79.05263897,196,1217.28,1026,172894,168,2.9669577936828135,0.3528291077143513,0.0,2.460484027862549,0.001,2.9669577936828135,6.637489318847656,0.0822538435459137,161939,2.460484027862549,6.904314292073249
-75.07204253,200,1260.16,1066,179294,168,2.771484365016222,0.33025147469947114,0.0,2.109476089477539,0.001,2.771484365016222,7.201706409454346,0.6784980297088623,168339,2.109476089477539,7.3906821054220195
