time/episodes,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/MSE_losses,train/critic_los,train/loss,train/learning_rate,train/n_updates,train/MSE_loss,train/RL_loss,train/Beta,train/critic_loss,train/actor_loss,train/Main_losses
88,267.95454545454544,23580,231,101,-113.6017068977273,9.363031967826512,0.6493595838546753,2.1753172874450684,0.001,14349,10.135342597961426,2.1753172874450684,0.0,4.73943683375483,1.4974261705318224,1.4974261705318224
92,284.7173913043478,26194,237,110,-112.07764184782607,9.648426094570675,0.9015416502952576,0.563676118850708,0.001,15467,8.871291160583496,0.563676118850708,0.0,3.473501401874218,1.8655009164802125,1.8655009164802125
96,323.4895833333333,31055,202,153,-111.21041676041666,10.339636843204499,0.6884884834289551,4.238287925720215,0.001,21867,10.64455795288086,4.238287925720215,0.0,1.6603558313287794,2.553134192262078,2.553134192262078
100,374.55,37455,198,188,-110.51522835000002,11.010981771945954,0.7495932579040527,2.3348965644836426,0.001,26728,11.258195877075195,2.3348965644836426,0.0,1.6094906122144312,2.400977829184849,2.400977829184849
104,366.53,39380,187,209,-110.16023400000002,10.437553821465908,1.0317597389221191,2.3685362339019775,0.001,30074,10.960922241210938,2.3685362339019775,0.0,1.65518382559349,1.6815894894683971,1.6815894894683971
108,305.52,39679,187,212,-111.23988491999998,10.459559311737886,2.8983750343322754,2.327500820159912,0.001,30469,11.08211612701416,2.327500820159912,0.0,1.4647333828608196,1.6847212334742416,1.6847212334742416
112,304.08,41633,184,225,-112.04607801000003,10.322651275480636,0.5077256560325623,0.5534225106239319,0.001,32418,10.174500465393066,0.5534225106239319,0.0,1.2009909816763618,2.7321998218093255,2.7321998218093255
116,311.76,44260,188,234,-113.36647887000001,10.847257244971491,0.2824332118034363,6.1146240234375,0.001,33533,10.96217155456543,6.1146240234375,0.0,0.8127023568229069,2.477907895080505,2.477907895080505
120,372.77,50660,182,277,-112.43205774999997,9.474156050086021,0.8196026682853699,3.629589080810547,0.001,39933,10.033190727233887,3.629589080810547,0.0,1.9689546525012702,1.8268989873980173,1.8268989873980173
124,434.98,57060,177,322,-111.34253573000004,9.600944471359252,0.7654138803482056,4.204685688018799,0.001,46333,10.077388763427734,4.204685688018799,0.0,1.4556181734008715,1.3468612413172922,1.3468612413172922
128,497.03,63460,173,365,-108.64120424000002,10.036151658296586,0.292235404253006,0.2959802448749542,0.001,52733,10.259892463684082,0.2959802448749542,0.0,1.120047811619006,0.887146475721238,0.887146475721238
132,556.61,69860,171,407,-106.80244019000001,8.985189803242683,0.18916088342666626,1.4031622409820557,0.001,59133,8.679844856262207,1.4031622409820557,0.0,1.4034016288723796,1.0834239701213664,1.0834239701213664
136,617.64,76260,168,453,-104.20797935,8.936679949164391,0.32595813274383545,-0.40654319524765015,0.001,65533,9.514299392700195,-0.40654319524765015,0.0,0.8658846264844761,1.096244593638694,1.096244593638694
140,631.18,79651,164,483,-103.45907129,7.630579373193165,1.1499099731445312,0.9254757761955261,0.001,70459,7.64296817779541,0.9254757761955261,0.0,0.7340101765853072,1.3292026748171164,1.3292026748171164
144,645.55,81531,167,487,-102.94469500000002,7.697530989061322,0.5110175609588623,2.941661834716797,0.001,70804,7.917474269866943,2.941661834716797,0.0,0.9162766475856832,1.2933516512837326,1.2933516512837326
148,667.71,86435,163,527,-100.68838636000001,9.220913145542145,0.11911111325025558,-0.21291446685791016,0.001,77204,8.937281608581543,-0.21291446685791016,0.0,0.7270910324598663,1.2815092010842637,1.2815092010842637
152,726.77,92835,165,561,-97.78938744000001,9.43589421272278,0.21525974571704865,0.866758406162262,0.001,82108,9.660507202148438,0.866758406162262,0.0,0.8542694306047633,1.4118650156573858,1.4118650156573858
156,787.84,99235,164,604,-95.27159467999998,9.305523329973221,0.23772601783275604,1.3148363828659058,0.001,88508,9.18441390991211,1.3148363828659058,0.0,1.0747474279720337,1.9571509528520983,1.9571509528520983
160,847.03,105635,162,650,-91.12045669,9.419838985204697,0.15712109208106995,2.109714984893799,0.001,94908,9.083380699157715,2.109714984893799,0.0,0.9120937542803585,2.555669219940901,2.555669219940901
164,904.16,112035,160,697,-87.90361749999997,9.966264642477036,0.07991157472133636,1.3850045204162598,0.001,101308,9.57651424407959,1.3850045204162598,0.0,0.7974527290347032,2.9127588145434857,2.9127588145434857
168,965.04,118435,159,743,-85.76914068,7.917312301397324,0.18919643759727478,1.9428744316101074,0.001,107708,7.287216663360596,1.9428744316101074,0.0,0.7422247748007067,2.931161131262779,2.931161131262779
172,1026.9,124835,158,789,-84.90324134000001,7.640814480781555,0.09252914786338806,1.8623298406600952,0.001,114108,7.908740520477295,1.8623298406600952,0.0,0.6289182003634051,2.804599369615316,2.804599369615316
176,1087.06,131235,157,831,-82.84281332999998,7.4608209657669065,0.39821916818618774,4.215554714202881,0.001,120508,7.552872180938721,4.215554714202881,0.0,0.6131748923449777,2.8055061180889607,2.8055061180889607
180,1147.68,137635,157,874,-81.30748743,7.741945834755898,0.21670928597450256,2.774052143096924,0.001,126908,7.638993263244629,2.774052143096924,0.0,0.4224613554193638,3.0474807024002075,3.0474807024002075
184,1207.4,144035,157,916,-79.79968493999999,9.35222619354725,2.7866525650024414,2.4660089015960693,0.001,133308,8.458518028259277,2.4660089015960693,0.0,0.4281675412051845,3.063990839570761,3.063990839570761
188,1254.03,148983,157,948,-77.78241204,9.63324708223343,0.32658153772354126,3.108767032623291,0.001,138256,8.810338973999023,3.108767032623291,0.0,0.4309423925168812,3.0942835722863675,3.0942835722863675
192,1291.89,155383,156,991,-76.89885702999999,9.020712248682976,0.5010214447975159,1.9899522066116333,0.001,144656,8.491564750671387,1.9899522066116333,0.0,0.5271691422455479,2.9368189822137354,2.9368189822137354
196,1307.28,161783,156,1035,-75.74633548,7.246540564894676,1.191554307937622,3.3979883193969727,0.001,151056,7.420145511627197,3.3979883193969727,0.0,0.6702126025385223,3.0457160922884943,3.0457160922884943
200,1307.28,168183,155,1081,-75.02186966,7.631827274560928,59.233604431152344,3.5103955268859863,0.001,157456,7.833920955657959,3.5103955268859863,0.0,0.588870686473092,2.93679600790143,2.93679600790143
204,1352.03,174583,155,1123,-71.54788755999999,8.105622165203094,0.1368131935596466,2.0037782192230225,0.001,163856,7.864256858825684,2.0037782192230225,0.0,0.5286160217504948,2.88390683978796,2.88390683978796
208,1413.04,180983,155,1166,-68.51863437,8.088949936628342,0.10558497905731201,2.688800096511841,0.001,170256,7.643738746643066,2.688800096511841,0.0,0.32729733478627165,2.6980205583572388,2.6980205583572388
212,1457.5,187383,155,1207,-65.16727811999998,8.299343443512917,0.4113224744796753,2.706153392791748,0.001,176656,8.404247283935547,2.706153392791748,0.0,0.6054831344494596,2.5832960967719556,2.5832960967719556
216,1495.23,193783,155,1246,-61.34946061000001,8.959891884922982,0.14286592602729797,1.6429625749588013,0.001,183056,8.663517951965332,1.6429625749588013,0.0,0.430179880122887,2.540809718221426,2.540809718221426
220,1495.23,200183,155,1286,-59.59431905,8.388978596925735,0.3816383183002472,3.2547607421875,0.001,189456,8.631607055664062,3.2547607421875,0.0,0.3345442255947273,2.601296121776104,2.601296121776104
224,1495.23,206583,155,1326,-57.88376238000001,9.155509192347527,0.08886045962572098,2.7144370079040527,0.001,195856,9.690176963806152,2.7144370079040527,0.0,0.3630737836356275,2.509846964031458,2.509846964031458
228,1495.23,212983,155,1366,-57.407046179999995,9.624265123605728,0.19205690920352936,2.367077112197876,0.001,202256,9.976044654846191,2.367077112197876,0.0,0.3376854998653289,2.469772602915764,2.469772602915764
232,1495.23,219383,156,1406,-56.08892217999998,9.263184348344803,0.1312369406223297,1.6869910955429077,0.001,208656,8.715222358703613,1.6869910955429077,0.0,0.3079496257379651,2.072336211651564,2.072336211651564
236,1495.23,225783,156,1445,-55.02418197000001,9.438439359664917,0.026656150817871094,1.5932341814041138,0.001,215056,9.483793258666992,1.5932341814041138,0.0,0.21383698310441104,1.7634183214604855,1.7634183214604855
240,1525.32,232183,156,1485,-53.43485948000001,8.903373450040817,0.019848590716719627,1.398763656616211,0.001,221456,9.507476806640625,1.398763656616211,0.0,0.09369809149036883,1.690452148616314,1.690452148616314
244,1570.52,238583,156,1525,-51.204612510000004,9.035421273708344,0.07315613329410553,1.5069047212600708,0.001,227856,9.2688570022583,1.5069047212600708,0.0,0.27799272642005235,1.6474139806628227,1.6474139806628227
248,1585.48,244983,156,1565,-50.54776795,9.260683382749557,0.006162327714264393,1.4001924991607666,0.001,234256,9.052862167358398,1.4001924991607666,0.0,0.03500616544712102,1.406794032752514,1.406794032752514
252,1585.48,251383,156,1605,-49.45762844,9.163999565839767,0.014857616275548935,1.2085682153701782,0.001,240656,9.001569747924805,1.2085682153701782,0.0,0.04063293983330368,1.3496203692257405,1.3496203692257405
256,1585.48,257783,156,1644,-48.388778220000006,9.176910310387612,0.010603521950542927,1.2703149318695068,0.001,247056,9.892255783081055,1.2703149318695068,0.0,0.03453097837176756,1.2948463287949563,1.2948463287949563
260,1585.48,264183,156,1684,-48.28368039000001,9.08940219938755,0.021171286702156067,1.1067004203796387,0.001,253456,8.786849975585938,1.1067004203796387,0.0,0.041092418600019304,1.243206830918789,1.243206830918789
264,1585.48,270583,156,1725,-47.44601652,8.96349003314972,0.005239943042397499,1.25052809715271,0.001,259856,8.669177055358887,1.25052809715271,0.0,0.04148187029677501,1.211798268854618,1.211798268854618
268,1557.4,274175,156,1748,-48.04545692,9.048908084904381,0.011537747457623482,1.2717225551605225,0.001,263448,9.255353927612305,1.2717225551605225,0.0,0.055900677851691775,1.2265993903536316,1.2265993903536316
272,1557.4,280575,156,1789,-45.49153146999999,8.906514992713928,0.005283918231725693,1.2069169282913208,0.001,269848,9.176589012145996,1.2069169282913208,0.0,0.24953098648591548,1.2043195617944003,1.2043195617944003
276,1526.37,283872,155,1819,-45.34719908,8.83105644312772,0.008441143669188023,0.9575242400169373,0.001,274693,9.045095443725586,0.9575242400169373,0.0,0.03797220247280267,1.1125203696164219,1.1125203696164219
280,1526.37,290272,156,1850,-43.90156162,7.075191749930382,0.013086231425404549,1.0561473369598389,0.001,279545,7.812271595001221,1.0561473369598389,0.0,0.22679645038893795,1.0474281722307206,1.0474281722307206
284,1517.37,295772,156,1884,-44.73279042,8.3287378937006,0.1138746589422226,1.0211856365203857,0.001,285045,8.036711692810059,1.0211856365203857,0.0,0.24731190503633116,1.112068977728486,1.112068977728486
