train/Beta,train/MSE_losses,time/time_elapsed,train/ent_coef_loss,train/RL_loss,time/total_timesteps,train/ent_coef,train/Main_losses,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,train/actor_loss,train/MSE_loss,train/loss,train/critic_los,time/episodes,time/fps,train/n_updates,rollout/ep_len_mean
0.8604,1.7512704133987427,7,-0.10126113891601562,17.133512496948242,800,0.7003875970840454,32.20144271850586,0.001,0.8267090916633606,-690.73946575,17.133512496948242,1.7512704133987427,32.20144271850586,0.8267090916633606,4,100,699,200.0
0.7004,1.5487112998962402,17,-0.12273801863193512,20.774826049804688,1600,0.577545166015625,31.62200164794922,0.001,0.7870240211486816,-463.27811849999995,20.774826049804688,1.5487112998962402,31.62200164794922,0.7870240211486816,8,93,1499,200.0
0.5404,1.553139090538025,26,-0.05107661709189415,27.732492446899414,2400,0.46724021434783936,36.12565612792969,0.001,0.9413886070251465,-349.14411025,27.732492446899414,1.553139090538025,36.12565612792969,0.9413886070251465,12,91,2299,200.0
0.3804,1.4547851085662842,35,-0.21422897279262543,25.888198852539062,3200,0.37721315026283264,31.42220115661621,0.001,0.4654267430305481,-320.5299053125,25.888198852539062,1.4547851085662842,31.42220115661621,0.4654267430305481,16,90,3099,200.0
0.2204,1.7349933385849,44,-0.27439388632774353,28.748336791992188,4000,0.2582681179046631,32.572261810302734,0.001,0.7392764091491699,-293.08197125,28.748336791992188,1.7349933385849,32.572261810302734,0.7392764091491699,20,90,3899,200.0
0.0604,1.7603901624679565,53,-0.6821180582046509,28.317657470703125,4800,0.12590838968753815,29.38093376159668,0.001,0.8375076055526733,-268.44568399999997,28.317657470703125,1.7603901624679565,29.38093376159668,0.8375076055526733,24,89,4699,200.0
0,1.7881914377212524,62,-0.8528730869293213,25.08526611328125,5600,0.04033035412430763,25.08526611328125,0.001,0.8309547901153564,-247.09397217857142,25.08526611328125,1.7881914377212524,25.08526611328125,0.8309547901153564,28,89,5499,200.0
0,1.8276689052581787,71,-0.058252207934856415,26.46479606628418,6400,0.03604711592197418,26.46479606628418,0.001,1.339304804801941,-231.58520293750001,26.46479606628418,1.8276689052581787,26.46479606628418,1.339304804801941,32,89,6299,200.0
0,1.9083142280578613,80,0.1052093654870987,30.912715911865234,7200,0.03818334639072418,30.912715911865234,0.001,1.4389057159423828,-215.90774525,30.912715911865234,1.9083142280578613,30.912715911865234,1.4389057159423828,36,89,7099,200.0
0,1.8007705211639404,89,0.14184734225273132,23.08684539794922,8000,0.02837458811700344,23.08684539794922,0.001,1.1693650484085083,-206.28982365000002,23.08684539794922,1.8007705211639404,23.08684539794922,1.1693650484085083,40,89,7899,200.0
0,1.8621084690093994,98,-0.57616126537323,19.59362030029297,8800,0.02416590042412281,19.59362030029297,0.001,0.4749875068664551,-200.97998290909092,19.59362030029297,1.8621084690093994,19.59362030029297,0.4749875068664551,44,88,8699,200.0
0,1.6837961673736572,108,-0.08874738961458206,21.583099365234375,9600,0.021132897585630417,21.583099365234375,0.001,0.8210695385932922,-197.09394966666665,21.583099365234375,1.6837961673736572,21.583099365234375,0.8210695385932922,48,88,9499,200.0
0,1.738553762435913,117,-0.5220762491226196,21.53864097595215,10400,0.01781627908349037,21.53864097595215,0.001,0.8968343734741211,-188.74595965384617,21.53864097595215,1.738553762435913,21.53864097595215,0.8968343734741211,52,88,10299,200.0
0,1.8156895637512207,126,-0.20560327172279358,22.05353546142578,11200,0.015061206184327602,22.05353546142578,0.001,0.5122231841087341,-185.93565024999998,22.05353546142578,1.8156895637512207,22.05353546142578,0.5122231841087341,56,88,11099,200.0
0,2.2189724445343018,135,0.6396516561508179,18.593915939331055,12000,0.01434363890439272,18.593915939331055,0.001,0.3542424440383911,-181.47980311666663,18.593915939331055,2.2189724445343018,18.593915939331055,0.3542424440383911,60,88,11899,200.0
0,2.2238526344299316,144,-0.736218273639679,21.303449630737305,12800,0.0173487551510334,21.303449630737305,0.001,0.553625762462616,-182.65397112500003,21.303449630737305,2.2238526344299316,21.303449630737305,0.553625762462616,64,88,12699,200.0
0,1.946379542350769,153,-0.03053443133831024,19.34378433227539,13600,0.013840388506650925,19.34378433227539,0.001,0.2662908434867859,-180.46285341176477,19.34378433227539,1.946379542350769,19.34378433227539,0.2662908434867859,68,88,13499,200.0
0,2.108025074005127,162,0.8819522261619568,20.902462005615234,14400,0.013279653154313564,20.902462005615234,0.001,0.45753657817840576,-181.64883897222222,20.902462005615234,2.108025074005127,20.902462005615234,0.45753657817840576,72,88,14299,200.0
0,2.0604262351989746,171,-0.357998251914978,17.071346282958984,15200,0.011842438951134682,17.071346282958984,0.001,0.5569595694541931,-179.96394546052633,17.071346282958984,2.0604262351989746,17.071346282958984,0.5569595694541931,76,88,15099,200.0
0,2.2474660873413086,180,0.17358800768852234,25.213817596435547,16000,0.015745731070637703,25.213817596435547,0.001,0.34972697496414185,-182.8493518875,25.213817596435547,2.2474660873413086,25.213817596435547,0.34972697496414185,80,88,15899,200.0
0,2.0875110626220703,189,-0.12080290913581848,23.457778930664062,16800,0.016942590475082397,23.457778930664062,0.001,0.5556887984275818,-183.13128613095236,23.457778930664062,2.0875110626220703,23.457778930664062,0.5556887984275818,84,88,16699,200.0
0,2.1905345916748047,198,0.1714705526828766,18.820892333984375,17600,0.01692388206720352,18.820892333984375,0.001,0.2971809506416321,-180.26511468181818,18.820892333984375,2.1905345916748047,18.820892333984375,0.2971809506416321,88,88,17499,200.0
