time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/actor_loss,train/MSE_loss,train/RL_loss,train/MSE_losses,train/loss,train/Main_losses,train/Beta,train/critic_los,train/critic_loss,train/learning_rate
4,4896,0,200.0,-1194.7211665,800,,,,,,,,,,,
8,4901,0,200.0,-1308.2998805,1600,,,,,,,,,,,
12,4915,0,200.0,-1289.0402195833333,2400,,,,,,,,,,,
16,4902,0,200.0,-1261.1929980625,3200,,,,,,,,,,,
20,4883,0,200.0,-1237.99104835,4000,,,,,,,,,,,
24,4884,0,200.0,-1293.2072314166664,4800,,,,,,,,,,,
28,4882,1,200.0,-1303.112068642857,5600,,,,,,,,,,,
32,4883,1,200.0,-1316.24818225,6400,,,,,,,,,,,
36,4886,1,200.0,-1322.4819547499999,7200,,,,,,,,,,,
40,4890,1,200.0,-1307.96892715,8000,,,,,,,,,,,
44,4898,1,200.0,-1308.490624681818,8800,,,,,,,,,,,
48,4903,1,200.0,-1303.1424067291666,9600,,,,,,,,,,,
52,3087,3,200.0,-1310.556364980769,10400,200,7.573580158948898,6.399057388305664,8.654000282287598,4.820175635814667,8.654000282287598,7.573580158948898,0.0,0.3972894549369812,5.360439217090606,0.001
56,1360,8,200.0,-1331.2933611249998,11200,1000,17.983850450515746,6.703439712524414,18.970468521118164,6.708135986328125,18.970468521118164,17.983850450515746,0.0,0.038038235157728195,0.050145225087180736,0.001
60,917,13,200.0,-1331.6399891,12000,1800,28.676097412109375,6.310303688049316,30.825828552246094,6.06657301902771,30.825828552246094,28.676097412109375,0.0,0.0817355215549469,0.08434860639274121,0.001
64,713,17,200.0,-1320.9828178125,12800,2600,38.82352394104004,4.773196220397949,39.12900161743164,5.609990162849426,39.12900161743164,38.82352394104004,0.0,0.2628941535949707,0.15755116190761329,0.001
68,597,22,200.0,-1295.5391754558823,13600,3400,48.017415351867676,4.68167781829834,47.95527267456055,5.029694757461548,47.95527267456055,48.017415351867676,0.0,0.24340291321277618,0.2548354969918728,0.001
72,520,27,200.0,-1249.639677736111,14400,4200,54.26515899658203,5.31593132019043,55.432373046875,4.45937700510025,55.432373046875,54.26515899658203,0.0,0.4397440552711487,0.34635792177170516,0.001
76,467,32,200.0,-1188.8677625263158,15200,5000,59.20249549865723,3.6998565196990967,56.17100524902344,3.858634271621704,56.17100524902344,59.20249549865723,0.0,0.7758291363716125,0.44256115339696406,0.001
80,428,37,200.0,-1137.4333213375,16000,5800,62.244137878417966,3.046496868133545,53.5108642578125,3.4149689507484435,53.5108642578125,62.244137878417966,0.0,1.2037837505340576,0.5787973746657371,0.001
84,397,42,200.0,-1092.8816999285714,16800,6600,65.27351383209229,3.54107666015625,76.04907989501953,2.8980521428585053,76.04907989501953,65.27351383209229,0.0,0.6769620180130005,0.7070069268345833,0.001
88,373,47,200.0,-1051.5382251590909,17600,7400,67.33518238067627,3.0056493282318115,68.70096588134766,2.5447168803215026,68.70096588134766,67.33518238067627,0.0,1.0623828172683716,0.9516235400736331,0.001
