time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,train/loss,train/learning_rate,train/critic_los,train/Beta,train/MSE_loss,train/critic_loss,train/MSE_losses,train/ent_coef,train/Main_losses,train/n_updates,train/actor_loss,train/ent_coef_loss,train/RL_loss
104,303,274.35,90,27478,274.35,-71.47596740722656,0.001,0.19101320207118988,0,1.2633106708526611,0.19101320207118988,1.2633106708526611,0.010495892725884914,-71.47596740722656,27377,-71.47596740722656,-0.4072731137275696,-71.47596740722656
108,316,285.1,90,28648,285.1,-71.93040466308594,0.001,0.15829768776893616,0,1.1377029418945312,0.15829768776893616,1.1377029418945312,0.010453487746417522,-71.93040466308594,28547,-71.93040466308594,-0.13136786222457886,-71.93040466308594
112,323,290.54,90,29283,290.54,-73.1857681274414,0.001,0.19207635521888733,0,1.2726188898086548,0.19207635521888733,1.2726188898086548,0.010417202487587929,-73.1857681274414,29182,-73.1857681274414,0.03946632146835327,-73.1857681274414
116,329,294.61,90,29779,294.61,-72.74929809570312,0.001,16.212074279785156,0,1.5061583518981934,16.212074279785156,1.5061583518981934,0.012974622659385204,-72.74929809570312,29678,-72.74929809570312,-0.14712446928024292,-72.74929809570312
120,336,300.31,90,30459,300.31,-75.003662109375,0.001,0.10971881449222565,0,1.4322962760925293,0.10971881449222565,1.4322962760925293,0.020868245512247086,-75.003662109375,30358,-75.003662109375,0.8468482494354248,-75.003662109375
124,351,312.91,90,31796,312.91,-76.08988952636719,0.001,0.13956774771213531,0,1.5754241943359375,0.13956774771213531,1.5754241943359375,0.02283574268221855,-76.08988952636719,31695,-76.08988952636719,-0.6818891763687134,-76.08988952636719
128,373,331.66,90,33796,331.66,-78.90155029296875,0.001,0.5492887496948242,0,1.4718255996704102,0.5492887496948242,1.4718255996704102,0.017328787595033646,-78.90155029296875,33695,-78.90155029296875,-0.5177326202392578,-78.90155029296875
132,395,350.24,90,35796,350.24,-79.44117736816406,0.001,1.4545942544937134,0,1.4289050102233887,1.4545942544937134,1.4289050102233887,0.01732567325234413,-79.44117736816406,35695,-79.44117736816406,0.2348518967628479,-79.44117736816406
136,409,357.31,90,37057,357.31,-79.19760131835938,0.001,0.13142234086990356,0,1.5102524757385254,0.13142234086990356,1.5102524757385254,0.015719227492809296,-79.19760131835938,36956,-79.19760131835938,0.7892129421234131,-79.19760131835938
140,428,369.43,90,38822,369.43,-80.00663757324219,0.001,0.06893830001354218,0,1.1959178447723389,0.06893830001354218,1.1959178447723389,0.011603609658777714,-80.00663757324219,38721,-80.00663757324219,-0.767575740814209,-80.00663757324219
144,440,371.57,90,39909,371.57,-81.1494369506836,0.001,0.6778606176376343,0,1.5389426946640015,0.6778606176376343,1.5389426946640015,0.016688065603375435,-81.1494369506836,39808,-81.1494369506836,-0.3811419904232025,-81.1494369506836
148,454,370.62,90,41193,370.62,-80.34322357177734,0.001,0.2209555059671402,0,1.2049102783203125,0.2209555059671402,1.2049102783203125,0.0132712721824646,-80.34322357177734,41092,-80.34322357177734,0.7429022789001465,-80.34322357177734
152,474,379.15,90,42923,379.15,-82.83609008789062,0.001,0.052871957421302795,0,1.391793966293335,0.052871957421302795,1.391793966293335,0.010995778255164623,-82.83609008789062,42822,-82.83609008789062,0.08250434696674347,-82.83609008789062
156,495,385.49,90,44845,385.49,-83.73201751708984,0.001,0.07357648760080338,0,1.193251132965088,0.07357648760080338,1.193251132965088,0.00693359412252903,-83.73201751708984,44744,-83.73201751708984,0.8970403671264648,-83.73201751708984
160,517,394.79,90,46845,394.79,-84.10221862792969,0.001,0.08958843350410461,0,1.2282882928848267,0.08958843350410461,1.2282882928848267,0.009931938722729683,-84.10221862792969,46744,-84.10221862792969,-0.45103418827056885,-84.10221862792969
164,535,397.09,90,48469,397.09,-85.34343719482422,0.001,0.05603063479065895,0,1.416979432106018,0.05603063479065895,1.416979432106018,0.00790309440344572,-85.34343719482422,48368,-85.34343719482422,0.1470007598400116,-85.34343719482422
168,557,403.88,90,50469,403.88,-88.45426940917969,0.001,0.332994282245636,0,1.1171486377716064,0.332994282245636,1.1171486377716064,0.006788523867726326,-88.45426940917969,50368,-88.45426940917969,-0.486383318901062,-88.45426940917969
172,579,405.64,90,52469,405.64,-86.58363342285156,0.001,0.13364584743976593,0,1.249001383781433,0.13364584743976593,1.249001383781433,0.008564810268580914,-86.58363342285156,52368,-86.58363342285156,0.3158392906188965,-86.58363342285156
176,601,405.64,90,54469,405.64,-88.39730072021484,0.001,0.06391078233718872,0,1.3568415641784668,0.06391078233718872,1.3568415641784668,0.007797058671712875,-88.39730072021484,54368,-88.39730072021484,0.7400830388069153,-88.39730072021484
180,624,405.64,90,56469,405.64,-87.8836669921875,0.001,0.33160531520843506,0,1.182180643081665,0.33160531520843506,1.182180643081665,0.007921661250293255,-87.8836669921875,56368,-87.8836669921875,0.057148486375808716,-87.8836669921875
184,646,405.64,90,58469,405.64,-88.43875122070312,0.001,0.07865364104509354,0,1.3830416202545166,0.07865364104509354,1.3830416202545166,0.01283309143036604,-88.43875122070312,58368,-88.43875122070312,0.5900872945785522,-88.43875122070312
188,668,405.64,90,60469,405.64,-88.75982666015625,0.001,0.09149081259965897,0,1.4157965183258057,0.09149081259965897,1.4157965183258057,0.015570898540318012,-88.75982666015625,60368,-88.75982666015625,0.19836241006851196,-88.75982666015625
192,690,405.64,90,62469,405.64,-86.85752868652344,0.001,0.10189121216535568,0,1.1167454719543457,0.10189121216535568,1.1167454719543457,0.01080674771219492,-86.85752868652344,62368,-86.85752868652344,-0.03474549949169159,-86.85752868652344
196,713,405.64,90,64469,405.64,-89.31719970703125,0.001,0.09835945069789886,0,1.2076078653335571,0.09835945069789886,1.2076078653335571,0.008758514188230038,-89.31719970703125,64368,-89.31719970703125,-0.738459587097168,-89.31719970703125
200,735,406.5,90,66469,406.5,-91.45820617675781,0.001,0.044576726853847504,0,1.0250389575958252,0.044576726853847504,1.0250389575958252,0.005807609297335148,-91.45820617675781,66368,-91.45820617675781,-0.3315485715866089,-91.45820617675781
204,757,409.91,90,68469,409.91,-93.07667541503906,0.001,0.028212573379278183,0,1.1403563022613525,0.028212573379278183,1.1403563022613525,0.00712185725569725,-93.07667541503906,68368,-93.07667541503906,-0.22405120730400085,-93.07667541503906
208,780,418.21,90,70469,418.21,-92.07502746582031,0.001,0.051793769001960754,0,1.0719611644744873,0.051793769001960754,1.0719611644744873,0.006417292170226574,-92.07502746582031,70368,-92.07502746582031,-0.4634897708892822,-92.07502746582031
212,802,431.86,90,72469,431.86,-91.70111083984375,0.001,0.08385854959487915,0,1.122787356376648,0.08385854959487915,1.122787356376648,0.006180823780596256,-91.70111083984375,72368,-91.70111083984375,-0.15722262859344482,-91.70111083984375
216,824,446.9,90,74469,446.9,-93.19635009765625,0.001,0.12811993062496185,0,1.1699544191360474,0.12811993062496185,1.1699544191360474,0.006248143035918474,-93.19635009765625,74368,-93.19635009765625,-0.2925381064414978,-93.19635009765625
220,846,460.1,90,76469,460.1,-93.69635772705078,0.001,0.8270912170410156,0,1.1081690788269043,0.8270912170410156,1.1081690788269043,0.004242898430675268,-93.69635772705078,76368,-93.69635772705078,-0.06491877138614655,-93.69635772705078
224,868,466.73,90,78469,466.73,-92.27729797363281,0.001,0.053168170154094696,0,1.1571000814437866,0.053168170154094696,1.1571000814437866,0.0038852842990309,-92.27729797363281,78368,-92.27729797363281,0.7712482213973999,-92.27729797363281
228,890,466.73,90,80469,466.73,-92.42750549316406,0.001,0.07659029960632324,0,1.2454478740692139,0.07659029960632324,1.2454478740692139,0.004633615724742413,-92.42750549316406,80368,-92.42750549316406,-0.7586169242858887,-92.42750549316406
232,913,466.73,90,82469,466.73,-92.8776626586914,0.001,0.18105769157409668,0,1.145972490310669,0.18105769157409668,1.145972490310669,0.003755597397685051,-92.8776626586914,82368,-92.8776626586914,-0.12979871034622192,-92.8776626586914
236,935,474.12,90,84469,474.12,-94.775390625,0.001,0.1354629546403885,0,1.1504417657852173,0.1354629546403885,1.1504417657852173,0.004294545855373144,-94.775390625,84368,-94.775390625,0.2689325213432312,-94.775390625
240,957,476.47,90,86469,476.47,-92.27027893066406,0.001,0.031860824674367905,0,1.2068252563476562,0.031860824674367905,1.2068252563476562,0.004102238453924656,-92.27027893066406,86368,-92.27027893066406,-0.13364559412002563,-92.27027893066406
244,979,485.6,90,88469,485.6,-93.18566131591797,0.001,0.07142911851406097,0,1.158806562423706,0.07142911851406097,1.158806562423706,0.0027577183209359646,-93.18566131591797,88368,-93.18566131591797,-0.1399957239627838,-93.18566131591797
248,1001,492.76,90,90469,492.76,-94.37348937988281,0.001,0.05081269145011902,0,1.1307270526885986,0.05081269145011902,1.1307270526885986,0.003261318663135171,-94.37348937988281,90368,-94.37348937988281,-0.3076193034648895,-94.37348937988281
252,1023,495.46,90,92469,495.46,-94.50703430175781,0.001,0.3126342296600342,0,1.2663594484329224,0.3126342296600342,1.2663594484329224,0.006043693982064724,-94.50703430175781,92368,-94.50703430175781,-0.5261088609695435,-94.50703430175781
256,1045,496.24,90,94469,496.24,-95.20614624023438,0.001,0.026504142209887505,0,0.9875909090042114,0.026504142209887505,0.9875909090042114,0.003001223085448146,-95.20614624023438,94368,-95.20614624023438,0.6421386003494263,-95.20614624023438
260,1068,496.24,90,96469,496.24,-96.00888061523438,0.001,0.12985986471176147,0,1.259175419807434,0.12985986471176147,1.259175419807434,0.003114264225587249,-96.00888061523438,96368,-96.00888061523438,0.2995144724845886,-96.00888061523438
264,1090,500.0,90,98469,500.0,-96.42344665527344,0.001,0.0289097148925066,0,1.0262553691864014,0.0289097148925066,1.0262553691864014,0.003537129843607545,-96.42344665527344,98368,-96.42344665527344,-2.126384735107422,-96.42344665527344
268,1112,500.0,90,100469,500.0,-96.38488006591797,0.001,0.023701783269643784,0,1.102341890335083,0.023701783269643784,1.102341890335083,0.00390112167224288,-96.38488006591797,100368,-96.38488006591797,0.5801326036453247,-96.38488006591797
272,1134,500.0,90,102469,500.0,-95.60176086425781,0.001,0.02832712233066559,0,1.1535319089889526,0.02832712233066559,1.1535319089889526,0.003185007954016328,-95.60176086425781,102368,-95.60176086425781,0.7542836666107178,-95.60176086425781
276,1156,500.0,90,104469,500.0,-96.03422546386719,0.001,0.03255161643028259,0,1.3791265487670898,0.03255161643028259,1.3791265487670898,0.0027952874079346657,-96.03422546386719,104368,-96.03422546386719,1.333096981048584,-96.03422546386719
280,1179,500.0,90,106469,500.0,-95.76600646972656,0.001,0.024684123694896698,0,1.0983744859695435,0.024684123694896698,1.0983744859695435,0.002902059117332101,-95.76600646972656,106368,-95.76600646972656,-0.6009308099746704,-95.76600646972656
284,1201,500.0,90,108469,500.0,-95.86248779296875,0.001,0.04495779797434807,0,1.0815415382385254,0.04495779797434807,1.0815415382385254,0.002425044309347868,-95.86248779296875,108368,-95.86248779296875,-0.12098431587219238,-95.86248779296875
288,1223,500.0,90,110469,500.0,-95.39822387695312,0.001,0.054312050342559814,0,1.041897177696228,0.054312050342559814,1.041897177696228,0.0021472207736223936,-95.39822387695312,110368,-95.39822387695312,-0.42981353402137756,-95.39822387695312
292,1245,500.0,90,112469,500.0,-97.03459930419922,0.001,0.05796286091208458,0,0.9410538673400879,0.05796286091208458,0.9410538673400879,0.003318724688142538,-97.03459930419922,112368,-97.03459930419922,-0.710656464099884,-97.03459930419922
296,1263,495.83,90,114052,495.83,-96.80580139160156,0.001,0.10847559571266174,0,1.3588368892669678,0.10847559571266174,1.3588368892669678,0.0035627391189336777,-96.80580139160156,113951,-96.80580139160156,2.5835304260253906,-96.80580139160156
300,1285,495.83,90,116052,495.83,-96.6173324584961,0.001,0.019193146377801895,0,1.218108892440796,0.019193146377801895,1.218108892440796,0.004884549882262945,-96.6173324584961,115951,-96.6173324584961,-1.9680087566375732,-96.6173324584961
304,1308,495.83,90,118052,495.83,-96.20357513427734,0.001,0.043860673904418945,0,1.2314012050628662,0.043860673904418945,1.2314012050628662,0.004981031641364098,-96.20357513427734,117951,-96.20357513427734,-1.3905601501464844,-96.20357513427734
308,1330,495.83,90,120052,495.83,-96.24552917480469,0.001,0.040360890328884125,0,1.3610410690307617,0.040360890328884125,1.3610410690307617,0.0032355827279388905,-96.24552917480469,119951,-96.24552917480469,1.761715054512024,-96.24552917480469
312,1352,495.83,90,122052,495.83,-97.33004760742188,0.001,0.07125843316316605,0,1.2556779384613037,0.07125843316316605,1.2556779384613037,0.005117123946547508,-97.33004760742188,121951,-97.33004760742188,-1.7764205932617188,-97.33004760742188
316,1370,492.11,90,123680,492.11,-98.00898742675781,0.001,0.06487283110618591,0,1.1155755519866943,0.06487283110618591,1.1155755519866943,0.002114364877343178,-98.00898742675781,123579,-98.00898742675781,-0.2762274146080017,-98.00898742675781
320,1392,492.11,90,125680,492.11,-94.85492706298828,0.001,0.21603846549987793,0,1.2079963684082031,0.21603846549987793,1.2079963684082031,0.0032680672593414783,-94.85492706298828,125579,-94.85492706298828,1.6103627681732178,-94.85492706298828
324,1413,491.07,90,127576,491.07,-98.0594711303711,0.001,0.2506216764450073,0,1.2102560997009277,0.2506216764450073,1.2102560997009277,0.0038401861675083637,-98.0594711303711,127475,-98.0594711303711,-1.537182331085205,-98.0594711303711
328,1428,484.42,90,128911,484.42,-98.148193359375,0.001,0.060994960367679596,0,1.7353647947311401,0.060994960367679596,1.7353647947311401,0.004078894853591919,-98.148193359375,128810,-98.148193359375,4.146632194519043,-98.148193359375
332,1447,481.4,90,130609,481.4,-98.22944641113281,0.001,0.03092416748404503,0,1.1400686502456665,0.03092416748404503,1.1400686502456665,0.012154901400208473,-98.22944641113281,130508,-98.22944641113281,-2.775322914123535,-98.22944641113281
336,1469,481.4,90,132609,481.4,-99.58094787597656,0.001,0.035831108689308167,0,1.5907084941864014,0.035831108689308167,1.5907084941864014,0.012121065519750118,-99.58094787597656,132508,-99.58094787597656,-1.2932462692260742,-99.58094787597656
340,1491,481.4,90,134609,481.4,-98.80635833740234,0.001,0.03601992875337601,0,1.3697978258132935,0.03601992875337601,1.3697978258132935,0.012263050302863121,-98.80635833740234,134508,-98.80635833740234,1.4436633586883545,-98.80635833740234
344,1513,481.4,90,136609,481.4,-99.76302337646484,0.001,0.06114081293344498,0,1.4695687294006348,0.06114081293344498,1.4695687294006348,0.00819904450327158,-99.76302337646484,136508,-99.76302337646484,1.308117151260376,-99.76302337646484
348,1532,479.18,90,138387,479.18,-99.98521423339844,0.001,0.08709575235843658,0,1.0180389881134033,0.08709575235843658,1.0180389881134033,0.008808854036033154,-99.98521423339844,138286,-99.98521423339844,-2.4168667793273926,-99.98521423339844
352,1554,479.18,90,140387,479.18,-100.27921295166016,0.001,0.031822506338357925,0,1.541205644607544,0.031822506338357925,1.541205644607544,0.008737185969948769,-100.27921295166016,140286,-100.27921295166016,-2.5156009197235107,-100.27921295166016
356,1573,476.23,90,142092,476.23,-100.75180053710938,0.001,0.09125131368637085,0,1.436647891998291,0.09125131368637085,1.436647891998291,0.007030401844531298,-100.75180053710938,141991,-100.75180053710938,2.1845836639404297,-100.75180053710938
360,1596,476.23,90,144092,476.23,-101.18779754638672,0.001,0.04796484857797623,0,1.3510236740112305,0.04796484857797623,1.3510236740112305,0.005002985708415508,-101.18779754638672,143991,-101.18779754638672,-1.2326992750167847,-101.18779754638672
364,1618,476.23,90,146092,476.23,-98.5760498046875,0.001,0.08474013209342957,0,1.5952398777008057,0.08474013209342957,1.5952398777008057,0.016761554405093193,-98.5760498046875,145991,-98.5760498046875,-1.803942322731018,-98.5760498046875
368,1640,476.23,90,148092,476.23,-99.74836730957031,0.001,0.34798210859298706,0,1.0708868503570557,0.34798210859298706,1.0708868503570557,0.00616202550008893,-99.74836730957031,147991,-99.74836730957031,-1.104830026626587,-99.74836730957031
372,1662,476.23,90,150092,476.23,-100.49202728271484,0.001,0.04100911319255829,0,1.4530770778656006,0.04100911319255829,1.4530770778656006,0.00630908040329814,-100.49202728271484,149991,-100.49202728271484,-0.015260636806488037,-100.49202728271484
376,1684,476.23,90,152092,476.23,-99.3351058959961,0.001,0.8910149335861206,0,1.512036919593811,0.8910149335861206,1.512036919593811,0.013221075758337975,-99.3351058959961,151991,-99.3351058959961,-1.4065630435943604,-99.3351058959961
380,1707,476.23,90,154092,476.23,-100.38343048095703,0.001,0.1405169665813446,0,1.255915641784668,0.1405169665813446,1.255915641784668,0.005845522042363882,-100.38343048095703,153991,-100.38343048095703,-1.4152288436889648,-100.38343048095703
384,1729,476.23,90,156092,476.23,-98.94369506835938,0.001,0.0662420243024826,0,1.3239846229553223,0.0662420243024826,1.3239846229553223,0.006757606286555529,-98.94369506835938,155991,-98.94369506835938,-1.933355450630188,-98.94369506835938
388,1751,476.23,90,158092,476.23,-99.46438598632812,0.001,0.04172787070274353,0,1.5106253623962402,0.04172787070274353,1.5106253623962402,0.015076612122356892,-99.46438598632812,157991,-99.46438598632812,-1.5671391487121582,-99.46438598632812
392,1773,476.23,90,160092,476.23,-99.95149230957031,0.001,0.18116562068462372,0,1.0957015752792358,0.18116562068462372,1.0957015752792358,0.00565620232373476,-99.95149230957031,159991,-99.95149230957031,-0.8115906715393066,-99.95149230957031
396,1796,480.4,90,162092,480.4,-99.90165710449219,0.001,0.2289075404405594,0,1.3112258911132812,0.2289075404405594,1.3112258911132812,0.003286629682406783,-99.90165710449219,161991,-99.90165710449219,0.7927809357643127,-99.90165710449219
400,1815,478.05,90,163857,478.05,-100.08621978759766,0.001,0.07173754274845123,0,1.1270573139190674,0.07173754274845123,1.1270573139190674,0.008547332137823105,-100.08621978759766,163756,-100.08621978759766,-0.8831761479377747,-100.08621978759766
404,1838,478.05,90,165857,478.05,-98.42716979980469,0.001,0.3609689474105835,0,1.4625372886657715,0.3609689474105835,1.4625372886657715,0.007834775373339653,-98.42716979980469,165756,-98.42716979980469,-0.22192035615444183,-98.42716979980469
408,1860,478.05,90,167857,478.05,-99.48492431640625,0.001,0.1932615339756012,0,1.1809718608856201,0.1932615339756012,1.1809718608856201,0.006090502720326185,-99.48492431640625,167756,-99.48492431640625,-1.648972988128662,-99.48492431640625
412,1882,478.05,90,169857,478.05,-100.10360717773438,0.001,0.042319610714912415,0,1.1742408275604248,0.042319610714912415,1.1742408275604248,0.009188170544803143,-100.10360717773438,169756,-100.10360717773438,-0.5644549131393433,-100.10360717773438
416,1904,481.77,90,171857,481.77,-100.07450866699219,0.001,0.0790567696094513,0,1.3944603204727173,0.0790567696094513,1.3944603204727173,0.003063987009227276,-100.07450866699219,171756,-100.07450866699219,-0.7605838775634766,-100.07450866699219
420,1926,481.77,90,173857,481.77,-99.82691955566406,0.001,0.03209473937749863,0,1.159733533859253,0.03209473937749863,1.159733533859253,0.0035089862067252398,-99.82691955566406,173756,-99.82691955566406,0.32361969351768494,-99.82691955566406
424,1948,482.81,90,175857,482.81,-99.63922119140625,0.001,0.0936245247721672,0,1.1111652851104736,0.0936245247721672,1.1111652851104736,0.0027540468145161867,-99.63922119140625,175756,-99.63922119140625,0.06953610479831696,-99.63922119140625
428,1970,489.46,90,177857,489.46,-99.37428283691406,0.001,0.02910284511744976,0,1.4019381999969482,0.02910284511744976,1.4019381999969482,0.005991482641547918,-99.37428283691406,177756,-99.37428283691406,-0.2033558189868927,-99.37428283691406
432,1993,492.48,90,179857,492.48,-99.42691802978516,0.001,0.021044481545686722,0,1.256832242012024,0.021044481545686722,1.256832242012024,0.003426122013479471,-99.42691802978516,179756,-99.42691802978516,-0.9275529980659485,-99.42691802978516
436,2015,492.48,90,181857,492.48,-98.89549255371094,0.001,0.01896335743367672,0,1.1549351215362549,0.01896335743367672,1.1549351215362549,0.0026966724544763565,-98.89549255371094,181756,-98.89549255371094,-0.2596358358860016,-98.89549255371094
440,2037,492.48,90,183857,492.48,-98.76655578613281,0.001,0.07109005749225616,0,1.0083281993865967,0.07109005749225616,1.0083281993865967,0.004169009625911713,-98.76655578613281,183756,-98.76655578613281,0.16058091819286346,-98.76655578613281
444,2059,492.48,90,185857,492.48,-99.90547180175781,0.001,3.062720775604248,0,0.9054960012435913,3.062720775604248,0.9054960012435913,0.0038204987067729235,-99.90547180175781,185756,-99.90547180175781,0.49096810817718506,-99.90547180175781
448,2082,494.7,90,187857,494.7,-99.3814697265625,0.001,0.7140138149261475,0,1.1130235195159912,0.7140138149261475,1.1130235195159912,0.0058629075065255165,-99.3814697265625,187756,-99.3814697265625,-0.16492684185504913,-99.3814697265625
452,2104,494.7,90,189857,494.7,-99.27084350585938,0.001,0.06336358189582825,0,1.213387370109558,0.06336358189582825,1.213387370109558,0.0033301699440926313,-99.27084350585938,189756,-99.27084350585938,-0.5850021839141846,-99.27084350585938
456,2126,497.65,90,191857,497.65,-98.56849670410156,0.001,0.016458027064800262,0,1.029653787612915,0.016458027064800262,1.029653787612915,0.002410431858152151,-98.56849670410156,191756,-98.56849670410156,-0.5773611664772034,-98.56849670410156
460,2148,497.65,90,193857,497.65,-98.29299926757812,0.001,0.12170954793691635,0,1.1871943473815918,0.12170954793691635,1.1871943473815918,0.0027697160840034485,-98.29299926757812,193756,-98.29299926757812,0.7271689176559448,-98.29299926757812
