time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/MSE_loss,train/critic_los,train/learning_rate,train/RL_loss,train/MSE_losses,train/Main_losses,train/Beta,train/critic_loss,train/actor_loss,train/n_updates,train/loss
221914,468,477.68,477.68,158,1400,0.2940578758716583,0.14280939102172852,0.001,-94.02759552001953,0.33355481815338134,-95.0877628479004,0.068,0.4059255199059844,-95.31458020019531,221344,-93.82763671875
222447,472,463.01,463.01,158,1407,1.248209834098816,0.29466530680656433,0.001,-96.74267578125,1.1805252234141033,-96.02712758382161,0.06,0.40879760061701137,-96.73544184366862,222367,-95.9937515258789
222489,476,443.43,443.43,158,1407,1.212319254875183,0.18927842378616333,0.001,-96.69312286376953,1.1407336950302125,-96.48306579589844,0.052,0.29065374623645435,-97.07624664306641,222407,-96.06271362304688
224489,480,443.43,443.43,158,1417,0.23977893590927124,0.0938870906829834,0.001,-96.04915618896484,0.2967515648007393,-95.2028494567871,0.044,0.6385822645574808,-95.33342013549805,223919,-95.94365692138672
226489,484,443.43,443.43,158,1429,0.38462987542152405,1.8794138431549072,0.001,-95.39458465576172,0.37956536215543746,-95.01048217773437,0.036,0.5301536025479436,-95.14712594604492,225919,-95.25611877441406
228489,488,443.43,443.43,158,1442,0.634938657283783,0.5468448400497437,0.001,-92.97904968261719,0.39675392347574234,-95.15331173706055,0.028,0.3683218129426241,-95.26440264892578,227919,-92.80126953125
230489,492,443.43,443.43,158,1455,1.0222423076629639,0.32081300020217896,0.001,-95.8359146118164,1.0908960857391357,-95.62825390625,0.02,0.9666951567828656,-95.84643286132813,229919,-95.6314697265625
232489,496,444.9,444.9,158,1467,0.8896782994270325,0.39065369963645935,0.001,-95.72352600097656,0.9900487651824951,-95.55818923950196,0.012,0.5527451983392239,-95.67699496459961,231919,-95.61676788330078
234366,500,443.67,443.67,158,1480,0.5775558352470398,0.14559021592140198,0.001,-95.20271301269531,0.7632350542545319,-95.03414450073242,0.004,0.5021552552133799,-95.06467391967773,233919,-95.17961120605469
236366,504,443.67,443.67,158,1492,0.9973316192626953,0.3733544945716858,0.001,-95.81057739257812,0.9662022066116333,-95.3826549987793,0,1.1249860786795616,-95.3826549987793,235796,-95.81057739257812
238366,508,443.67,443.67,158,1504,0.7781252861022949,0.1524592638015747,0.001,-94.5036392211914,0.959979160785675,-95.12047854614258,0,0.34749347510188816,-95.12047854614258,237796,-94.5036392211914
239109,512,431.1,431.1,158,1510,0.8874276280403137,0.20095759630203247,0.001,-91.68672943115234,0.959533625259632,-95.04589620450648,0,0.6099903297769588,-95.04589620450648,238872,-91.68672943115234
239841,516,418.42,418.42,158,1514,0.7587620615959167,0.19354531168937683,0.001,-94.52222442626953,0.8036314260959625,-94.7424388885498,0,1.5327732177145446,-94.7424388885498,239567,-94.52222442626953
241577,520,415.78,415.78,158,1523,0.7446801066398621,0.15255586802959442,0.001,-92.62923431396484,0.8401762156486511,-94.78840768432617,0,0.8509939220175147,-94.78840768432617,241007,-92.62923431396484
243577,524,415.78,415.78,158,1535,0.7990643382072449,0.10281655937433243,0.001,-92.73049926757812,0.9253759956359864,-94.73946823120117,0,0.75210136346519,-94.73946823120117,243007,-92.73049926757812
245577,528,415.78,415.78,158,1548,0.57432621717453,0.21954955160617828,0.001,-93.3959732055664,0.6570231525897979,-94.75151721191406,0,0.9258681730479001,-94.75151721191406,245007,-93.3959732055664
