time/episodes,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/std,time/time_elapsed,time/total_timesteps,train/MSE_losses,train/ent_coef_loss,train/critic_loss,train/n_updates,train/loss,train/RL_loss,train/Beta,train/critic_los,train/actor_loss,train/Main_losses,train/MSE_loss,train/ent_coef,train/learning_rate
4,79.0,1988,-106.25389274999999,0.04978706315159798,0,316,,,,,,,,,,,,,
8,277.125,2109,-104.654455375,0.04978706315159798,1,2217,,,,,,,,,,,,,
12,218.91666666666666,2038,-105.0216795,0.04978706315159798,1,2627,,,,,,,,,,,,,
16,468.125,2071,-100.89821487500001,0.04978706315159798,3,7490,,,,,,,,,,,,,
20,464.1,2046,-100.87188305000001,0.04978706315159798,4,9282,,,,,,,,,,,,,
24,424.125,1423,-102.63109049999998,0.049941644072532654,7,10179,6.848544597625732,-0.7327870219014585,23.729919153964147,192,7.669179916381836,-0.23249997198581696,0.998,0.40633630752563477,-1.5825929136481136,5.252254746854305,7.917514801025391,0.8825562223792076,0.00073
28,381.0357142857143,858,-104.67644660714284,0.050001468509435654,12,10669,6.769142769277096,-2.3919093795120716,11.170657376293093,640,1.1485557556152344,-4.523268699645996,0.991,15.420381546020508,-5.882846988737583,0.8253734484314919,5.723334312438965,0.6326020276173949,0.00073
32,349.28125,609,-105.52702,0.05000874400138855,18,11177,5.9760130271315575,-3.8274779804050922,4.566143566742539,1152,-1.5542349815368652,-8.448101043701172,0.983,2.3253722190856934,-8.022410422563553,-2.147989757359028,7.013088703155518,0.4478485104627907,0.00073
36,320.25,506,-105.76196624999999,0.04997754096984863,22,11529,5.6774865835905075,-4.564047917723656,2.9876935784704983,1536,0.6856613159179688,-6.9130682945251465,0.977,4.054252624511719,-7.155170731246471,-1.6082663759589195,7.777614593505859,0.3497563707642257,0.00073
40,327.25,323,-107.25389634999999,0.04990079998970032,40,13090,5.0648490861058235,-4.7799993101507425,0.9959150105714798,3072,6.317625045776367,2.8943119049072266,0.953,1.0071396827697754,1.3156693940982223,6.142470624297857,3.592144012451172,0.14525179052725434,0.00073
44,325.1136363636364,262,-106.04879788636363,0.04979456588625908,54,14305,4.617634139955044,-4.511306481435895,0.7006897791288793,4288,12.501486778259277,7.548959732055664,0.934,0.5057269930839539,7.146825931966305,11.459696263074875,5.302491188049316,0.08171384956222028,0.00073
48,342.75,206,-104.08454622916668,0.049506861716508865,79,16452,4.169228043407202,-1.539349798578769,0.41214014287106693,6464,16.831912994384766,12.852277755737305,0.9,0.32365983724594116,12.939967527985573,16.692272692918777,4.421816825866699,0.036984185106121004,0.00073
52,342.6730769230769,187,-102.56478276923077,0.049369968473911285,95,17819,3.8802465982735157,-1.2987205674871802,0.3392669945023954,7808,18.73431396484375,16.155559539794922,0.879,0.3098258972167969,13.385396406054497,16.796133249998093,2.9337375164031982,0.030985405785031617,0.00073
56,380.07142857142856,157,-98.52728139285715,0.049170248210430145,134,21284,3.402484191581607,-0.03806073125451803,0.21148327004630119,11264,13.75279712677002,10.117362976074219,0.825,0.20249858498573303,11.259604379534721,14.066653788089752,4.406586647033691,0.025536459899740294,0.00073
60,397.46666666666664,145,-97.95394251666669,0.04902450367808342,164,23848,3.2587278317660093,1.4007929622894153,0.2221300513483584,13824,14.861000061035156,11.7737455368042,0.785,0.19105471670627594,9.733535639941692,12.291637167334557,3.9328083992004395,0.02125726215308532,0.00073
64,403.734375,137,-96.952794453125,0.04892987757921219,187,25839,3.220854604616761,-0.26686545461416245,0.32055084011517465,15808,10.561841011047363,8.187360763549805,0.754,0.24982766807079315,9.07130690664053,11.499831274151802,3.1491782665252686,0.01945792094920762,0.00073
68,416.11764705882354,130,-95.86778702941174,0.04895535483956337,216,28296,2.780782785266638,-1.2738976231776178,0.5192097421968356,18304,9.36792278289795,7.714681148529053,0.715,0.41513118147850037,8.002388164401054,9.990647807717323,2.312225580215454,0.018745281733572483,0.00073
72,422.3888888888889,126,-94.90461948611112,0.048792045563459396,240,30412,2.80173796415329,-1.0895273783244193,0.3113407993223518,20416,9.000152587890625,7.647296905517578,0.682,0.34520089626312256,7.053860850632191,8.964646100997925,1.983659267425537,0.014381537301233038,0.00073
76,478.82894736842104,117,-84.03098085526317,0.04881413280963898,309,36391,2.3723362628370523,0.042253904743120074,0.3002273695310578,26368,6.282559871673584,4.661165237426758,0.589,0.23470309376716614,4.28349369764328,5.680799745023251,2.7527921199798584,0.013730891281738877,0.00073
80,513.0875,112,-74.6406673875,0.048615891486406326,363,41047,2.4412559643387794,-0.615454237558879,0.41311900480650365,31040,3.133462905883789,2.2696444988250732,0.516,0.32917752861976624,1.5458488152944483,2.805536834523082,1.6740665435791016,0.012544698489364237,0.00073
84,538.9404761904761,109,-63.002043392857146,0.04839449003338814,412,45271,2.4250313602387905,-0.8440091356169432,0.2561250156722963,35264,0.5445747971534729,-0.3991556763648987,0.45,0.32652372121810913,-0.3669811305589974,0.7242829594761133,2.0971789360046387,0.011127782025141641,0.00073
88,552.5454545454545,107,-54.16902604545455,0.04828563332557678,450,48624,2.4853266179561615,0.09957761596888304,0.30833573802374303,38592,-1.0748287439346313,-2.187131881713867,0.398,0.21191439032554626,-1.8883285745978355,-0.8991685728542507,2.794731616973877,0.010370635529397987,0.00073
92,543.2391304347826,107,-52.56598968478261,0.04830904304981232,466,49978,2.4145777262747288,0.3275958439335227,0.7258624052628875,39936,-2.2745347023010254,-3.0055227279663086,0.377,0.23821629583835602,-1.8023810116574168,-0.8920851983129978,1.9389605522155762,0.009709994657896459,0.00073
