train/MSE_loss,time/fps,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/Beta,train/RL_loss,train/n_updates,train/MSE_losses,rollout/ep_len_mean,train/ent_coef,train/loss,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/Main_losses,time/time_elapsed,train/critic_los,train/critic_loss
5.313334941864014,99,28.49724769592285,0.001,-1.055760145187378,0.0,28.49724769592285,699,5.313334941864014,200.0,0.5030115842819214,28.49724769592285,800,-1609.62361725,4,28.49724769592285,8,0.05929268151521683,0.05929268151521683
5.407623291015625,93,56.24631881713867,0.001,-1.1810808181762695,-0.0,56.24631881713867,1499,5.407623291015625,200.0,0.25646671652793884,56.24631881713867,1600,-1572.599350125,8,56.24631881713867,17,0.051691874861717224,0.051691874861717224
4.441722869873047,91,70.94417572021484,0.001,-0.058818668127059937,-0.0,70.94417572021484,2299,4.441722869873047,200.0,0.2144901156425476,70.94417572021484,2400,-1335.4436389999998,12,70.94417572021484,26,0.3502945303916931,0.3502945303916931
3.1630661487579346,90,68.57974243164062,0.001,-0.09057251363992691,-0.0,68.57974243164062,3099,3.1630661487579346,200.0,0.2167942076921463,68.57974243164062,3200,-1042.7690261875,16,68.57974243164062,35,0.4775550663471222,0.4775550663471222
2.610567331314087,90,62.81735610961914,0.001,-0.3947613835334778,-0.0,62.81735610961914,3899,2.610567331314087,200.0,0.18053323030471802,62.81735610961914,4000,-860.63485425,20,62.81735610961914,44,0.5186447501182556,0.5186447501182556
2.2009594440460205,89,71.59064483642578,0.001,0.02665618807077408,-0.0,71.59064483642578,4699,2.2009594440460205,200.0,0.13741156458854675,71.59064483642578,4800,-806.747644,24,71.59064483642578,53,1.1847782135009766,1.1847782135009766
2.969820976257324,89,67.20860290527344,0.001,-0.5660769939422607,-0.0,67.20860290527344,5499,2.969820976257324,200.0,0.10197100788354874,67.20860290527344,5600,-717.4228217142858,28,67.20860290527344,62,1.0176063776016235,1.0176063776016235
2.746236801147461,89,74.0240249633789,0.001,0.06637483090162277,-0.0,74.0240249633789,6299,2.746236801147461,200.0,0.08639321476221085,74.0240249633789,6400,-657.7306915625,32,74.0240249633789,71,1.9960657358169556,1.9960657358169556
3.017605781555176,89,63.80309295654297,0.001,0.3552289307117462,-0.0,63.80309295654297,7099,3.017605781555176,200.0,0.07780377566814423,63.80309295654297,7200,-601.593999388889,36,63.80309295654297,80,1.9846532344818115,1.9846532344818115
3.177889347076416,88,64.46417236328125,0.001,0.064684197306633,-0.0,64.46417236328125,7899,3.177889347076416,200.0,0.07918070256710052,64.46417236328125,8000,-553.754877075,40,64.46417236328125,89,1.3090221881866455,1.3090221881866455
3.2506957054138184,88,69.81903076171875,0.001,0.16904358565807343,-0.0,69.81903076171875,8699,3.2506957054138184,200.0,0.06990037113428116,69.81903076171875,8800,-521.3143942954545,44,69.81903076171875,99,1.7575364112854004,1.7575364112854004
3.2943825721740723,88,71.21305847167969,0.001,0.41778677701950073,-0.0,71.21305847167969,9499,3.2943825721740723,200.0,0.058592814952135086,71.21305847167969,9600,-488.1230456666667,48,71.21305847167969,108,1.3488614559173584,1.3488614559173584
3.111604690551758,88,62.402896881103516,0.001,0.3086710274219513,-0.0,62.402896881103516,10299,3.111604690551758,200.0,0.05128980427980423,62.402896881103516,10400,-457.6580102307693,52,62.402896881103516,117,1.5045676231384277,1.5045676231384277
3.8240504264831543,88,58.5760498046875,0.001,0.2791547179222107,-0.0,58.5760498046875,11099,3.8240504264831543,200.0,0.04428921267390251,58.5760498046875,11200,-435.7255710357143,56,58.5760498046875,126,0.8812029361724854,0.8812029361724854
4.186938285827637,88,57.13703155517578,0.001,0.14899587631225586,-0.0,57.13703155517578,11899,4.186938285827637,200.0,0.05433601140975952,57.13703155517578,12000,-414.9268023000001,60,57.13703155517578,135,1.7299084663391113,1.7299084663391113
3.303987979888916,88,50.8701171875,0.001,0.2101171314716339,-0.0,50.8701171875,12699,3.303987979888916,200.0,0.049127109348773956,50.8701171875,12800,-396.6952349375,64,50.8701171875,144,1.6632130146026611,1.6632130146026611
3.607297420501709,88,53.975738525390625,0.001,0.5556228160858154,-0.0,53.975738525390625,13499,3.607297420501709,200.0,0.034778617322444916,53.975738525390625,13600,-380.6016022647059,68,53.975738525390625,153,0.861609935760498,0.861609935760498
3.405862331390381,88,44.26541519165039,0.001,0.07955829799175262,-0.0,44.26541519165039,14299,3.405862331390381,200.0,0.026466384530067444,44.26541519165039,14400,-368.08935351388885,72,44.26541519165039,162,1.258863925933838,1.258863925933838
3.4246673583984375,88,35.63197326660156,0.001,-0.7694427967071533,-0.0,35.63197326660156,15099,3.4246673583984375,200.0,0.03665607422590256,35.63197326660156,15200,-353.75180053947366,76,35.63197326660156,171,0.8420307040214539,0.8420307040214539
2.5706472396850586,88,50.36621856689453,0.001,0.42564883828163147,-0.0,50.36621856689453,15899,2.5706472396850586,200.0,0.04851629585027695,50.36621856689453,16000,-342.3095513375,80,50.36621856689453,181,0.7788856029510498,0.7788856029510498
2.608903408050537,88,36.38789367675781,0.001,-0.4887304902076721,-0.0,36.38789367675781,16699,2.608903408050537,200.0,0.04960477724671364,36.38789367675781,16800,-334.79267669047624,84,36.38789367675781,190,0.9269194602966309,0.9269194602966309
2.543832778930664,88,41.324134826660156,0.001,-0.4337090253829956,-0.0,41.324134826660156,17499,2.543832778930664,200.0,0.04685085266828537,41.324134826660156,17600,-327.7220657727273,88,41.324134826660156,199,0.6113599538803101,0.6113599538803101
