train/RL_loss,train/n_updates,time/episodes,train/ent_coef,train/critic_loss,time/total_timesteps,train/Main_losses,train/MSE_losses,train/MSE_loss,train/actor_loss,train/Beta,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,train/loss,rollout/ep_len_mean,train/critic_los,time/fps,train/ent_coef_loss
12.71328067779541,699,4,0.7101949453353882,0.7295314073562622,800,28.026010513305664,1.7797222137451172,1.7797222137451172,12.71328067779541,0.8604,0.001,-456.56732525,8,28.026010513305664,200.0,0.7295314073562622,95,0.004516888409852982
16.670902252197266,1499,8,0.5892300605773926,0.6439152359962463,1600,28.352962493896484,1.6679127216339111,1.6679127216339111,16.670902252197266,0.7004,0.001,-305.833266875,17,28.352962493896484,200.0,0.6439152359962463,90,-0.0045645516365766525
21.051891326904297,2299,12,0.4624065160751343,0.8317699432373047,2400,29.62985610961914,1.5873364210128784,1.5873364210128784,21.051891326904297,0.5404,0.001,-263.5335656666667,27,29.62985610961914,200.0,0.8317699432373047,86,-0.18846875429153442
21.601253509521484,3099,16,0.3490474224090576,0.43939316272735596,3200,27.94948387145996,1.668830394744873,1.668830394744873,21.601253509521484,0.3804,0.001,-242.03747800000002,38,27.94948387145996,200.0,0.43939316272735596,83,-0.05970681086182594
20.525686264038086,3899,20,0.22939106822013855,0.514696478843689,4000,24.000560760498047,1.5766217708587646,1.5766217708587646,20.525686264038086,0.2204,0.001,-217.51926350000002,49,24.000560760498047,200.0,0.514696478843689,81,-0.18365755677223206
28.880096435546875,4699,24,0.1023414134979248,0.5881139039993286,4800,29.92115020751953,1.7235982418060303,1.7235982418060303,28.880096435546875,0.0604,0.001,-221.1053799166667,59,29.92115020751953,200.0,0.5881139039993286,80,-0.4825133979320526
21.313919067382812,5499,28,0.03586176782846451,0.9727568626403809,5600,21.313919067382812,1.7708103656768799,1.7708103656768799,21.313919067382812,0,0.001,-215.39987082142858,70,21.313919067382812,200.0,0.9727568626403809,79,-1.224674105644226
25.775014877319336,6299,32,0.023250218480825424,1.0717650651931763,6400,25.775014877319336,1.8285741806030273,1.8285741806030273,25.775014877319336,0,0.001,-212.37511765624998,81,25.775014877319336,200.0,1.0717650651931763,78,-0.12762080132961273
22.563858032226562,7099,36,0.022078296169638634,1.1158274412155151,7200,22.563858032226562,1.825315237045288,1.825315237045288,22.563858032226562,0,0.001,-206.21709816666666,92,22.563858032226562,200.0,1.1158274412155151,78,0.06558108329772949
21.437633514404297,7899,40,0.02191377989947796,0.8138601183891296,8000,21.437633514404297,1.839910864830017,1.839910864830017,21.437633514404297,0,0.001,-203.291154025,102,21.437633514404297,200.0,0.8138601183891296,77,-0.12241998314857483
20.415409088134766,8699,44,0.024520283564925194,0.5983668565750122,8800,20.415409088134766,1.9329737424850464,1.9329737424850464,20.415409088134766,0,0.001,-195.51086024999998,113,20.415409088134766,200.0,0.5983668565750122,77,-0.24841612577438354
21.602821350097656,9499,48,0.024165797978639603,0.820723295211792,9600,21.602821350097656,1.9477267265319824,1.9477267265319824,21.602821350097656,0,0.001,-193.85535816666666,124,21.602821350097656,200.0,0.820723295211792,77,-0.7918129563331604
24.070518493652344,10299,52,0.019622396677732468,0.9159029722213745,10400,24.070518493652344,1.8408758640289307,1.8408758640289307,24.070518493652344,0,0.001,-188.31661363461535,134,24.070518493652344,200.0,0.9159029722213745,77,0.36130571365356445
16.859315872192383,11099,56,0.017219411209225655,0.3874613046646118,11200,16.859315872192383,2.0413665771484375,2.0413665771484375,16.859315872192383,0,0.001,-183.6787044642857,145,16.859315872192383,200.0,0.3874613046646118,77,-0.289328932762146
19.260452270507812,11899,60,0.01843089424073696,0.687690258026123,12000,19.260452270507812,2.2156314849853516,2.2156314849853516,19.260452270507812,0,0.001,-183.65041433333332,154,19.260452270507812,200.0,0.687690258026123,77,0.07945454120635986
19.114665985107422,12699,64,0.018904460594058037,0.3867769241333008,12800,19.114665985107422,2.149756908416748,2.149756908416748,19.114665985107422,0,0.001,-179.718127546875,163,19.114665985107422,200.0,0.3867769241333008,78,0.07178585231304169
17.736892700195312,13499,68,0.016596172004938126,0.3194131553173065,13600,17.736892700195312,2.216806411743164,2.216806411743164,17.736892700195312,0,0.001,-177.87187014705881,172,17.736892700195312,200.0,0.3194131553173065,78,-0.2815135419368744
17.645931243896484,14299,72,0.012773310765624046,0.3176710605621338,14400,17.645931243896484,2.0321044921875,2.0321044921875,17.645931243896484,0,0.001,-176.1583303611111,181,17.645931243896484,200.0,0.3176710605621338,79,0.5177274942398071
22.07929039001465,15099,76,0.011138769797980785,0.3438422381877899,15200,22.07929039001465,2.039654016494751,2.039654016494751,22.07929039001465,0,0.001,-174.70300530263157,191,22.07929039001465,200.0,0.3438422381877899,79,1.2995378971099854
16.260732650756836,15899,80,0.008785056881606579,0.28649163246154785,16000,16.260732650756836,2.104055881500244,2.104055881500244,16.260732650756836,0,0.001,-176.4829190875,200,16.260732650756836,200.0,0.28649163246154785,79,-0.038797006011009216
15.257312774658203,16699,84,0.008707385510206223,0.36763203144073486,16800,15.257312774658203,2.132371425628662,2.132371425628662,15.257312774658203,0,0.001,-176.91684695238095,210,15.257312774658203,200.0,0.36763203144073486,79,-0.9575797319412231
18.96698760986328,17499,88,0.008686919696629047,0.44366151094436646,17600,18.96698760986328,2.0010149478912354,2.0010149478912354,18.96698760986328,0,0.001,-172.87409968181817,221,18.96698760986328,200.0,0.44366151094436646,79,0.25642669200897217
