rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_len_mean,train/loss,train/critic_los,train/critic_loss,train/learning_rate,train/MSE_losses,train/Main_losses,train/n_updates,train/MSE_loss,train/actor_loss,train/Beta,train/RL_loss
23.0,4,0,3954,92,23.0,,,,,,,,,,,
15.5,8,0,606,124,15.5,-1.06941556930542,0.017654936760663986,0.020024558218816917,0.001,1.0982414484024048,-1.1286773284276326,26,1.1001242399215698,-1.1286773284276326,0.0,-1.06941556930542
12.333333333333334,12,0,399,148,12.333333333333334,-1.1245920658111572,0.009400922805070877,0.00749130523763597,0.001,1.1511536439259846,-1.1462159554163616,50,1.1791601181030273,-1.1462159554163616,0.0,-1.1245920658111572
10.6875,16,0,319,171,10.6875,-1.2031219005584717,0.006128574721515179,0.005947332363575697,0.001,1.2266193230946858,-1.2048687934875488,74,1.218281626701355,-1.2048687934875488,0.0,-1.2031219005584717
9.75,20,0,281,195,9.75,-1.2280795574188232,0.00933307409286499,0.00983960802356402,0.001,1.3285999298095703,-1.2484324773152669,97,1.3503837585449219,-1.2484324773152669,0.0,-1.2280795574188232
9.041666666666666,24,0,255,217,9.041666666666666,-1.3317266702651978,0.007117126137018204,0.007891310378909111,0.001,1.2540493806203206,-1.3185832897822063,120,1.2568840980529785,-1.3185832897822063,0.0,-1.3317266702651978
8.535714285714286,28,0,239,239,8.535714285714286,-1.3769152164459229,0.023181552067399025,0.01859456269691388,0.001,1.3935620784759521,-1.3619192838668823,142,1.4759297370910645,-1.3619192838668823,0.0,-1.3769152164459229
8.21875,32,1,228,263,8.21875,-1.4131535291671753,0.012930672615766525,0.01694665492201845,0.001,1.3842171827952068,-1.4127236207326253,165,1.393520474433899,-1.4127236207326253,0.0,-1.4131535291671753
7.944444444444445,36,1,217,286,7.944444444444445,-1.445050597190857,0.01680196076631546,0.016874273773282766,0.001,1.424707293510437,-1.451003869374593,189,1.406055212020874,-1.451003869374593,0.0,-1.445050597190857
7.75,40,1,210,310,7.75,-1.4916589260101318,0.01853637397289276,0.01648802434404691,0.001,1.4551594257354736,-1.498780886332194,212,1.4991552829742432,-1.498780886332194,0.0,-1.4916589260101318
7.590909090909091,44,1,204,334,7.590909090909091,-1.5298470258712769,0.00995340570807457,0.010494376222292582,0.001,1.4501660267512004,-1.5354135831197102,236,1.447583556175232,-1.5354135831197102,0.0,-1.5298470258712769
7.458333333333333,48,1,199,358,7.458333333333333,-1.5670286417007446,0.0154005978256464,0.018272801036281244,0.001,1.4565425217151642,-1.5527988374233246,260,1.4498201608657837,-1.5527988374233246,0.0,-1.5670286417007446
7.326923076923077,52,1,195,381,7.326923076923077,-1.638407588005066,0.011585038155317307,0.016385201551020145,0.001,1.4325554370880127,-1.6141499280929565,283,1.4643418788909912,-1.6141499280929565,0.0,-1.638407588005066
