time/fps,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/Beta,train/RL_loss,train/MSE_losses,train/loss,train/critic_loss,train/n_updates,train/Main_losses,train/critic_los,train/actor_loss,train/MSE_loss,train/learning_rate
3799,18.25,4,0,73,18.25,,,,,,,,,,,
956,29.625,8,0,237,29.625,0.988,-1.0789995193481445,0.29550878432664,1.8461151123046875,0.22469939028277344,23,1.9788149161772295,0.01475065853446722,-0.9408119320869446,0.29606422781944275,0.001
266,80.0,12,3,960,80.0,0.98,-2.3276939392089844,0.2546866419838696,0.32940053939819336,0.029918034043576982,530,0.31890892691728545,0.007041845936328173,-2.177020218314194,0.27113208174705505,0.001
195,171.75,16,14,2748,171.75,0.972,-5.4320969581604,0.2496337921669086,-3.0368130207061768,0.0875286904855683,2152,-2.7357476204633713,0.028555693104863167,-5.162188149160809,0.24642837047576904,0.001
170,227.5,20,26,4550,227.5,0.964,-9.649602890014648,0.2562622559070587,-6.849193572998047,0.09338651507347823,4152,-6.5261941909790036,0.041466861963272095,-8.996562427520752,0.29049891233444214,0.001
166,247.91666666666666,24,35,5950,247.91666666666666,0.956,-12.2918062210083,0.25836806177673205,-9.766810417175293,0.25757423298624293,5560,-9.453402317745585,0.19314754009246826,-11.923401167694951,0.2641209065914154,0.001
164,260.7857142857143,28,44,7302,260.7857142857143,0.948,-14.79936408996582,0.2640554112226225,-13.099193572998047,0.4516915339352516,6939,-11.915259453245831,0.5681190490722656,-14.418504613305107,0.1793428510427475,0.001
161,271.03125,32,53,8673,271.03125,0.94,-17.515764236450195,0.2615180430412293,-15.264172554016113,0.4649311907887459,8364,-14.403808452606201,0.38924601674079895,-16.86207791519165,0.239531010389328,0.001
164,289.02777777777777,36,63,10405,289.02777777777777,0.932,-19.704469680786133,0.26156234085274654,-17.50759506225586,0.5105399833412833,9844,-16.82655475470438,0.16825324296951294,-19.26431569186124,0.2357160896062851,0.001
163,305.525,40,74,12221,305.525,0.924,-22.49644660949707,0.26594290129609943,-19.81389617919922,0.7338760979857641,11625,-19.361344180156276,0.6206040978431702,-21.818656567445736,0.29031920433044434,0.001
162,308.6818181818182,44,83,13582,308.6818181818182,0.916,-24.8807373046875,0.27057801883855315,-21.80240821838379,1.0466238237675347,13026,-21.932596645766882,0.7219558954238892,-24.41109122132226,0.33606216311454773,0.001
160,318.5833333333333,48,95,15292,318.5833333333333,0.908,-27.300371170043945,0.26788876667223144,-24.658052444458008,1.0292159921563833,14843,-23.828897155491653,0.5001944303512573,-26.261327169637763,0.2910041809082031,0.001
160,321.3269230769231,52,104,16709,321.3269230769231,0.9,-29.53237533569336,0.27470419595959367,-26.846973419189453,1.564755924927291,16233,-25.660717646280926,5.189130783081055,-28.133055379313806,0.2983779311180115,0.001
159,318.30357142857144,56,112,17825,318.30357142857144,0.892,-29.900739669799805,0.2714095882825799,-27.889801025390625,1.7992629172388188,17484,-27.929843913067828,0.9466249942779541,-30.350817512679885,0.22544161975383759,0.001
