train/loss,train/critic_los,time/episodes,train/critic_loss,time/fps,time/time_elapsed,train/ent_coef,train/MSE_losses,train/Main_losses,train/Beta,rollout/ep_len_mean,train/actor_loss,rollout/ep_rew_mean,train/RL_loss,train/learning_rate,train/ent_coef_loss,train/n_updates,train/MSE_loss,time/total_timesteps
22.323749542236328,0.04806637018918991,4,0.04806637018918991,99,8,0.5067311525344849,5.527243614196777,22.323749542236328,0.0,200.0,22.323749542236328,-1381.81670325,22.323749542236328,0.001,-1.012732982635498,699,5.527243614196777,800
47.408355712890625,0.06853967159986496,8,0.06853967159986496,94,16,0.25930076837539673,5.349625587463379,47.408355712890625,-0.0,200.0,47.408355712890625,-1469.966407375,47.408355712890625,0.001,-1.0795639753341675,1499,5.349625587463379,1600
65.50657653808594,0.08232033252716064,12,0.08232033252716064,92,25,0.2022266834974289,4.643790245056152,65.50657653808594,-0.0,200.0,65.50657653808594,-1333.4285758333333,65.50657653808594,0.001,0.2580292522907257,2299,4.643790245056152,2400
76.69943237304688,0.19529150426387787,16,0.19529150426387787,91,35,0.22954078018665314,3.3337881565093994,76.69943237304688,-0.0,200.0,76.69943237304688,-1186.752158625,76.69943237304688,0.001,0.01358378492295742,3099,3.3337881565093994,3200
76.36907958984375,0.2843933403491974,20,0.2843933403491974,90,44,0.22145918011665344,2.8138270378112793,76.36907958984375,-0.0,200.0,76.36907958984375,-979.4461750500002,76.36907958984375,0.001,-0.2268185317516327,3899,2.8138270378112793,4000
68.0421142578125,0.4766926169395447,24,0.4766926169395447,90,53,0.16889208555221558,2.483816146850586,68.0421142578125,-0.0,200.0,68.0421142578125,-836.7987935416668,68.0421142578125,0.001,-0.27827295660972595,4699,2.483816146850586,4800
71.16203308105469,1.0816668272018433,28,1.0816668272018433,89,62,0.113926462829113,2.2323741912841797,71.16203308105469,-0.0,200.0,71.16203308105469,-743.1096187142858,71.16203308105469,0.001,-0.21445368230342865,5499,2.2323741912841797,5600
75.33912658691406,1.813488245010376,32,1.813488245010376,89,71,0.09676504135131836,2.450031280517578,75.33912658691406,-0.0,200.0,75.33912658691406,-701.81603575,75.33912658691406,0.001,0.3909382224082947,6299,2.450031280517578,6400
61.88451385498047,1.973323106765747,36,1.973323106765747,89,80,0.10146239399909973,2.7108306884765625,61.88451385498047,-0.0,200.0,61.88451385498047,-647.4128308055555,61.88451385498047,0.001,-0.18074147403240204,7099,2.7108306884765625,7200
67.8258056640625,2.3787546157836914,40,2.3787546157836914,89,89,0.09346061199903488,2.489358901977539,67.8258056640625,-0.0,200.0,67.8258056640625,-594.2213449,67.8258056640625,0.001,-0.057551413774490356,7899,2.489358901977539,8000
60.223506927490234,1.3103611469268799,44,1.3103611469268799,89,98,0.09075821936130524,2.6793737411499023,60.223506927490234,-0.0,200.0,60.223506927490234,-559.0105257272728,60.223506927490234,0.001,-0.13790768384933472,8699,2.6793737411499023,8800
55.476478576660156,0.9181978702545166,48,0.9181978702545166,89,107,0.07613323628902435,2.751258373260498,55.476478576660156,-0.0,200.0,55.476478576660156,-527.5310257083333,55.476478576660156,0.001,-0.7862430810928345,9499,2.751258373260498,9600
45.63502502441406,1.4895658493041992,52,1.4895658493041992,89,116,0.06026817113161087,2.958763360977173,45.63502502441406,-0.0,200.0,45.63502502441406,-499.5707781538461,45.63502502441406,0.001,-1.0639498233795166,10299,2.958763360977173,10400
53.05449676513672,1.0955300331115723,56,1.0955300331115723,89,125,0.0470770038664341,2.9513816833496094,53.05449676513672,-0.0,200.0,53.05449676513672,-476.63586346428565,53.05449676513672,0.001,-0.6108332872390747,11099,2.9513816833496094,11200
56.63822555541992,2.8945369720458984,60,2.8945369720458984,89,134,0.04172045364975929,2.880016803741455,56.63822555541992,-0.0,200.0,56.63822555541992,-450.77905098333326,56.63822555541992,0.001,0.7704757452011108,11899,2.880016803741455,12000
44.28376388549805,0.7416493892669678,64,0.7416493892669678,88,143,0.03844418749213219,3.1641440391540527,44.28376388549805,-0.0,200.0,44.28376388549805,-431.8053621875,44.28376388549805,0.001,-0.7590100765228271,12699,3.1641440391540527,12800
47.464996337890625,0.9621075391769409,68,0.9621075391769409,88,152,0.04258905351161957,3.3485841751098633,47.464996337890625,-0.0,200.0,47.464996337890625,-413.350816632353,47.464996337890625,0.001,-0.7875727415084839,13499,3.3485841751098633,13600
41.73761749267578,1.6930956840515137,72,1.6930956840515137,88,162,0.038763247430324554,2.894055128097534,41.73761749267578,-0.0,200.0,41.73761749267578,-400.3365465694444,41.73761749267578,0.001,0.43244850635528564,14299,2.894055128097534,14400
42.57763671875,1.100879430770874,76,1.100879430770874,88,171,0.037565797567367554,3.0713565349578857,42.57763671875,-0.0,200.0,42.57763671875,-387.20298528947365,42.57763671875,0.001,-0.18723413348197937,15099,3.0713565349578857,15200
38.024505615234375,0.7940033674240112,80,0.7940033674240112,88,180,0.03357138857245445,2.9103915691375732,38.024505615234375,-0.0,200.0,38.024505615234375,-372.4125499,38.024505615234375,0.001,-0.04267694056034088,15899,2.9103915691375732,16000
40.41789245605469,0.9555937647819519,84,0.9555937647819519,88,189,0.026219181716442108,2.8986520767211914,40.41789245605469,-0.0,200.0,40.41789245605469,-364.43519535714285,40.41789245605469,0.001,0.07614387571811676,16699,2.8986520767211914,16800
37.64019012451172,1.1313517093658447,88,1.1313517093658447,88,198,0.022314079105854034,3.196192741394043,37.64019012451172,-0.0,200.0,37.64019012451172,-353.4821454318182,37.64019012451172,0.001,0.15895819664001465,17499,3.196192741394043,17600
