time/episodes,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/critic_los,train/MSE_loss,train/learning_rate,train/n_updates,train/loss,train/Beta,train/RL_loss,train/actor_loss,train/Main_losses,train/critic_loss,train/MSE_losses
144,247,200.0,-440.25232276,116,28800,1.8019604682922363,2.0713822841644287,0.001,18600,70.09677124023438,0.0,70.09677124023438,66.1342123413086,66.1342123413086,2.8572455313801766,2.2186745035648348
148,244,200.0,-399.82868176000005,121,29600,3.144763469696045,2.557776927947998,0.001,19400,66.21888732910156,0.0,66.21888732910156,64.41877792358399,64.41877792358399,3.561109931468964,2.204157453775406
152,241,200.0,-351.86476727,125,30400,1.7608917951583862,1.7352553606033325,0.001,20200,58.28842544555664,0.0,58.28842544555664,64.20984493255615,64.20984493255615,3.1550320422649385,2.2827105355262756
156,238,200.0,-293.83469115,130,31200,1.83708918094635,2.681391477584839,0.001,21000,54.95485305786133,0.0,54.95485305786133,62.052644882202145,62.052644882202145,3.1062505769729616,2.7655576133728026
160,235,200.0,-241.24303788000006,135,32000,2.8639845848083496,2.4785759449005127,0.001,21800,58.47965621948242,0.0,58.47965621948242,61.564516143798826,61.564516143798826,3.000556125342846,2.582787040472031
164,233,200.0,-199.03352532,140,32800,2.522606372833252,3.064316987991333,0.001,22600,60.4228515625,0.0,60.4228515625,60.795899887084964,60.795899887084964,3.0384345877170564,2.565486159324646
168,230,200.0,-169.93716770000003,145,33600,2.8149471282958984,2.119640350341797,0.001,23400,59.411991119384766,0.0,59.411991119384766,60.01095096588135,60.01095096588135,3.0583994302153585,2.1101507544517517
172,228,200.0,-149.78168595,150,34400,1.8342552185058594,2.331195831298828,0.001,24200,58.81085968017578,0.0,58.81085968017578,58.0566170501709,58.0566170501709,2.8681267902255057,2.132930099964142
176,226,200.0,-147.87114995000002,155,35200,2.517578125,2.286975383758545,0.001,25000,56.53666687011719,0.0,56.53666687011719,57.0343505859375,57.0343505859375,2.890234658420086,2.3943071389198303
180,224,200.0,-144.87343973,160,36000,1.6166175603866577,2.598707914352417,0.001,25800,52.12070083618164,0.0,52.12070083618164,55.763930053710936,55.763930053710936,2.997897212803364,2.647320618629456
184,222,200.0,-141.97291327,165,36800,1.3553783893585205,2.481365919113159,0.001,26600,54.363563537597656,0.0,54.363563537597656,55.098403701782225,55.098403701782225,2.647969264984131,2.5586215829849244
188,221,200.0,-141.93582526000003,170,37600,3.0689971446990967,2.5837411880493164,0.001,27400,45.59303283691406,0.0,45.59303283691406,53.203088455200195,53.203088455200195,2.3682627373933793,2.5619387650489807
192,219,200.0,-139.65445741,174,38400,3.9887728691101074,2.913456678390503,0.001,28200,51.707820892333984,0.0,51.707820892333984,53.360491333007815,53.360491333007815,2.7567099457979203,3.04662956237793
