rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,time/total_timesteps,time/time_elapsed,train/actor_loss,train/learning_rate,train/n_updates,train/Main_losses,train/MSE_loss,train/critic_los,train/RL_loss,train/Beta,train/critic_loss,train/MSE_losses,train/loss
200.0,-279.39720424999996,245,140,28000,113,49.51223300933838,0.001,17800,49.51223300933838,2.9998886585235596,4.182167053222656,55.895111083984375,0,3.102122953236103,2.226459653377533,55.895111083984375
200.0,-242.23738148999996,242,144,28800,118,47.03360548019409,0.001,18600,47.03360548019409,1.829088807106018,2.817488193511963,36.99085235595703,0,3.1430943223834036,2.2055793809890747,36.99085235595703
200.0,-202.70839407,239,148,29600,123,48.7527760887146,0.001,19400,48.7527760887146,2.206578254699707,1.7618017196655273,50.141292572021484,0,3.154397569894791,2.12444380402565,50.141292572021484
200.0,-153.22170763,236,152,30400,128,46.657300758361814,0.001,20200,46.657300758361814,1.7776519060134888,3.004134178161621,45.10946273803711,0,3.140860855579376,2.213318204879761,45.10946273803711
200.0,-144.18256635,233,156,31200,133,45.71267372131348,0.001,21000,45.71267372131348,1.8478165864944458,6.239015579223633,51.72561264038086,0,3.176794980764389,2.1806446993350983,51.72561264038086
200.0,-146.53297213,231,160,32000,138,44.8870244216919,0.001,21800,44.8870244216919,1.8074951171875,3.241244316101074,44.05533218383789,0,2.964753613173962,1.9616141271591188,44.05533218383789
200.0,-144.35128656000003,228,164,32800,143,44.17695432662964,0.001,22600,44.17695432662964,1.7787857055664062,6.365952968597412,54.37979507446289,0,3.6029187393188478,2.0288469409942627,54.37979507446289
200.0,-145.41855909000003,226,168,33600,148,43.59924760818481,0.001,23400,43.59924760818481,2.280609130859375,7.14553689956665,44.57788848876953,0,3.118446666896343,1.9696198201179504,44.57788848876953
200.0,-149.04816406,224,172,34400,153,43.234068908691405,0.001,24200,43.234068908691405,2.4861791133880615,3.129073143005371,42.27728271484375,0,3.1852876961231233,2.11482773065567,42.27728271484375
200.0,-146.76041609,222,176,35200,157,42.76045680999756,0.001,25000,42.76045680999756,2.464214563369751,6.140832901000977,49.59922790527344,0,3.0063218215107916,2.157694693803787,49.59922790527344
200.0,-150.00968778,221,180,36000,162,40.25130920410156,0.001,25800,40.25130920410156,2.158170461654663,5.180300712585449,52.920135498046875,0,2.8200520130991937,2.060027256011963,52.920135498046875
200.0,-152.73450622000001,219,184,36800,167,41.770498218536375,0.001,26600,41.770498218536375,2.0441651344299316,1.629636526107788,41.48147964477539,0,3.0748851758241655,2.0150763428211214,41.48147964477539
200.0,-151.32722558999995,217,188,37600,172,40.677698860168455,0.001,27400,40.677698860168455,1.9023590087890625,2.1368050575256348,51.38671112060547,0,2.201073250770569,1.9117544996738434,51.38671112060547
200.0,-147.51150167999998,216,192,38400,177,39.43273185729981,0.001,28200,39.43273185729981,1.9631316661834717,1.1010212898254395,39.19056701660156,0,3.3326516091823577,1.9946349227428437,39.19056701660156
200.0,-145.94964652,214,196,39200,182,39.36131505966186,0.001,29000,39.36131505966186,1.7170696258544922,4.914268493652344,46.869197845458984,0,2.936156541109085,2.3554577469825744,46.869197845458984
200.0,-148.21179368,213,200,40000,187,38.27546186447144,0.001,29800,38.27546186447144,2.81186580657959,1.8639376163482666,46.47121810913086,0,2.9032774418592453,2.401043952703476,46.47121810913086
200.0,-149.52371916,212,204,40800,192,39.00730079650879,0.001,30600,39.00730079650879,2.0887372493743896,1.5376439094543457,36.45737075805664,0,2.439903892874718,2.0892053043842314,36.45737075805664
200.0,-151.9143019,211,208,41600,197,37.93431697845459,0.001,31400,37.93431697845459,3.006868839263916,5.610478401184082,30.46127700805664,0,2.668690038174391,2.419281631708145,30.46127700805664
200.0,-148.47708692999998,209,212,42400,202,37.83763286590576,0.001,32200,37.83763286590576,2.4611129760742188,1.9740619659423828,29.00044822692871,0,3.161947174668312,2.5103960359096527,29.00044822692871
200.0,-146.27509511,208,216,43200,206,36.98627212524414,0.001,33000,36.98627212524414,2.4311790466308594,4.074646949768066,38.83587646484375,0,3.510390422940254,2.777930064201355,38.83587646484375
200.0,-144.82362078,207,220,44000,211,36.688899192810055,0.001,33800,36.688899192810055,3.5440447330474854,1.4271728992462158,32.488773345947266,0,2.017905333638191,2.745685381889343,32.488773345947266
200.0,-143.89159818,206,224,44800,216,35.976358795166014,0.001,34600,35.976358795166014,2.9282562732696533,5.802076816558838,40.63006591796875,0,2.622076980471611,2.8863123178482057,40.63006591796875
200.0,-148.92844283,205,228,45600,221,34.646197910308835,0.001,35400,34.646197910308835,2.2870993614196777,3.3017687797546387,29.270301818847656,0,3.5168340304493904,2.7188620924949647,29.270301818847656
200.0,-149.09188764,204,232,46400,226,35.48159896850586,0.001,36200,35.48159896850586,2.627040386199951,6.3899078369140625,47.507083892822266,0,2.6544293446838854,2.7583458220958708,47.507083892822266
200.0,-149.18557672999998,203,236,47200,231,35.12574474334717,0.001,37000,35.12574474334717,2.8980395793914795,4.335119247436523,37.68878173828125,0,2.0889756205677985,2.8032368993759156,37.68878173828125
200.0,-151.58886906,202,240,48000,236,34.01922727584839,0.001,37800,34.01922727584839,2.5851492881774902,2.0755422115325928,32.8353271484375,0,2.5796521970629693,2.7140097892284394,32.8353271484375
200.0,-151.47213233,202,244,48800,241,34.17993886947632,0.001,38600,34.17993886947632,2.8102123737335205,0.8341042995452881,50.133914947509766,0,2.0331776843965055,2.7071431279182434,50.133914947509766
200.0,-146.9996879,201,248,49600,246,33.87610942840576,0.001,39400,33.87610942840576,2.419898748397827,1.0342293977737427,32.00481414794922,0,3.1492776495218275,2.479863027334213,32.00481414794922
200.0,-153.11984046,200,252,50400,251,33.11530910491943,0.001,40200,33.11530910491943,2.1046831607818604,3.0546951293945312,32.097015380859375,0,2.6960986378788947,2.2967746651172636,32.097015380859375
200.0,-154.59098889999999,199,256,51200,256,33.8831431388855,0.001,41000,33.8831431388855,2.098661422729492,1.0994142293930054,30.94907569885254,0,2.8867243349552156,2.35350063085556,30.94907569885254
200.0,-153.75329846,199,260,52000,261,33.21680711746216,0.001,41800,33.21680711746216,2.0184154510498047,1.420198917388916,23.20591163635254,0,2.6362735173106193,1.968097016811371,23.20591163635254
200.0,-154.84351102,198,264,52800,265,32.89055521965027,0.001,42600,32.89055521965027,2.388253688812256,5.811144828796387,31.609716415405273,0,2.237520306110382,2.3877236258983614,31.609716415405273
200.0,-153.80396710000002,197,268,53600,270,32.60838714599609,0.001,43400,32.60838714599609,2.3942222595214844,1.144928216934204,30.430736541748047,0,2.4417460165172815,2.528778817653656,30.430736541748047
200.0,-155.93372035,197,272,54400,275,31.30809093475342,0.001,44200,31.30809093475342,3.0271389484405518,1.6287661790847778,26.898466110229492,0,2.106973342895508,2.5660777962207795,26.898466110229492
200.0,-157.59607481999998,196,276,55200,280,31.982643489837645,0.001,45000,31.982643489837645,3.074176073074341,0.9288118481636047,26.60009765625,0,2.053973301202059,2.9248226177692414,26.60009765625
200.0,-155.16465104,196,280,56000,285,31.75320764541626,0.001,45800,31.75320764541626,2.741323232650757,0.6230130791664124,24.44409942626953,0,2.1376725217700003,2.631728000640869,24.44409942626953
200.0,-154.09922354999998,195,284,56800,290,32.15886106491089,0.001,46600,32.15886106491089,2.8050668239593506,4.743616104125977,27.759666442871094,0,2.9049909323453904,2.615131701231003,27.759666442871094
200.0,-154.15564496,195,288,57600,295,30.326228857040405,0.001,47400,30.326228857040405,2.2676587104797363,2.124715805053711,37.81843566894531,0,2.5456174448132516,2.2781307339668273,37.81843566894531
200.0,-156.59997269999997,194,292,58400,300,30.643427829742432,0.001,48200,30.643427829742432,2.1504783630371094,1.3452987670898438,30.3170166015625,0,2.845318872332573,2.3161070418357848,30.3170166015625
200.0,-157.11454485000002,194,296,59200,305,30.408748779296875,0.001,49000,30.408748779296875,2.4746336936950684,1.3379769325256348,28.73426628112793,0,2.4243978694081307,2.094463164806366,28.73426628112793
200.0,-152.56234604999997,193,300,60000,310,29.40202491760254,0.001,49800,29.40202491760254,1.9135781526565552,4.259610652923584,33.47410202026367,0,2.474289440214634,2.029809466600418,33.47410202026367
