time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/Beta,train/critic_los,train/actor_loss,train/learning_rate,train/n_updates,train/critic_loss,train/MSE_loss,train/MSE_losses,train/Main_losses,train/RL_loss,train/loss
67676,92,382,735.6086956521739,176,-27.03165201086956,0.82,0.25529757142066956,0.7382425392795754,0.001,57257,0.6655946897940994,6.871696472167969,4.932713556390271,4.783067627211328,1.2633289098739624,6.898119926452637
71163,96,407,741.28125,174,-19.528156781249997,0.812,0.28521084785461426,-0.19116680180837783,0.001,61121,0.5576121337778065,4.560126781463623,5.040302764539965,3.9015589236345107,1.708754539489746,5.411577224731445
74052,100,430,740.52,172,-16.250082559999996,0.804,0.8176116943359375,-0.8180417668337197,0.001,64634,0.6062222144651316,8.219146728515625,5.152122801066907,3.3242650628089905,2.8172802925109863,9.425474166870117
78991,104,456,771.52,173,-0.016825139999997987,0.796,0.3157406747341156,-1.3465395477229878,0.001,68372,0.6196260868302512,2.3933916091918945,4.758806074576521,2.441470106376762,-1.1753073930740356,0.7298322916030884
82438,108,483,802.98,170,9.706099350000002,0.788,0.4804256558418274,-2.063931005187624,0.001,72713,0.5443537730898242,1.457579255104065,4.886148942448199,1.7863542932085692,-2.446699619293213,-1.2981271743774414
85313,112,504,813.57,169,18.74435999,0.78,0.3189659118652344,-2.5851540338001486,0.001,75855,0.5602849676604673,3.518477201461792,4.8964800229843926,1.2341002480072134,-3.5849602222442627,-0.840548038482666
86990,116,515,812.13,168,22.276709410000002,0.772,1.0589327812194824,-2.525541214434068,0.001,77602,0.669014992334673,5.3704962730407715,4.975995113659236,1.3159270897093747,0.35751309990882874,4.503536224365234
90665,120,534,815.74,169,33.75169465,0.764,0.12074029445648193,-2.6921820981012288,0.001,80260,0.732618395487904,2.493903636932373,4.530332771985937,0.7689921318018164,-4.294628620147705,-2.3892862796783447
94141,124,557,817.49,168,47.005195359999995,0.756,1.7135610580444336,-3.1517667960036886,0.001,83879,0.6104541861564641,6.165294647216797,4.664025422452267,0.3742363457522955,-1.5736535787582397,3.087308883666992
98700,128,587,833.26,168,63.30458337,0.748,0.8917577862739563,-3.6720716580487136,0.001,88364,0.6990390299468631,2.471160411834717,5.040259553465927,0.09804261504558094,-2.7819433212280273,-0.9335153102874756
103066,132,616,856.74,167,79.04756981,0.74,0.7312054634094238,-4.1135433331473585,0.001,92748,0.6133291466393412,1.0158517360687256,4.973342510653131,-0.43326984248674316,-3.7991909980773926,-3.0474605560302734
107496,136,646,880.88,166,94.97848784,0.732,0.5971517562866211,-4.48384375337492,0.001,97296,0.5740514628415285,10.168108940124512,4.8459808713208,-0.9365857868408703,-3.147566080093384,4.295489311218262
111149,140,670,895.69,165,108.53248114,0.724,0.20807966589927673,-4.849767430168059,0.001,100924,0.5662016343502771,5.451271057128906,4.779167439256396,-1.3896503060583085,-6.773241996765137,-2.826521873474121
115599,144,699,927.3,165,124.98079921,0.716,1.6158783435821533,-5.332766201194843,0.001,105346,0.5579376588274544,4.919833660125732,4.697109434767821,-1.9696357465515573,-5.070456027984619,-1.5478551387786865
119924,148,728,942.74,164,140.87738912,0.708,0.6823659539222717,-5.898651248573238,0.001,109729,0.5433809964575319,8.173712730407715,4.688641047070169,-2.579093375776568,-5.237086296081543,0.5499024391174316
124003,152,754,946.16,164,154.23104268,0.7,0.23334255814552307,-6.203645549334731,0.001,113761,0.6127942538363677,2.0034797191619873,4.717416087903229,-2.9014543294906616,-5.896268844604492,-4.493833065032959
128385,156,784,942.82,163,169.18416553999998,0.692,0.3034660816192627,-6.691280667870133,0.001,118198,0.5324709392510928,6.658426284790039,4.729543843534258,-3.4184364526360125,-7.384025573730469,-2.776394844055176
132613,160,811,974.93,163,185.09532363999998,0.684,0.2777820825576782,-7.0436385767800465,0.001,122286,0.5489922803503519,10.439799308776855,4.596874981510396,-3.899376017950019,-8.0606050491333,-0.9197821617126465
136969,164,840,995.08,162,198.79730845999998,0.676,0.11019260436296463,-7.358462056261291,0.001,126822,0.5504552169905546,1.876004934310913,4.64462892864446,-4.218692911817091,-9.080279350280762,-7.812099933624268
140474,168,863,1006.41,162,210.23657326999998,0.668,0.21184588968753815,-7.504657606460273,0.001,130299,0.580998378028199,4.23546028137207,4.860848668095909,-4.257610792588594,-6.803281307220459,-3.973994016647339
144266,172,889,1003.95,162,223.72657457999998,0.66,0.5507867932319641,-7.790882823981491,0.001,134141,0.6425121907144785,3.272784948348999,4.734687650904936,-4.66598884638618,-9.002368927001953,-6.8423309326171875
147245,176,912,981.56,161,226.64988015,0.652,0.6026148796081543,-8.127019462131319,0.001,137787,0.6212611003936112,5.617420673370361,4.653862568981204,-5.092701004697131,-6.945459842681885,-3.2829015254974365
151061,180,933,965.85,161,233.68852546,0.644,0.6106436848640442,-8.500580615551861,0.001,140854,0.6680447757323204,13.55275821685791,4.454071638816988,-5.632158503664021,-10.424762725830078,-1.696786880493164
155161,184,960,973.85,161,242.83764351999997,0.636,0.4868786036968231,-9.06085266334056,0.001,144961,0.5740363745679778,1.9198708534240723,4.574292964229548,-6.1516024582300055,-7.640139579772949,-6.419101715087891
157410,188,979,937.94,160,234.95452731999998,0.628,0.5316994190216064,-9.30989668353292,0.001,148053,0.7121331710243385,5.095291614532471,4.84169037630094,-6.269315033150999,-9.805851936340332,-6.606008529663086
160916,192,998,932.4,161,236.64685793,0.62,0.7121245861053467,-9.291977037817745,0.001,150839,0.7574019705675873,11.563369750976562,4.446170797792532,-6.53535112587072,-9.146738052368164,-1.9774489402770996
164926,196,1024,937.63,161,241.70132954000002,0.612,0.12227689474821091,-9.336983687425386,0.001,154621,0.6508792122640805,7.859899520874023,4.432076295030759,-6.624553036633922,-10.065048217773438,-5.25478982925415
169184,200,1052,951.32,160,251.78058501000004,0.604,4.5769805908203125,-9.61432557873958,0.001,158999,0.6970669249851532,1.4595677852630615,4.7683839598175295,-6.734221805793962,-9.54293441772461,-8.661355972290039
