rollout/ep_len_mean,time/total_timesteps,time/episodes,train/std,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/loss,train/MSE_losses,train/Main_losses,train/Beta,train/actor_loss,train/critic_los,train/n_updates,train/ent_coef,train/critic_loss,train/MSE_loss,train/ent_coef_loss,train/learning_rate,train/RL_loss
73.75,295,4,0.04978706315159798,0,1886,-106.7857955,,,,,,,,,,,,,
457.375,3659,8,0.04978706315159798,1,2064,-101.81773875,,,,,,,,,,,,,
459.25,5511,12,0.04978706315159798,2,2074,-100.63072625,,,,,,,,,,,,,
364.375,5830,16,0.04978706315159798,2,2069,-103.52372224999999,,,,,,,,,,,,,
379.35,7587,20,0.04978706315159798,3,2073,-104.04813374999999,,,,,,,,,,,,,
329.9583333333333,7919,24,0.04978706315159798,3,2069,-104.33292625000001,,,,,,,,,,,,,
348.67857142857144,9763,28,0.04978706315159798,4,2072,-103.87053907142858,,,,,,,,,,,,,
337.5,10800,32,0.05005968362092972,13,787,-107.03551928125,-17.630901336669922,7.5424321591854095,-16.174242675304413,0.0,-16.174242675304413,3.359607696533203,768,0.5683310870081186,7.180941659025848,6.862757682800293,-3.711729697883129,0.00073,-17.630901336669922
309.47222222222223,11141,36,0.05005625635385513,18,615,-107.6945953888889,-19.999176025390625,7.311064817011356,-20.353365927934647,0.0,-20.353365927934647,1.3682360649108887,1152,0.42946657072752714,7.370527192950249,8.911399841308594,-5.327106304466724,0.00073,-19.999176025390625
287.375,11495,40,0.05003504827618599,21,526,-109.31786112500001,-23.08380126953125,7.321465514600277,-21.879408597946167,0.0,-21.879408597946167,0.5353548526763916,1472,0.34032029658555984,3.918436666484922,6.573944568634033,-6.793133318424225,0.00073,-23.08380126953125
272.02272727272725,11969,44,0.05002528056502342,27,431,-110.40129677272729,-19.296302795410156,7.3458977192640305,-21.346159547567368,0.0,-21.346159547567368,1.6105515956878662,1984,0.236261744517833,3.2335544135421515,7.079501152038574,-8.67670576274395,0.00073,-19.296302795410156
258.8333333333333,12424,48,0.04998663067817688,32,377,-110.77268479166666,-19.104084014892578,7.33237748593092,-19.09192654490471,0.0,-19.09192654490471,1.7773934602737427,2432,0.172334915259853,3.3698938777670264,8.530604362487793,-10.628966480493546,0.00073,-19.104084014892578
272.71153846153845,14181,52,0.049580302089452744,52,269,-112.87335809615385,-10.963075637817383,8.116401232779026,-11.021697714924812,0.0,-11.021697714924812,0.8144046664237976,4160,0.05560525378677994,1.4854768766090274,9.388187408447266,-13.365665555000305,0.00073,-10.963075637817383
312.75,17514,56,0.048547711223363876,90,193,-111.91475837499999,-0.9915285110473633,7.442380398511887,-0.8305748268030584,0.0,-0.8305748268030584,0.5360318422317505,7488,0.007237975914904382,0.5238738828338683,7.10028076171875,-11.94448995962739,0.00073,-0.9915285110473633
299.18333333333334,17951,60,0.04841553047299385,95,187,-111.81301488333332,0.16028571128845215,7.259369261562824,0.26245454465970397,0.0,0.26245454465970397,0.24383828043937683,7936,0.005707129086658824,0.3768596863374114,7.381434440612793,-11.472570724785328,0.00073,0.16028571128845215
380.484375,24351,64,0.0462527796626091,168,144,-109.455927953125,3.698481798171997,7.984731689095497,3.2651585433632135,0.0,3.2651585433632135,0.1300528645515442,14336,0.001927754365169676,0.19578908919356763,8.027179718017578,-2.1073413372505456,0.00073,3.698481798171997
407.6029411764706,27717,68,0.04533328860998154,207,133,-109.18033052941176,2.7831287384033203,7.539910599589348,3.1867605075240135,0.0,3.1867605075240135,0.06720717996358871,17728,0.0015706367721577408,0.14957527356455103,7.498042106628418,0.31786590884439647,0.00073,2.7831287384033203
453.06944444444446,32621,72,0.04463570937514305,263,123,-106.81477818055555,3.701888084411621,7.914640784263611,2.8106707874685526,0.0,2.8106707874685526,0.1647961437702179,22592,0.0017918833782459842,0.16509161915746517,7.710178852081299,0.11539994063787162,0.00073,3.701888084411621
493.86842105263156,37534,76,0.04368068277835846,319,117,-104.71180788157893,3.317101001739502,7.491047903895378,3.1031240485608578,0.0,3.1031240485608578,0.15593178570270538,27520,0.001681993684542249,0.15934319095686078,7.235376834869385,-0.19369543925859034,0.00073,3.317101001739502
549.175,43934,80,0.04296285659074783,393,111,-101.5471223375,2.8017075061798096,7.121537953615189,2.6047801822423935,0.0,2.6047801822423935,0.08340523391962051,33920,0.0018482260074961232,0.15919224958634004,7.1237592697143555,0.07966020610183477,0.00073,2.8017075061798096
599.2142857142857,50334,84,0.04228242486715317,467,107,-98.63603503571427,1.9036356210708618,7.975709095597267,2.3338917773216963,0.0,2.3338917773216963,0.03538978844881058,40320,0.0016293889912049053,0.11266869894461706,8.278173446655273,0.9698524535633624,0.00073,1.9036356210708618
589.6022727272727,51885,88,0.042201220989227295,485,106,-99.91595060227273,2.8444294929504395,7.706890664994717,2.44677665643394,0.0,2.44677665643394,0.07486695796251297,41856,0.0017002011081785895,0.1339672725298442,8.03866958618164,0.5857359552755952,0.00073,2.8444294929504395
567.2282608695652,52185,92,0.04219035431742668,489,106,-99.97352394565218,2.287977695465088,7.431564472615719,2.644440719857812,0.0,2.644440719857812,0.09918490052223206,42176,0.0017206327938765753,0.2054142963315826,7.978198528289795,0.24379773251712322,0.00073,2.287977695465088
610.2604166666666,58585,96,0.0421922393143177,562,104,-96.99871489583334,1.8384793996810913,6.743406869471073,2.703116800636053,0.0,2.703116800636053,0.026359563693404198,48576,0.0017745779568940634,0.11731513676932082,6.242893218994141,-1.6159880887717009,0.00073,1.8384793996810913
649.85,64985,100,0.04191634804010391,636,102,-94.19992988,2.2073557376861572,7.347581423819065,2.5170833822339773,0.0,2.5170833822339773,0.028146794065833092,54976,0.0015797781907167519,0.10158206487540156,7.289565086364746,2.410336321219802,0.00073,2.2073557376861572
696.39,69934,104,0.04152755066752434,692,100,-91.79045860000001,2.0813827514648438,7.100344508886337,2.2405380066484213,0.0,2.2405380066484213,0.02955429069697857,59904,0.0015808744610694703,0.07687056512804702,6.636865615844727,-1.2332461667247117,0.00073,2.0813827514648438
697.25,73384,108,0.041194356977939606,732,100,-90.84810852000001,2.8298840522766113,7.4124803096055984,2.450530456379056,0.0,2.450530456379056,0.04897609353065491,63360,0.0014805097380303778,0.07819455009303056,7.6266326904296875,2.5555438762530684,0.00073,2.8298840522766113
713.61,76872,112,0.040885742753744125,772,99,-89.61795499000002,3.0754356384277344,7.064484052360058,2.639931472018361,-0.0,2.639931472018361,0.07549123466014862,66880,0.0014265764202718856,0.08661272816243581,7.26883602142334,-0.3241031374782324,0.00073,3.0754356384277344
774.42,83272,116,0.04071526229381561,846,98,-86.09608705000002,3.089305877685547,7.0126613676548,2.2987811025232077,-0.0,2.2987811025232077,0.03184059262275696,73280,0.0015495573134103324,0.07145366305485368,7.168726921081543,-1.3365262923762202,0.00073,3.089305877685547
820.85,89672,120,0.040768153965473175,919,97,-83.12135117000001,2.119642734527588,6.915090300142765,2.1224204674363136,-0.0,2.1224204674363136,0.10477820038795471,79680,0.0015648647495254409,0.06824948717257939,6.450094223022461,0.4745032550999895,0.00073,2.119642734527588
866.97,94616,124,0.040609441697597504,976,96,-80.81951592,2.089137554168701,6.787516847252846,2.173232039436698,-0.0,2.173232039436698,0.08017309010028839,84608,0.0017430077350581996,0.06696465209824964,6.420950889587402,1.1332318312488496,0.00073,2.089137554168701
898.47,99610,128,0.040740400552749634,1033,96,-78.85856656,2.2361817359924316,6.952611930668354,2.031140875071287,-0.0,2.031140875071287,0.048250358551740646,89600,0.0017110099888668628,0.06812475455080858,6.646805763244629,1.1197842098772526,0.00073,2.2361817359924316
952.1,106010,132,0.04063256084918976,1106,95,-74.72024821999999,1.68464994430542,6.54653986543417,1.6576828388497233,-0.0,1.6576828388497233,0.1661890298128128,96000,0.0012897557298856555,0.10137708294496406,6.754226207733154,1.9787269035587087,0.00073,1.68464994430542
989.47,110088,136,0.04032769799232483,1154,95,-73.79700439,2.7631688117980957,6.582794867455959,2.2700213231146336,-0.0,2.2700213231146336,0.03487664461135864,100096,0.0013413311480690027,0.08984490143484436,6.979550361633301,0.520812033675611,0.00073,2.7631688117980957
1049.93,116488,140,0.03994281217455864,1227,94,-69.94956008999999,1.3846317529678345,6.755681060254574,1.832403987646103,-0.0,1.832403987646103,0.03289743512868881,106496,0.0013922868347435724,0.04809755095629953,5.999558448791504,0.31562484381720424,0.00073,1.3846317529678345
1109.19,122888,144,0.039356984198093414,1300,94,-65.88496017,2.2276759147644043,6.77691513299942,1.8734229300171137,-0.0,1.8734229300171137,0.1491270661354065,112896,0.001289672090933891,0.05731045610446017,6.957053184509277,0.3583889468573034,0.00073,2.2276759147644043
1168.64,129288,148,0.03894022852182388,1373,94,-62.15458238000001,1.6037770509719849,7.15974161028862,1.8472117269411683,-0.0,1.8472117269411683,0.03549955040216446,119296,0.0012336424624663778,0.05792450674925931,7.439408302307129,0.5830322280526161,0.00073,1.6037770509719849
1215.07,135688,152,0.038869794458150864,1446,93,-57.301770000000005,1.8299858570098877,6.875786632299423,1.62935243640095,-0.0,1.62935243640095,0.07768727838993073,125696,0.0013563689644797705,0.0552534400994773,6.9029340744018555,-0.5021165232174098,0.00073,1.8299858570098877
1231.07,140621,156,0.03874029219150543,1503,93,-54.93444188,1.0824848413467407,6.893649987876415,1.4421903314068913,-0.0,1.4421903314068913,0.03598325699567795,130624,0.0012294736552576069,0.13140759570524096,6.781651020050049,1.9589563901536167,0.00073,1.0824848413467407
1261.32,144083,160,0.03826611116528511,1542,93,-53.22792329,1.4703552722930908,7.014817118644714,1.8808717019855976,-0.0,1.8808717019855976,0.0947130024433136,134080,0.001006544287520228,0.09014532779110596,7.076509475708008,2.293450432131067,0.00073,1.4703552722930908
1261.32,150483,164,0.03780576214194298,1615,93,-51.057022970000006,1.3121224641799927,6.767803452908993,1.5717729171738029,-0.0,1.5717729171738029,0.024993468075990677,140480,0.0012925729042763123,0.05941421403986169,7.008389472961426,-0.6378930192440748,0.00073,1.3121224641799927
1291.66,156883,168,0.03790990263223648,1688,92,-47.454133729999995,1.7591514587402344,6.8513109758496284,1.607329560443759,-0.0,1.607329560443759,0.027135267853736877,146880,0.0013371864861255744,0.047392361746460665,7.458967208862305,0.4667672165669501,0.00073,1.7591514587402344
1306.62,163283,172,0.03772484511137009,1761,92,-45.491689019999995,1.569812536239624,6.976238250732422,1.5271607739850879,-0.0,1.5271607739850879,0.017902394756674767,153280,0.0013147020290489309,0.03635256184497848,7.124307155609131,0.09572242316789925,0.00073,1.569812536239624
1321.49,169683,176,0.03740054741501808,1834,92,-43.235379649999985,2.115352153778076,6.94073524326086,1.3761559994891286,-0.0,1.3761559994891286,0.04610346630215645,159680,0.00125045974891691,0.041102764480456244,6.694072723388672,3.3666411163285375,0.00073,2.115352153778076
1321.49,176083,180,0.03718215227127075,1907,92,-42.00683069000001,1.3969883918762207,6.711440056562424,1.4277317924425006,-0.0,1.4277317924425006,0.011079630814492702,166080,0.0012888329601992154,0.028881642647320405,6.561060905456543,-0.577186522539705,0.00073,1.3969883918762207
1321.49,182483,184,0.03681042417883873,1980,92,-40.93766364000001,1.661089301109314,6.718799889087677,1.3055011266842484,-0.0,1.3055011266842484,0.8119439482688904,172480,0.0012264281249372289,0.11034392559668049,6.681433200836182,0.6556339673697948,0.00073,1.661089301109314
1369.98,188883,188,0.036844853311777115,2053,91,-36.26201092,1.1914399862289429,6.67045022547245,1.381326268427074,-0.0,1.381326268427074,0.0166312288492918,178880,0.001242625587110524,0.04896532082784688,7.335481643676758,0.4173696128418669,0.00073,1.1914399862289429
1430.98,195283,192,0.03662971407175064,2126,91,-32.30865699,1.1928064823150635,6.932452976703644,1.2065972769632936,-0.0,1.2065972769632936,0.061429861932992935,185280,0.0013153291583876126,0.03089599217128125,7.191025257110596,0.5609349242877215,0.00073,1.1928064823150635
1430.98,201683,196,0.03679154813289642,2199,91,-31.34322721,0.8859027624130249,6.665087267756462,1.2330734226852655,-0.0,1.2330734226852655,0.011779168620705605,191680,0.0013639330736623378,0.027719637440895895,6.6212873458862305,-1.0351339548360556,0.00073,0.8859027624130249
1430.98,208083,200,0.036807671189308167,2272,91,-30.6090515,1.350522518157959,6.687499284744263,1.1240458330139518,-0.0,1.1240458330139518,0.057154759764671326,198080,0.00133860389541951,0.03343756791582564,6.858863353729248,-1.6193741557653993,0.00073,1.350522518157959
1445.49,214483,204,0.036840736865997314,2346,91,-29.058889839999996,1.187609314918518,6.935730390250683,1.2291699089109898,-0.0,1.2291699089109898,0.026558363810181618,204480,0.001291784037675825,0.028771222408977337,6.885591506958008,-0.4110439158976078,0.00073,1.187609314918518
1474.99,220883,208,0.03687697649002075,2418,91,-26.357618499999994,1.2691869735717773,6.775424920022488,1.1189518049359322,-0.0,1.1189518049359322,0.033723533153533936,210880,0.0014127162303338991,0.04441869915171992,6.809337139129639,-0.25838963268324733,0.00073,1.2691869735717773
1489.91,225863,212,0.03682903200387955,2475,91,-24.79457286,1.0381560325622559,6.676778092980385,1.1916931243613362,-0.0,1.1916931243613362,0.02983991615474224,215872,0.0017929032692336477,0.03348297466436634,6.464648246765137,2.099129958078265,0.00073,1.0381560325622559
1489.91,232263,216,0.036888957023620605,2547,91,-24.060228849999994,1.583256721496582,6.612870387732983,1.0711133247241378,-0.0,1.0711133247241378,0.0733126848936081,222272,0.0014204680010152515,0.04688144694955554,6.957895278930664,-2.1055513699539006,0.00073,1.583256721496582
1489.91,238663,220,0.0368320606648922,2620,91,-22.572395790000005,1.050209879875183,6.7374124974012375,0.9695204505696893,-0.0,0.9695204505696893,0.019048675894737244,228672,0.0015204457049549092,0.04577789983159164,6.555231094360352,-0.01885956898331642,0.00073,1.050209879875183
1504.47,245063,224,0.03667750582098961,2692,91,-20.605949909999996,0.45281875133514404,6.574457198381424,0.9418351054191589,-0.0,0.9418351054191589,0.0073398929089307785,235072,0.0014579862126993248,0.033041082133422606,6.6303935050964355,-1.6449822313152254,0.00073,0.45281875133514404
1518.53,251463,228,0.03640817105770111,2764,90,-17.939598969999995,0.8325805068016052,6.896129108965397,0.9300377485342324,-0.0,0.9300377485342324,0.01164830569177866,241472,0.0013594349165941821,0.027016754225769546,6.626132965087891,1.2269580074353144,0.00073,0.8325805068016052
1518.53,257863,232,0.036125265061855316,2837,90,-16.603633039999995,0.4809642732143402,5.499745719134808,0.8578149545937777,-0.0,0.8578149545937777,0.010974438861012459,247872,0.0013245222962723346,0.03022410543417209,5.331674575805664,2.2178656947799027,0.00073,0.4809642732143402
1526.72,262760,236,0.03599610552191734,2892,90,-13.13639189,1.1131547689437866,6.423409380018711,0.9006433808244765,-0.0,0.9006433808244765,0.035979289561510086,252736,0.0013435981381917372,0.021287986648530932,6.010412216186523,1.9996702848002315,0.00073,1.1131547689437866
1526.72,269160,240,0.03589195758104324,2965,90,-10.78161691,0.6575595736503601,6.332578524947166,0.8827647282741964,-0.0,0.8827647282741964,0.013058159500360489,259136,0.0015303507389035076,0.030658164538181154,6.617072105407715,-1.2419298416934907,0.00073,0.6575595736503601
1526.72,275560,244,0.03582286462187767,3038,90,-8.28310586,1.6870684623718262,5.38341511040926,0.829827796202153,-0.0,0.829827796202153,0.15153717994689941,265536,0.0016770294605521485,0.031280013761715963,5.60392427444458,1.0101747559383512,0.00073,1.6870684623718262
1526.72,281960,248,0.03561478853225708,3111,90,-5.773430040000001,0.9496296644210815,5.218137487769127,0.6574959636200219,-0.0,0.6574959636200219,0.06387956440448761,271936,0.0014750319023733027,0.041848138374916743,5.512447357177734,0.3498144755139947,0.00073,0.9496296644210815
1526.72,288360,252,0.03554914519190788,3184,90,-3.125305589999999,0.31589844822883606,5.438732668757439,0.6089203943265602,-0.0,0.6089203943265602,0.013543518260121346,278336,0.001675986544796615,0.0506365373294102,5.17937707901001,0.24978185631334782,0.00073,0.31589844822883606
1541.39,294760,256,0.03576616942882538,3258,90,0.3441665799999999,0.47944819927215576,5.373604364693165,0.5461559244431555,-0.0,0.5461559244431555,0.02194751426577568,284736,0.0017792152957554208,0.024308400439622346,5.204972267150879,0.6399515166413039,0.00073,0.47944819927215576
1569.33,301016,260,0.03567736968398094,3329,90,3.582622329999999,0.517844557762146,5.393301285803318,0.3862897985964082,-0.0,0.3862897985964082,0.02813968062400818,291008,0.001731115818984108,0.04590290291525889,5.432843208312988,1.0055264374241233,0.00073,0.517844557762146
1569.33,307416,264,0.03563173860311508,3402,90,6.06648224,0.046234793961048126,5.284301161766052,0.2308314759284258,-0.0,0.2308314759284258,0.008672544732689857,297408,0.0019303980443510227,0.026680719467549352,5.459846496582031,0.665374148869887,0.00073,0.046234793961048126
1569.33,313816,268,0.03579205647110939,3475,90,8.922479920000002,-0.049205899238586426,5.309366934001446,-0.0035325929056853056,-0.0,-0.0035325929056853056,0.009676817804574966,303808,0.0019583335451898165,0.01912023718978162,5.194701194763184,-0.5761293466202915,0.00073,-0.049205899238586426
1569.33,320216,272,0.03622280806303024,3547,90,12.802324180000001,-0.16176755726337433,5.220050349831581,-0.1765465697972104,-0.0,-0.1765465697972104,0.015416165813803673,310208,0.002535741285100812,0.030463456900179153,5.310967445373535,1.868413977092132,0.00073,-0.16176755726337433
1560.4,325723,276,0.036300137639045715,3609,90,16.898291269999998,-0.5562732219696045,5.1202051639556885,-0.4347359158564359,-0.0,-0.4347359158564359,0.0213010273873806,315712,0.002291387827426661,0.02298407357011456,5.142605781555176,-1.5240602870471776,0.00073,-0.5562732219696045
1557.55,331838,280,0.0367511585354805,3679,90,23.286804439999997,-0.9020166993141174,5.009491361677647,-0.7626786878099665,-0.0,-0.7626786878099665,0.005839570891112089,321792,0.0028042965968779754,0.023467426261049695,5.685589790344238,1.6146228518337011,0.00073,-0.9020166993141174
1506.94,333177,284,0.03679930418729782,3694,90,21.18807787,-0.9923033118247986,5.136849947273731,-0.7560380008071661,-0.0,-0.7560380008071661,0.01807798072695732,323136,0.002566702176409308,0.025217702030204237,5.609139919281006,-1.2151890825480223,0.00073,-0.9923033118247986
1470.66,335949,288,0.03664442151784897,3726,90,20.917319510000002,-1.158408284187317,4.867603473365307,-0.8629291066899896,-0.0,-0.8629291066899896,0.007173214107751846,325952,0.002713195532123791,0.02247313389671035,4.749424934387207,1.3244018172845244,0.00073,-1.158408284187317
1459.61,341244,292,0.03685947507619858,3786,90,26.540430890000003,-1.2996138334274292,4.971975453197956,-1.4836465250700712,-0.0,-1.4836465250700712,0.02358517237007618,331200,0.0030400798859773204,0.025866225878417026,5.082820892333984,0.26213714107871056,0.00073,-1.2996138334274292
1428.29,344512,296,0.03715013712644577,3823,90,26.452873870000005,-1.5510084629058838,5.0667309537529945,-1.5515514789149165,-0.0,-1.5515514789149165,0.016651131212711334,334464,0.003437832772760885,0.02924117015209049,4.973590850830078,-0.5213665228802711,0.00073,-1.5510084629058838
1428.11,350894,300,0.03737863153219223,3896,90,37.385851939999995,-1.8402454853057861,5.136595666408539,-1.9942523259669542,-0.0,-1.9942523259669542,0.12213294208049774,340864,0.0035413537589192856,0.02943281552870758,5.212326526641846,-0.9188658648636192,0.00073,-1.8402454853057861
1416.16,356099,304,0.03774898126721382,3956,90,45.461048200000015,-2.574305534362793,5.275747790932655,-2.430946422740817,-0.0,-2.430946422740817,0.033964287489652634,346112,0.004233489584294148,0.04323420590662863,5.451601505279541,0.5780330603010952,0.00073,-2.574305534362793
1372.9,358173,308,0.03793896362185478,3979,89,44.48818124000001,-2.385852336883545,5.350601576268673,-2.564942117780447,-0.0,-2.564942117780447,0.09382972866296768,348160,0.0038046909030526876,0.049482692280435,5.061033725738525,-0.33268896816298366,0.00073,-2.385852336883545
1356.27,361490,312,0.03789513185620308,4017,89,49.162354369999996,-2.7322378158569336,5.282956704497337,-2.7439288664609194,-0.0,-2.7439288664609194,0.01755581423640251,351488,0.004274798739061225,0.048908047188888304,5.281947612762451,-0.46947769180405885,0.00073,-2.7322378158569336
1341.15,366378,316,0.03794294595718384,4072,89,58.46535093000001,-2.89221453666687,5.099767953157425,-3.027099024504423,-0.0,-3.027099024504423,0.01915859431028366,356352,0.003803216797678033,0.049850456838612445,4.866384506225586,0.18897196743637323,0.00073,-2.89221453666687
1308.15,369478,320,0.037950966507196426,4108,89,61.44465387,-2.8622546195983887,4.905990198254585,-3.199690543115139,-0.0,-3.199690543115139,0.05713087320327759,359488,0.004231658604112454,0.06162610463798046,5.298483848571777,-0.5744682112708688,0.00073,-2.8622546195983887
1281.72,373235,324,0.03813886269927025,4149,89,67.20788282000001,-3.7015936374664307,5.035210594534874,-3.37648868560791,-0.0,-3.37648868560791,0.04475235939025879,363200,0.004393257673655171,0.05093998012307566,5.241919040679932,-0.5927373021841049,0.00073,-3.7015936374664307
1264.48,377911,328,0.03827381879091263,4202,89,75.99692322,-3.3190693855285645,4.990757532417774,-3.5103598721325397,-0.0,-3.5103598721325397,0.022578882053494453,367872,0.004171516091446392,0.05278530747455079,5.032444953918457,0.6761294004973024,0.00073,-3.3190693855285645
1245.31,382394,332,0.03841402009129524,4253,89,84.01747289,-3.670437812805176,5.057743228971958,-3.891942836344242,-0.0,-3.891942836344242,0.023039307445287704,372352,0.004580272958264686,0.05461005980032496,5.388439178466797,0.44070263765752316,0.00073,-3.670437812805176
1230.08,385768,336,0.038480494171381,4291,89,88.47261620999998,-3.81868839263916,5.169956788420677,-4.036417871713638,-0.0,-4.036417871713638,0.06026596575975418,375744,0.004216037028527353,0.04815337412583176,4.820672988891602,-0.40968823013827205,0.00073,-3.81868839263916
1198.24,388984,340,0.03840184211730957,4328,89,92.63815681999999,-4.08174991607666,4.928417719900608,-4.177054259926081,-0.0,-4.177054259926081,0.03385049104690552,378944,0.004263855094905011,0.05012579812319018,4.7048773765563965,-0.3601262846495956,0.00073,-4.08174991607666
1181.38,393698,344,0.03843224421143532,4382,89,102.98745181,-4.859155654907227,4.926135964691639,-4.6495825834572315,-0.0,-4.6495825834572315,0.0367441326379776,383680,0.0044766376304323785,0.05930228397483006,4.764833450317383,0.8561583629343659,0.00073,-4.859155654907227
1167.0,398660,348,0.03850060701370239,4439,89,113.24271998000003,-4.89339542388916,4.818130411207676,-4.698572803288698,-0.0,-4.698572803288698,0.01911754347383976,388672,0.004534273095487151,0.061403707950375974,5.030760765075684,0.10155657003633678,0.00073,-4.89339542388916
1149.59,403319,352,0.03848915919661522,4491,89,123.36322092000002,-4.942458152770996,4.832029223442078,-4.823580741882324,-0.0,-4.823580741882324,0.019407767802476883,393280,0.0044792503758799285,0.0616568821715191,4.796070098876953,0.4186987285502255,0.00073,-4.942458152770996
1130.25,407785,356,0.038725778460502625,4542,89,132.40972674000002,-5.001858234405518,4.654583752155304,-5.09096747636795,-0.0,-5.09096747636795,0.41136664152145386,397760,0.0049866191984619945,0.08866513674729504,5.070381164550781,1.3271137215197086,0.00073,-5.001858234405518
1111.6,412176,360,0.03885960951447487,4592,89,144.07478675000004,-5.775444984436035,4.903569795191288,-5.38322851806879,-0.0,-5.38322851806879,0.020459923893213272,402176,0.004672340917750262,0.05445692494686227,5.0358381271362305,-1.0370227878447622,0.00073,-5.775444984436035
1090.61,416477,364,0.039057258516550064,4641,89,154.58464365,-5.5537285804748535,4.77736059576273,-5.589309841394424,-0.0,-5.589309841394424,0.06634872406721115,406464,0.005131933525262866,0.050925482937600464,4.864885330200195,-0.037276695016771555,0.00073,-5.5537285804748535
1068.75,420691,368,0.0390765480697155,4689,89,164.58002348,-5.098965167999268,4.772799514234066,-5.7104306519031525,-0.0,-5.7104306519031525,0.08042974770069122,410688,0.005013238434912637,0.08020860768738203,4.7086100578308105,0.02784036728553474,0.00073,-5.098965167999268
1048.31,425047,372,0.03909153491258621,4738,89,173.49553881,-5.98630428314209,4.739714354276657,-5.828522697091103,-0.0,-5.828522697091103,0.023771442472934723,415040,0.005062373187683988,0.05398352710471954,4.808932304382324,-1.9067691450472921,0.00073,-5.98630428314209
1035.49,429272,376,0.038896460086107254,4786,89,182.00425439,-5.691215991973877,4.536374524235725,-6.119164891541004,-0.0,-6.119164891541004,0.037319816648960114,419264,0.005039890937041491,0.06855764405918308,4.991093158721924,-0.229380494216457,0.00073,-5.691215991973877
1017.49,433587,380,0.038802389055490494,4835,89,188.18303382,-6.630846977233887,4.502162132412195,-6.3987250328063965,-0.0,-6.3987250328063965,0.03077324852347374,423552,0.004625440858944785,0.08104121129144914,4.843822956085205,-1.1815900248475373,0.00073,-6.630846977233887
1046.9,437867,384,0.0387808196246624,4884,89,202.98089696000002,-6.497920989990234,4.7741585075855255,-6.424934759736061,-0.0,-6.424934759736061,0.039261654019355774,427840,0.004491788386076223,0.09379976819036528,4.805963516235352,-0.55433742958121,0.00073,-6.497920989990234
1060.31,441980,388,0.03876984864473343,4931,89,215.83564250999999,-7.081552028656006,4.601573929190636,-6.473241358995438,-0.0,-6.473241358995438,0.025742599740624428,431936,0.0049128394821309485,0.0713793408795027,4.693838119506836,0.2459613790269941,0.00073,-7.081552028656006
1047.79,446023,392,0.03885657712817192,4978,89,222.48359167,-7.273571014404297,4.532054603099823,-6.804180353879929,-0.0,-6.804180353879929,0.019008740782737732,436032,0.0046846121331327595,0.06300768730579875,4.791285991668701,0.3126385158393532,0.00073,-7.273571014404297
