time/episodes,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/critic_loss,train/MSE_loss,train/MSE_losses,train/critic_los,train/RL_loss,train/loss,train/Beta,train/Main_losses,train/actor_loss,train/learning_rate,train/n_updates
4,60,3768,15.0,15.0,0,,,,,,,,,,,
8,120,585,15.0,15.0,0,0.051502661469082035,1.203129529953003,1.156758705774943,0.02098245732486248,-1.049484372138977,-1.049484372138977,0.0,-1.1111454566319783,-1.1111454566319783,0.001,29
12,144,395,12.0,12.0,0,0.007211290632507631,1.144313931465149,1.1837485134601593,0.00340037839487195,-1.0875197649002075,-1.0875197649002075,0.0,-1.1051293313503265,-1.1051293313503265,0.001,54
16,167,331,10.4375,10.4375,0,0.006702344678342342,1.2352558374404907,1.2422905365626018,0.006664060056209564,-1.204674243927002,-1.204674243927002,0.0,-1.1825106541315715,-1.1825106541315715,0.001,76
20,191,292,9.55,9.55,0,0.01622689872359236,1.4037151336669922,1.3160712718963623,0.024528058245778084,-1.285714030265808,-1.285714030265808,0.0,-1.273769696553548,-1.273769696553548,0.001,100
24,215,267,8.958333333333334,8.958333333333334,0,0.018831125150124233,1.4007909297943115,1.4403973817825317,0.02361263707280159,-1.3556938171386719,-1.3556938171386719,0.0,-1.3510548273722331,-1.3510548273722331,0.001,124
28,239,249,8.535714285714286,8.535714285714286,0,0.022781252550582092,1.4742318391799927,1.457407832145691,0.023637287318706512,-1.4187045097351074,-1.4187045097351074,0.0,-1.4187637170155842,-1.4187637170155842,0.001,148
32,263,237,8.21875,8.21875,1,0.026923962247868378,1.3864928483963013,1.4261916081110637,0.022330205887556076,-1.490277886390686,-1.490277886390686,0.0,-1.4733095169067383,-1.4733095169067383,0.001,172
36,287,228,7.972222222222222,7.972222222222222,1,0.03136358472208182,1.4328739643096924,1.4519235690434773,0.03198868781328201,-1.5857272148132324,-1.5857272148132324,0.0,-1.5293866793314617,-1.5293866793314617,0.001,196
40,311,221,7.775,7.775,1,0.020023717544972897,1.276363492012024,1.409049153327942,0.014182716608047485,-1.6085559129714966,-1.6085559129714966,0.0,-1.5965842008590698,-1.5965842008590698,0.001,220
44,335,215,7.613636363636363,7.613636363636363,1,0.023378959546486538,1.5274769067764282,1.473427454630534,0.0339023619890213,-1.5825746059417725,-1.5825746059417725,0.0,-1.6165724992752075,-1.6165724992752075,0.001,244
48,358,210,7.458333333333333,7.458333333333333,1,0.01999460191776355,1.5046465396881104,1.5737423102060955,0.01698332093656063,-1.7427343130111694,-1.7427343130111694,0.0,-1.663374662399292,-1.663374662399292,0.001,268
52,380,206,7.3076923076923075,7.3076923076923075,1,0.025183860057344038,1.5027875900268555,1.528418779373169,0.03442142903804779,-1.6689046621322632,-1.6689046621322632,0.0,-1.6923375129699707,-1.6923375129699707,0.001,290
56,402,204,7.178571428571429,7.178571428571429,1,0.030297742038965226,1.69633150100708,1.5916367173194885,0.028240278363227844,-1.6433569192886353,-1.6433569192886353,0.0,-1.6815623044967651,-1.6815623044967651,0.001,311
60,427,201,7.116666666666666,7.116666666666666,2,0.026612702757120132,1.4943407773971558,1.5456851323445637,0.031236397102475166,-1.7712844610214233,-1.7712844610214233,0.0,-1.759844223658244,-1.759844223658244,0.001,336
64,450,198,7.03125,7.03125,2,0.028034229297190905,1.6151881217956543,1.4847139517466228,0.029072348028421402,-1.695394515991211,-1.695394515991211,0.0,-1.8000755707422893,-1.8000755707422893,0.001,359
68,472,196,6.9411764705882355,6.9411764705882355,2,0.04388111705581347,1.4978808164596558,1.5366402467091878,0.033380914479494095,-1.8772472143173218,-1.8772472143173218,0.0,-1.8059555689493816,-1.8059555689493816,0.001,382
72,494,194,6.861111111111111,6.861111111111111,2,0.03169995856781801,1.5222866535186768,1.5535205602645874,0.044783614575862885,-1.832518458366394,-1.832518458366394,0.0,-1.8489096959431965,-1.8489096959431965,0.001,403
76,517,193,6.802631578947368,6.802631578947368,2,0.03738991543650627,1.6087396144866943,1.5430982907613118,0.027017515152692795,-1.8982776403427124,-1.8982776403427124,0.0,-1.8791637420654297,-1.8791637420654297,0.001,426
80,541,191,6.7625,6.7625,2,0.04117006901651621,1.666678547859192,1.5642773707707722,0.04906307905912399,-1.8554635047912598,-1.8554635047912598,0.0,-1.908057451248169,-1.908057451248169,0.001,450
