rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,train/loss,train/actor_loss,train/MSE_losses,train/MSE_loss,train/n_updates,train/critic_los,train/critic_loss,train/Main_losses,train/RL_loss,train/Beta,train/learning_rate
200.0,-348.9545236800001,104,253,132,26400,54.59372329711914,47.011469764709474,2.1364892303943632,2.0395219326019287,16200,13.688234329223633,4.029599385261536,47.011469764709474,54.59372329711914,0,0.001
200.0,-309.13249255,108,249,136,27200,60.33920669555664,45.861175079345706,2.1743409395217896,2.263483762741089,17000,4.396403789520264,4.015191925466061,45.861175079345706,60.33920669555664,0,0.001
200.0,-261.04484084,113,245,140,28000,32.424560546875,43.49629419326782,2.196453890800476,2.2866299152374268,17800,4.923949241638184,4.0769256603717805,43.49629419326782,32.424560546875,0,0.001
200.0,-218.91384096,118,242,144,28800,45.29451370239258,43.97579095840454,2.090987499952316,2.430598497390747,18600,6.280858993530273,3.5628110861778257,43.97579095840454,45.29451370239258,0,0.001
200.0,-171.10822045999998,123,239,148,29600,34.744590759277344,43.18738796234131,2.0605637216567994,2.078770637512207,19400,2.9917235374450684,3.720453989505768,43.18738796234131,34.744590759277344,0,0.001
200.0,-138.10260679,128,236,152,30400,46.714778900146484,42.14979780197144,2.1147502410411834,2.1034562587738037,20200,4.316378116607666,5.010037575364112,42.14979780197144,46.714778900146484,0,0.001
200.0,-132.36359661999998,133,233,156,31200,48.02931213378906,41.79647161483765,2.117190964221954,2.3017303943634033,21000,2.7097268104553223,3.608967673778534,41.79647161483765,48.02931213378906,0,0.001
200.0,-131.45498836000002,138,231,160,32000,45.781551361083984,40.845138263702395,2.0617033469676973,2.1136953830718994,21800,4.349002838134766,3.7071848154067992,40.845138263702395,45.781551361083984,0,0.001
200.0,-134.63422583,143,229,164,32800,47.77497863769531,40.69397918701172,2.0654024088382723,1.854519248008728,22600,4.321569442749023,3.3272763043642044,40.69397918701172,47.77497863769531,0,0.001
200.0,-135.46603451000001,148,226,168,33600,40.24799346923828,40.007428913116456,2.0791101455688477,1.9131202697753906,23400,4.032182693481445,3.530629062652588,40.007428913116456,40.24799346923828,0,0.001
200.0,-134.49409082,152,224,172,34400,28.75387191772461,38.877583293914796,2.007525373697281,1.9969521760940552,24200,2.8028173446655273,3.6856140798330306,38.877583293914796,28.75387191772461,0,0.001
200.0,-133.44852656999998,157,222,176,35200,35.354248046875,37.96978073120117,2.111016207933426,2.0711450576782227,25000,2.4273722171783447,3.290798870921135,37.96978073120117,35.354248046875,0,0.001
200.0,-132.18584377000002,162,221,180,36000,42.62314987182617,37.94430589675903,2.0824892997741697,2.1125357151031494,25800,4.057048797607422,4.231086483001709,37.94430589675903,42.62314987182617,0,0.001
200.0,-128.79670502000002,167,219,184,36800,38.52797317504883,37.413499202728275,2.1314855790138245,2.128547430038452,26600,3.5399913787841797,3.346065238416195,37.413499202728275,38.52797317504883,0,0.001
200.0,-128.99889573000002,172,217,188,37600,42.88581085205078,36.6787117767334,2.2474994790554046,2.1989758014678955,27400,3.3202009201049805,3.172522274851799,36.6787117767334,42.88581085205078,0,0.001
200.0,-130.37101685000002,177,216,192,38400,35.18720626831055,36.675016689300534,2.261873824596405,2.567472457885742,28200,3.053624153137207,3.5043057513237,36.675016689300534,35.18720626831055,0,0.001
200.0,-129.88480092,182,214,196,39200,28.32008171081543,35.837856159210205,2.1892855060100556,2.061541795730591,29000,2.0032899379730225,2.992112948000431,35.837856159210205,28.32008171081543,0,0.001
200.0,-127.30294772,187,213,200,40000,37.56949996948242,35.340849990844724,2.2143354320526125,2.167841911315918,29800,0.9668723940849304,3.2666860476136206,35.340849990844724,37.56949996948242,0,0.001
200.0,-128.5633104,192,212,204,40800,43.98291015625,33.664389762878415,2.062735108137131,2.2408523559570312,30600,2.399542808532715,3.0341602447628975,33.664389762878415,43.98291015625,0,0.001
200.0,-130.95707291,197,211,208,41600,31.886478424072266,34.4331669998169,2.183456300497055,2.0399394035339355,31400,1.082423210144043,3.206907759308815,34.4331669998169,31.886478424072266,0,0.001
200.0,-132.06139063999998,201,210,212,42400,30.802196502685547,34.6190337562561,2.172820409536362,2.098618745803833,32200,3.7720608711242676,3.0275442621111868,34.6190337562561,30.802196502685547,0,0.001
200.0,-132.95728223999998,206,209,216,43200,28.14636993408203,32.85235857009888,2.232106803655624,2.139247417449951,33000,1.4185166358947754,2.9264046981930734,32.85235857009888,28.14636993408203,0,0.001
