time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/episodes,train/n_updates,train/learning_rate,train/Beta,train/critic_loss,train/MSE_losses,train/Main_losses,train/critic_los,train/actor_loss,train/MSE_loss,train/RL_loss,train/loss
52,-1017.0157609347826,200.0,350,18400,92,8200,0.001,0.0,0.9689500370621681,2.5601094353199003,70.15664867401124,1.1275863647460938,70.15664867401124,2.679781675338745,65.07606506347656,65.07606506347656
57,-978.3898594270833,200.0,334,19200,96,9000,0.001,0.0,1.2620356026291848,2.227333469390869,71.19122924804688,0.7482430934906006,71.19122924804688,2.36456036567688,70.1011962890625,70.1011962890625
62,-946.4405182900002,200.0,321,20000,100,9800,0.001,0.0,1.4162868094444274,2.0812630689144136,71.46924884796142,1.3963708877563477,71.46924884796142,2.0903160572052,81.13089752197266,81.13089752197266
67,-895.2102444400001,200.0,309,20800,104,10600,0.001,0.0,1.6268423181772231,1.820991040468216,72.4616962814331,3.3768343925476074,72.4616962814331,1.4914475679397583,70.98782348632812,70.98782348632812
72,-845.3396072199998,200.0,299,21600,108,11400,0.001,0.0,1.9904399633407592,1.9286716866493225,71.52813289642334,3.2410640716552734,71.52813289642334,1.8081283569335938,69.31526184082031,69.31526184082031
77,-807.1925398799999,200.0,290,22400,112,12200,0.001,0.0,2.181842833161354,2.20631365776062,71.94571022033692,0.9910595417022705,71.94571022033692,2.173454761505127,75.6686782836914,75.6686782836914
81,-755.1701857,200.0,283,23200,116,13000,0.001,0.0,2.1268631437420846,2.492605646848679,72.86534934997559,1.180602788925171,72.86534934997559,2.9596574306488037,72.12490844726562,72.12490844726562
86,-717.2773424000001,200.0,276,24000,120,13800,0.001,0.0,2.798479165136814,2.0350633800029754,70.80182174682618,1.66098952293396,70.80182174682618,1.8948508501052856,72.60494232177734,72.60494232177734
91,-671.0916689000001,200.0,270,24800,124,14600,0.001,0.0,2.61944992184639,2.168064659833908,70.74028987884522,3.8542332649230957,70.74028987884522,2.651888370513916,72.41029357910156,72.41029357910156
96,-627.4314895000001,200.0,264,25600,128,15400,0.001,0.0,3.0350155591964723,2.242628443241119,69.40166572570801,2.941887855529785,69.40166572570801,2.452824115753174,74.48494720458984,74.48494720458984
