time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/std,time/total_timesteps,time/episodes,train/MSE_loss,train/Main_losses,train/ent_coef_loss,train/actor_loss,train/learning_rate,train/critic_loss,train/MSE_losses,train/Beta,train/n_updates,train/loss,train/critic_los,train/ent_coef,train/RL_loss
0,1931,77.25,-114.278884,0.04978706315159798,309,4,,,,,,,,,,,,,
2,2089,648.625,-102.12444175,0.04978706315159798,5189,8,,,,,,,,,,,,,
4,2099,714.25,-98.72875608333332,0.04978706315159798,8571,12,,,,,,,,,,,,,
12,846,671.3125,-102.07240168749999,0.050005070865154266,10741,16,8.753011703491211,-16.77237392961979,-3.3490221947431564,-16.77237392961979,0.00073,6.99486865545623,8.195933811366558,0.0,704,-17.723182678222656,1.7756789922714233,0.594173289835453,-17.723182678222656
19,589,564.35,-106.27350904999999,0.050038889050483704,11287,20,6.399328708648682,-24.074879050254822,-6.122814282774925,-24.074879050254822,0.00073,3.1304049759637564,8.038935609161854,0.0,1280,-24.222389221191406,0.18698784708976746,0.3892223876900971,-24.222389221191406
23,497,486.0,-106.63813325000001,0.05005981773138046,11664,24,9.095808029174805,-25.50137448310852,-7.802557222545147,-25.50137448310852,0.00073,4.026376661844552,8.319587856531143,0.0,1664,-25.401155471801758,1.1824824810028076,0.2947569307871163,-25.401155471801758
29,417,436.5357142857143,-107.84674764285717,0.05003747344017029,12223,28,10.415987014770508,-25.43872579932213,-9.93651532381773,-25.43872579932213,0.00073,4.45032535167411,8.022372148931026,0.0,2176,-24.270832061767578,31.774009704589844,0.20395301142707467,-24.270832061767578
37,347,403.96875,-108.90899365625,0.049967482686042786,12927,32,9.223846435546875,-22.66499626636505,-12.490527272224426,-22.66499626636505,0.00073,2.616214894456789,8.079112149775028,0.0,2880,-22.688312530517578,0.539986252784729,0.12398454605136067,-22.688312530517578
55,260,404.05555555555554,-111.64069394444444,0.049536965787410736,14546,36,7.386701583862305,-13.736205637454987,-17.009243428707123,-13.736205637454987,0.00073,1.777306184405461,8.39720506966114,0.0,4544,-13.253669738769531,0.4393400549888611,0.039581966993864626,-13.253669738769531
62,243,378.725,-112.050538125,0.04939759895205498,15149,40,8.256896018981934,-10.657742664217949,-17.261837750673294,-10.657742664217949,0.00073,1.9518495423253626,8.631728358566761,0.0,5120,-10.94305419921875,0.7636877298355103,0.0271775996661745,-10.94305419921875
103,181,427.15909090909093,-110.82582672727273,0.04833531752228737,18795,44,7.343085289001465,-1.9887982197105885,-11.173241414129734,-1.9887982197105885,0.00073,0.6343988139997236,7.760074220597744,0.0,8768,-1.8755221366882324,0.05587279424071312,0.003449730487773195,-1.8755221366882324
166,146,506.875,-111.901663375,0.04699438810348511,24330,48,8.960275650024414,0.5233586328686215,1.3398728652391583,0.5233586328686215,0.00073,0.4822943427716382,8.904784694314003,0.0,14336,0.21339377760887146,0.10093767940998077,0.0022187897338881157,0.21339377760887146
172,144,477.7307692307692,-110.9419899423077,0.04698275774717331,24842,52,8.07271957397461,0.7672974507440813,-2.2239687694236636,0.7672974507440813,0.00073,1.280456708278507,8.208801314234734,0.0,14848,0.45288780331611633,0.23161664605140686,0.002486500598024577,0.45288780331611633
210,134,504.5357142857143,-108.24957773214285,0.04638739302754402,28254,56,9.109394073486328,0.4906813770066947,-0.1667392288800329,0.4906813770066947,0.00073,0.6957779710064642,9.061487525701523,0.0,18240,0.31540894508361816,0.32813194394111633,0.0034690402062551584,0.31540894508361816
213,133,474.8666666666667,-108.25417148333332,0.046409741044044495,28492,60,7.828325271606445,0.5016626678407192,-0.5531584252603352,0.5016626678407192,0.00073,0.5567638096399605,9.067415900528431,0.0,18496,1.136197805404663,0.4417778551578522,0.0034890823662863113,1.136197805404663
215,133,448.59375,-108.289123890625,0.0464269183576107,28710,64,7.490564346313477,0.9196727140806615,-2.0856789713725448,0.9196727140806615,0.00073,0.798262040829286,7.6351975202560425,0.0,18688,0.6084582805633545,0.5212671756744385,0.003252711074310355,0.6084582805633545
218,132,425.47058823529414,-107.89773048529412,0.04639467969536781,28932,68,8.397391319274902,1.2960850743111223,-2.0990264783613384,1.2960850743111223,0.00073,0.8889984957640991,8.179769866168499,0.0,18944,0.2890678942203522,0.20743119716644287,0.0028578559395100456,0.2890678942203522
220,132,404.9861111111111,-107.67612131944445,0.04635004326701164,29159,72,8.126077651977539,1.823588274884969,-2.069574318593368,1.823588274884969,0.00073,1.086494204821065,7.93588674813509,0.0,19136,2.3552207946777344,9.272468566894531,0.0027635419282887597,2.3552207946777344
222,131,386.5131578947368,-107.33160107894737,0.04627924785017967,29375,76,7.513385772705078,2.37521293759346,-0.9148293156176805,2.37521293759346,0.00073,0.9365423873532563,8.145055390894413,0.0,19328,1.6272011995315552,0.326296865940094,0.0026437455926497933,1.6272011995315552
225,131,369.9125,-107.02099960000001,0.046241577714681625,29593,80,7.262089729309082,2.791716950945556,1.153666194761172,2.791716950945556,0.00073,0.9363464580383152,8.028935380280018,0.0,19584,1.783652663230896,1.0415058135986328,0.0027366704198357183,1.783652663230896
229,130,356.54761904761904,-106.99759833333333,0.04612435773015022,29950,84,8.028740882873535,3.3296415135264397,-0.9440482426434755,3.3296415135264397,0.00073,0.7858412961941212,7.987240724265575,0.0,19904,4.889528751373291,0.7734520435333252,0.002697499134228565,4.889528751373291
