time/time_elapsed,time/fps,time/episodes,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/RL_loss,train/actor_loss,train/loss,train/learning_rate,train/MSE_loss,train/Main_losses,train/MSE_losses,train/critic_loss,train/n_updates,train/Beta,train/critic_los
0,1890,4,310,-100.4285555,77.5,,,,,,,,,,,
1,2048,8,3644,-98.26156449999999,455.5,,,,,,,,,,,
2,2055,12,5575,-100.30593825,464.5833333333333,,,,,,,,,,,
4,2054,16,8905,-99.0363748125,556.5625,,,,,,,,,,,
5,1939,20,10824,-98.02969350000001,541.2,,,,,,,,,,,
15,719,24,11007,-101.32055933333334,458.625,0.06554611027240753,0.17488254930570044,0.06554611027240753,0.001,6.662148475646973,0.17488254930570044,7.192351926456798,12.19946464151144,1739,0.0,0.47630858421325684
26,490,28,12934,-103.64049657142857,461.92857142857144,-0.29617178440093994,0.03369520114050829,-0.29617178440093994,0.001,9.1194429397583,0.03369520114050829,8.939246327280998,5.1796590627916155,3458,0.0,5.1259002685546875
48,340,32,16642,-105.87271371874999,520.0625,-1.2901910543441772,-1.1369448386389633,-1.2901910543441772,0.001,8.9627685546875,-1.1369448386389633,9.1663870975889,4.397297793904603,6969,0.0,0.1409204602241516
62,294,36,18454,-106.59690652777778,512.6111111111111,-0.8389384150505066,-1.0086651033646352,-0.8389384150505066,0.001,8.293596267700195,-1.0086651033646352,8.577383672868883,3.057726566718049,9176,0.0,0.40341952443122864
83,262,40,21979,-108.63028464999998,549.475,-0.7384079098701477,-0.9145217508275527,-0.7384079098701477,0.001,9.574560165405273,-0.9145217508275527,9.735429943799973,3.0680573602672667,12488,0.0,2.0895652770996094
90,267,44,24116,-111.56967109090907,548.0909090909091,-1.2776987552642822,-0.6162140542641282,-1.2776987552642822,0.001,10.094034194946289,-0.6162140542641282,9.977686510086059,3.6089828345179558,13292,0.0,0.42239660024642944
119,230,48,27603,-111.79632664583333,575.0625,-0.5426426529884338,-0.333931932002306,-0.5426426529884338,0.001,8.529729843139648,-0.333931932002306,8.819895935058593,6.58810689870049,18143,0.0,0.3811790943145752
122,227,52,27901,-111.38468544230767,536.5576923076923,-0.6960697174072266,-0.34938322590438253,-0.6960697174072266,0.001,8.366199493408203,-0.34938322590438253,8.664163127089992,1.413318455445044,18615,0.0,0.2958821654319763
126,228,56,28821,-111.86440955357143,514.6607142857143,-0.19433443248271942,-0.17658732443518893,-0.19433443248271942,0.001,8.500818252563477,-0.17658732443518893,8.770284556778225,5.667822076764941,19140,0.0,1.042292833328247
134,221,60,29816,-111.62725813333333,496.93333333333334,-0.8153461217880249,-0.22533913045251547,-0.8153461217880249,0.001,8.195438385009766,-0.22533913045251547,8.848205208778381,3.9612856899795967,20509,0.0,1.3006579875946045
136,220,64,30113,-110.990066046875,470.515625,-0.7915179133415222,-0.08163450624455106,-0.7915179133415222,0.001,8.693671226501465,-0.08163450624455106,8.89157603003762,3.7197700278325514,20793,0.0,4.280052185058594
138,219,68,30351,-110.40986104411765,446.3382352941176,0.9936126470565796,0.08488554713027231,0.9936126470565796,0.001,9.073843955993652,0.08488554713027231,8.859742657891635,3.8931758848198674,21070,0.0,71.05680084228516
140,218,72,30741,-110.08828723611111,426.9583333333333,-0.6059530973434448,0.21929673027051122,-0.6059530973434448,0.001,8.802119255065918,0.21929673027051122,8.997404437316092,1.952867444753647,21400,0.0,0.5396513938903809
149,214,76,32133,-110.8307372631579,422.80263157894734,-0.3824434280395508,-0.03768725870984679,-0.3824434280395508,0.001,9.888972282409668,-0.03768725870984679,8.862999900126121,2.107299076826115,22831,0.0,0.7193261981010437
151,213,80,32427,-110.4335167125,405.3375,0.6325555443763733,0.2532355008093086,0.6325555443763733,0.001,8.69199275970459,0.2532355008093086,8.842164619548901,2.5085111513529736,23122,0.0,1.3217730522155762
153,213,84,32689,-110.02032884523813,389.1547619047619,0.3290744423866272,0.3217295650392771,0.3290744423866272,0.001,9.437887191772461,0.3217295650392771,8.448311179876328,2.598168789394318,23386,0.0,0.8731533288955688
155,212,88,33058,-109.75927252272727,375.65909090909093,0.001065063406713307,0.19867318827585367,0.001065063406713307,0.001,8.226932525634766,0.19867318827585367,8.61711963854338,2.0291324011318346,23779,0.0,0.9783902168273926
157,211,92,33390,-109.52855630434784,362.9347826086956,0.390889048576355,0.5817797250397827,0.390889048576355,0.001,8.79782772064209,0.5817797250397827,8.527630059615426,5.253300885791364,24045,0.0,4.002651691436768
159,210,96,33705,-109.13380788541667,351.09375,2.45668363571167,0.8638039163406939,2.45668363571167,0.001,8.787036895751953,0.8638039163406939,8.59011266708374,1.7904530906677245,24423,0.0,3.689619541168213
162,209,100,34156,-108.88568597000001,341.56,-0.11494281142950058,0.5643409021059176,-0.11494281142950058,0.001,9.1830415725708,0.5643409021059176,8.466998510463263,1.498354814503644,24852,0.0,4.018712520599365
166,208,104,34668,-109.09098632999999,343.58,-0.9028880000114441,1.3072197987210183,-0.9028880000114441,0.001,7.46070671081543,1.3072197987210183,8.091126998265585,1.5872475962553705,25382,0.0,0.5019680857658386
168,208,108,34981,-109.33173129,313.37,-0.3777419328689575,1.2164171573615843,-0.3777419328689575,0.001,7.811454772949219,1.2164171573615843,7.881231338747086,2.2358195190391843,25679,0.0,0.7561470866203308
169,207,112,35257,-109.17681277,296.82,0.6123355031013489,1.1596426889300346,0.6123355031013489,0.001,8.85165023803711,1.1596426889300346,8.103785172486917,2.4420276208768916,25971,0.0,0.9724173545837402
