time/total_timesteps,train/loss,time/time_elapsed,train/RL_loss,train/n_updates,train/actor_loss,train/critic_loss,time/episodes,train/MSE_loss,train/learning_rate,time/fps,rollout/ep_rew_mean,train/ent_coef_loss,train/Beta,train/Main_losses,train/critic_los,train/ent_coef,rollout/ep_len_mean,train/MSE_losses
26400,30.602977752685547,297,30.602977752685547,26299,30.602977752685547,0.6462197303771973,132,4.591897487640381,0.001,88,-139.71288884,-0.1613730490207672,-0.0,30.602977752685547,0.6462197303771973,0.034288275986909866,200.0,4.591897487640381
27200,24.780359268188477,306,24.780359268188477,27099,24.780359268188477,0.9445985555648804,136,4.321331977844238,0.001,88,-137.45083151,-0.9672842025756836,-0.0,24.780359268188477,0.9445985555648804,0.024701859802007675,200.0,4.321331977844238
28000,34.18402099609375,315,34.18402099609375,27899,34.18402099609375,1.6134428977966309,140,2.7998533248901367,0.001,88,-134.96694227,1.3153663873672485,-0.0,34.18402099609375,1.6134428977966309,0.023766446858644485,200.0,2.7998533248901367
28800,28.679025650024414,324,28.679025650024414,28699,28.679025650024414,1.095557689666748,144,2.714099407196045,0.001,88,-138.55294547,0.5506460070610046,-0.0,28.679025650024414,1.095557689666748,0.027949029579758644,200.0,2.714099407196045
29600,33.18034362792969,333,33.18034362792969,29499,33.18034362792969,0.9284398555755615,148,2.6593096256256104,0.001,88,-139.75682916,0.3650685250759125,-0.0,33.18034362792969,0.9284398555755615,0.02155657298862934,200.0,2.6593096256256104
30400,31.590261459350586,342,31.590261459350586,30299,31.590261459350586,1.4458166360855103,152,2.7449798583984375,0.001,88,-136.15456776,0.7396126985549927,-0.0,31.590261459350586,1.4458166360855103,0.018932975828647614,200.0,2.7449798583984375
31200,24.90010643005371,351,24.90010643005371,31099,24.90010643005371,0.90135657787323,156,2.9692440032958984,0.001,88,-134.27732005,-0.1292763650417328,-0.0,24.90010643005371,0.90135657787323,0.01979246735572815,200.0,2.9692440032958984
32000,22.830944061279297,360,22.830944061279297,31899,22.830944061279297,0.9296112060546875,160,3.0989747047424316,0.001,88,-136.45901598,-0.7648311853408813,-0.0,22.830944061279297,0.9296112060546875,0.016736239194869995,200.0,3.0989747047424316
32800,34.120750427246094,369,34.120750427246094,32699,34.120750427246094,1.3211195468902588,164,2.9280757904052734,0.001,88,-135.44825593000002,1.640401840209961,-0.0,34.120750427246094,1.3211195468902588,0.018244685605168343,200.0,2.9280757904052734
33600,24.960546493530273,378,24.960546493530273,33499,24.960546493530273,0.5869466662406921,168,3.0550546646118164,0.001,88,-136.49109296999998,-0.4507771134376526,-0.0,24.960546493530273,0.5869466662406921,0.018914252519607544,200.0,3.0550546646118164
34400,27.61492347717285,387,27.61492347717285,34299,27.61492347717285,1.0258893966674805,172,3.09912371635437,0.001,88,-140.04820495,0.9520845413208008,-0.0,27.61492347717285,1.0258893966674805,0.016733061522245407,200.0,3.09912371635437
35200,24.537662506103516,396,24.537662506103516,35099,24.537662506103516,1.0253806114196777,176,3.0127055644989014,0.001,88,-138.98879895,0.037630561739206314,-0.0,24.537662506103516,1.0253806114196777,0.015355406329035759,200.0,3.0127055644989014
36000,24.384788513183594,406,24.384788513183594,35899,24.384788513183594,0.4722060561180115,180,2.732293128967285,0.001,88,-141.40622799,-0.03671805560588837,-0.0,24.384788513183594,0.4722060561180115,0.01573292724788189,200.0,2.732293128967285
