rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/episodes,time/fps,time/total_timesteps,train/Main_losses,train/learning_rate,train/critic_loss,train/actor_loss,train/RL_loss,train/MSE_losses,train/critic_los,train/Beta,train/MSE_loss,train/n_updates,train/loss
-149.67246695,164,200.0,180,218,36000,39.231936321258544,0.001,2.6135044530034066,39.231936321258544,38.13881301879883,3.054033718109131,2.21907639503479,0,3.2536680698394775,25800,38.13881301879883
-150.68203547,169,200.0,184,216,36800,37.354289531707764,0.001,2.669576532691717,37.354289531707764,36.87545394897461,3.0662377309799194,4.465816497802734,0,2.8990392684936523,26600,36.87545394897461
-153.21459296,174,200.0,188,215,37600,38.814514293670655,0.001,2.6345897635817526,38.814514293670655,37.37102127075195,2.9676928400993345,3.4265918731689453,0,2.4187417030334473,27400,37.37102127075195
-155.49963719999997,179,200.0,192,213,38400,37.933784847259524,0.001,2.3747387570142746,37.933784847259524,29.60338592529297,2.8817944955825805,0.5818722248077393,0,2.8507814407348633,28200,29.60338592529297
-153.49753494,184,200.0,196,212,39200,37.788953151702884,0.001,2.533341589719057,37.788953151702884,41.70237731933594,2.9150629258155822,1.8825640678405762,0,3.3639843463897705,29000,41.70237731933594
-156.11733389999998,189,200.0,200,210,40000,37.40966567993164,0.001,2.728644654452801,37.40966567993164,35.826473236083984,2.945924322605133,8.192123413085938,0,2.831713914871216,29800,35.826473236083984
-158.76453478,194,200.0,204,209,40800,36.21950815200805,0.001,2.2514242129027844,36.21950815200805,27.129974365234375,2.910015835762024,0.9789869785308838,0,3.2874667644500732,30600,27.129974365234375
-158.97817073,199,200.0,208,208,41600,35.46346899032593,0.001,2.71372442483902,35.46346899032593,40.58491134643555,2.811344268321991,1.4289759397506714,0,2.8933987617492676,31400,40.58491134643555
-158.75305263,204,200.0,212,207,42400,35.57550500869751,0.001,2.371094135940075,35.57550500869751,39.99553680419922,2.790401451587677,1.470262050628662,0,2.6580607891082764,32200,39.99553680419922
-161.43360560000002,209,200.0,216,206,43200,34.85586057662964,0.001,2.2419647854566573,34.85586057662964,27.844099044799805,2.9194694805145263,1.2610690593719482,0,3.891195297241211,33000,27.844099044799805
-162.97530095,214,200.0,220,205,44000,35.29062174797058,0.001,3.1447147116065026,35.29062174797058,42.16332244873047,2.8207482862472535,4.89530086517334,0,3.156547784805298,33800,42.16332244873047
-162.05785006000002,219,200.0,224,204,44800,34.28079885482788,0.001,2.747154715359211,34.28079885482788,41.532230377197266,3.032673418521881,4.288091659545898,0,2.7590363025665283,34600,41.532230377197266
-163.22436186,224,200.0,228,203,45600,33.79694408416748,0.001,2.529745381772518,33.79694408416748,26.782339096069336,2.84098886013031,3.088374376296997,0,2.363572835922241,35400,26.782339096069336
-163.3454279,229,200.0,232,202,46400,33.00367441177368,0.001,2.3880909831821917,33.00367441177368,36.83484649658203,2.831534675359726,1.5236762762069702,0,2.890089750289917,36200,36.83484649658203
-161.16867075,234,200.0,236,201,47200,34.25022415161133,0.001,2.88337553858757,34.25022415161133,36.84200668334961,2.777022634744644,1.4828399419784546,0,2.7568633556365967,37000,36.84200668334961
-159.60571907000002,239,200.0,240,200,48000,33.235945568084716,0.001,2.17580571398139,33.235945568084716,38.159263610839844,1.9630912733078003,3.5424656867980957,0,1.6731709241867065,37800,38.159263610839844
-161.97738359000002,243,200.0,244,200,48800,32.225436763763426,0.001,2.642289653271437,32.225436763763426,28.50611686706543,1.8798475050926209,3.817533016204834,0,1.7167997360229492,38600,28.50611686706543
-158.79410747000003,248,200.0,248,199,49600,32.636236381530765,0.001,2.23388559281826,32.636236381530765,28.62379264831543,1.9061638939380645,4.858144760131836,0,2.166670083999634,39400,28.62379264831543
