time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/std,time/fps,rollout/ep_len_mean,time/time_elapsed,train/critic_loss,train/MSE_losses,train/learning_rate,train/ent_coef_loss,train/MSE_loss,train/critic_los,train/actor_loss,train/RL_loss,train/n_updates,train/Main_losses,train/loss,train/Beta,train/ent_coef
306221,199.86123563,368,0.038850169628858566,91,1303.28,3332,0.24169069121126086,4.18557508662343,0.00073,0.29333168268203735,4.230316162109375,0.45095694065093994,-3.754200356081128,-3.2115397453308105,296192,-3.754200356081128,-3.2115397453308105,-0.0,0.005148295786057133
308742,202.58287914000002,372,0.03896862640976906,91,1284.02,3361,0.4141891414183192,4.18896022066474,0.00073,0.6778075248003006,4.166504859924316,0.1823004186153412,-3.9076121896505356,-3.7025694847106934,298752,-3.9076121896505356,-3.7025694847106934,-0.0,0.004668849338486325
313088,207.05812107000003,376,0.039051834493875504,91,1263.48,3408,0.13090544886654243,4.004429657012224,0.00073,-0.05742665543220937,3.64656138420105,0.19504141807556152,-4.09745217859745,-3.8091564178466797,303040,-4.09745217859745,-3.8091564178466797,-0.0,0.0048245926955132745
317768,212.32174487,380,0.038949012756347656,91,1246.28,3461,0.13209559285314754,3.878387399017811,0.00073,0.5502213491126895,3.6921677589416504,0.13030758500099182,-4.551961537450552,-3.4838037490844727,307776,-4.551961537450552,-3.4838037490844727,-0.0,0.004436852454091422
322514,217.71492720000003,384,0.03930184990167618,91,1229.74,3513,0.12912107503507286,3.816732347011566,0.00073,-0.47076372196897864,3.647373676300049,0.22543330490589142,-5.009371407330036,-5.39520263671875,312512,-5.009371407330036,-5.39520263671875,-0.0,0.004761325413710438
326883,222.72376743000004,388,0.03931880369782448,91,1209.43,3561,0.13476930485921912,3.722556881606579,0.00073,-0.9296611180761829,3.7239737510681152,0.1733568161725998,-5.423424459993839,-4.346973419189453,316864,-5.423424459993839,-4.346973419189453,-0.0,0.005047501239459962
330747,224.93918159999998,392,0.039432622492313385,91,1184.07,3604,0.13710668266867287,3.6116000190377235,0.00073,-0.10286214016377926,3.607562780380249,0.03909827023744583,-5.504437297582626,-5.855661392211914,320704,-5.504437297582626,-5.855661392211914,-0.0,0.004990582739992533
335095,229.05272487000005,396,0.039374351501464844,91,1163.55,3653,0.10755163192516193,3.5020267963409424,0.00073,1.1676530810073018,3.7471704483032227,0.03253645449876785,-6.025797143578529,-5.701757431030273,325056,-6.025797143578529,-5.701757431030273,-0.0,0.005125083072925918
336606,223.54827612,400,0.039422519505023956,91,1128.23,3670,0.12891369161661714,3.53519182279706,0.00073,0.3417831575497985,3.636185884475708,0.05616937205195427,-5.994850881397724,-5.746970176696777,326592,-5.994850881397724,-5.746970176696777,-0.0,0.005298869851685595
340866,226.35246826000002,404,0.039353009313344955,91,1106.83,3717,0.15141390089411288,3.399701800197363,0.00073,-0.2794418765697628,3.9921555519104004,0.0505218431353569,-5.930325515568256,-5.626601219177246,330880,-5.930325515568256,-5.626601219177246,-0.0,0.005056155772763304
344826,228.68216824000004,408,0.039247386157512665,91,1082.43,3760,0.13671404964406975,3.346390675753355,0.00073,-0.017815766856074333,3.184864044189453,0.15784046053886414,-6.194925427436829,-6.222256183624268,334784,-6.194925427436829,-6.222256183624268,-0.0,0.005032517074141651
348099,227.37042693000004,412,0.03911839425563812,91,1053.19,3796,0.12894563502050005,3.291922450065613,0.00073,0.5800802045268938,3.4161577224731445,0.029853273183107376,-6.684070885181427,-7.153802871704102,338112,-6.684070885181427,-7.153802871704102,-0.0,0.005235216754954308
