time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/fps,rollout/ep_len_mean,train/loss,train/RL_loss,train/Beta,train/learning_rate,train/n_updates,train/Main_losses,train/critic_loss,train/actor_loss,train/critic_los,train/MSE_loss,train/MSE_losses
1,3334,-94.5295035,4,2032,833.5,,,,,,,,,,,
3,6688,-96.872968125,8,2025,836.0,,,,,,,,,,,
4,10032,-97.13075033333332,12,2022,836.0,,,,,,,,,,,
25,11809,-97.19523406249999,16,462,738.0625,9.422113418579102,0.8065698146820068,0.972,0.001,3334,7.9047788241330315,1.6269783250823178,0.9456328381510342,0.06550246477127075,8.863727569580078,7.159615215133218
30,13035,-94.74581935,20,427,651.75,7.234400749206543,1.1250274181365967,0.964,0.001,4016,8.073914312778559,2.504081734396377,1.317485651575533,0.2652626931667328,6.3375244140625,7.008743461809661
50,16976,-78.93325533333334,24,335,707.3333333333334,23.678449630737305,1.4498237371444702,0.956,0.001,6944,8.237364187008804,2.268074400794123,1.8288893542355962,0.16503550112247467,23.25170135498047,6.7034257716602745
72,18943,-76.7386695357143,28,262,676.5357142857143,12.331953048706055,1.929692029953003,0.948,0.001,10428,7.834527889887492,0.9764552907926021,2.1937048481959924,0.1817331463098526,10.972848892211914,5.950235210213006
80,20301,-74.953961875,32,250,634.40625,6.93396520614624,3.390679359436035,0.94,0.001,11760,7.732682957368739,0.7430460076852172,2.378036272292044,0.36621206998825073,3.7694530487060547,5.696432679307227
101,23474,-69.57156024999999,36,231,652.0555555555555,10.012334823608398,4.358667373657227,0.932,0.001,14870,8.313449696833347,0.591845864455532,2.837827184245366,0.26140886545181274,6.066166877746582,5.875131558219926
118,26974,-59.37971527499999,40,226,674.35,5.659175872802734,3.2931106090545654,0.924,0.001,17389,8.512835904859728,0.5191874748155956,3.1059657383349633,0.27363502979278564,2.5606768131256104,5.851590914110983
148,31323,-41.07729484090908,44,210,711.8863636363636,6.973978042602539,2.351092576980591,0.916,0.001,21901,7.280438722610474,0.5441219698190689,2.300061671920121,0.3832252025604248,5.046817779541016,5.43709280014038
180,36704,-18.578740354166666,48,203,764.6666666666666,7.488497734069824,2.463432788848877,0.908,0.001,26690,6.263292506654212,1.056046146309404,1.3770288159359625,0.7234691977500916,5.534212589263916,5.381347695140974
215,41776,-0.10182884615384598,52,194,803.3846153846154,3.512000560760498,-1.0688620805740356,0.9,0.001,31892,4.950874556476045,0.6557571540193535,0.2066435146144406,1.1283209323883057,5.089847564697266,5.271367966255716
248,46576,22.1167505,56,187,831.7142857142857,-1.492449164390564,-2.951070547103882,0.892,0.001,37001,2.885611303523183,0.5068283182983981,-1.5153597439633812,0.4630438983440399,1.635225772857666,4.933823934290558
279,51512,41.17536211666667,60,184,858.5333333333333,3.137218952178955,-1.0040373802185059,0.884,0.001,41650,1.6074649960555756,0.5047907055748982,-2.7623074502761504,0.6560952663421631,4.68467903137207,4.943181481172031
313,56383,58.083639140624996,64,180,880.984375,-1.0337891578674316,-2.783055067062378,0.876,0.001,46782,0.211285524986115,0.3850656432467838,-3.9349072788442885,0.25452592968940735,1.996878981590271,4.733096874532509
343,61148,72.84648201470588,68,178,899.2352941176471,-3.1190578937530518,-5.606016159057617,0.868,0.001,51377,-0.6350447236399948,0.4615551498969923,-4.800635263378367,0.5169776678085327,2.865159511566162,4.799067607401928
376,65064,80.39802830555556,72,173,903.6666666666666,-0.9442133903503418,-5.458815574645996,0.86,0.001,56467,-1.6352689427146732,0.6812364077275874,-5.830347586276954,0.14940062165260315,5.249537467956543,4.8779983546707655
399,68740,88.24247000000001,76,172,904.4736842105264,-4.88548469543457,-6.788416385650635,0.852,0.001,59956,-2.4809216697231617,0.8361693929844335,-6.453398283010994,1.752150058746338,2.233488082885742,4.6625312582340115
423,72995,99.530190975,80,172,912.4375,-4.619623184204102,-6.932211875915527,0.844,0.001,63571,-3.1601519992671063,0.6639562068827427,-6.9695362975916915,0.44624972343444824,2.7400341033935547,4.513488607799884
438,74610,95.7416476190476,84,170,888.2142857142857,-1.4348607063293457,-6.620141506195068,0.836,0.001,65915,-3.3914394886767276,0.9915744232816425,-7.437607155471552,0.3033812642097473,6.202488899230957,4.839913345751215
448,75995,91.59811927272727,88,169,863.5795454545455,-2.0123133659362793,-8.490107536315918,0.828,0.001,67479,-3.4078257390812263,0.8422978988765225,-7.302428779317371,0.7800534963607788,7.823422908782959,4.703626784148501
452,76592,84.25780072826088,92,169,832.5217391304348,-3.0991194248199463,-5.863748550415039,0.82,0.001,68080,-3.5511737315975433,1.3136999070295814,-7.4111047725231325,2.8093719482421875,3.3714990615844727,4.70723301067687
455,77065,76.92794563541668,96,169,802.7604166666666,-4.610405921936035,-7.662665843963623,0.812,0.001,68524,-3.639732714494069,0.6122703773259115,-7.300734376907348,0.8037052154541016,3.758941173553467,4.508622861901919
458,77500,70.40927009,100,168,775.0,-5.632364749908447,-9.264557838439941,0.804,0.001,68964,-3.5122406129483825,0.6638829585992627,-7.291991940251103,0.3652395009994507,4.517652988433838,4.701183129239966
462,78034,70.67061868,104,168,747.0,-5.344529151916504,-6.750689506530762,0.796,0.001,69450,-3.4036762606013906,0.7781404154092977,-7.18323346340295,0.44558945298194885,1.766533374786377,4.748187420946179
469,79143,73.02464925,108,168,724.55,-3.539031982421875,-7.613777160644531,0.788,0.001,70612,-3.3259552352958255,1.44846008438617,-7.324165291256374,0.2387734353542328,5.17099666595459,5.073870733380318
473,79682,73.43872956,112,168,696.5,-0.310760498046875,-6.124808311462402,0.78,0.001,71110,-3.1093673706054688,0.9782291570678353,-7.097382545471191,1.1320635080337524,7.453907489776611,5.112840137879053
476,80208,73.97785830000001,116,168,683.99,0.9844202995300293,-5.023007869720459,0.772,0.001,71643,-2.534088142712911,1.01786421649158,-6.874601833025614,2.9961800575256348,7.781642436981201,5.622426942984263
480,80760,73.76032375,120,168,677.25,-3.749709129333496,-4.81834077835083,0.764,0.001,72168,-3.7291942967308893,1.272274191180865,-7.036699332888165,2.370710849761963,1.3987325429916382,4.329195064211649
483,81189,70.18823905,124,167,642.13,-3.46882963180542,-6.178683757781982,0.756,0.001,72658,-3.3298569413331838,1.0886428074061292,-7.099253645310035,0.33708760142326355,3.584463357925415,4.9859745892194605
486,81692,69.04481282,128,167,627.49,-1.6384553909301758,-7.950577259063721,0.748,0.001,73106,-2.9564630424275116,1.7805236273325316,-6.78968472106784,0.2819027602672577,8.438665390014648,5.124627781849282
490,82234,68.01424048000001,132,167,619.33,-4.2097368240356445,-6.219812870025635,0.74,0.001,73690,-3.1740100670743874,1.4122782553787585,-6.662871532970005,2.3759942054748535,2.7163188457489014,4.714677611986796
493,82663,65.45997245000001,136,167,591.89,-2.607708692550659,-6.592482566833496,0.732,0.001,74127,-2.919780179073936,1.2741598983173785,-6.711406665935851,0.7049311399459839,5.443680286407471,5.179817666087234
496,83095,60.474070160000004,140,167,561.21,-6.23448371887207,-8.262595176696777,0.724,0.001,74549,-2.606939669240985,1.1771287706883058,-6.257137679217155,6.209087371826172,2.8012585639953613,5.041710083944755
499,83541,51.20996272,144,167,522.18,2.350130081176758,-4.663613319396973,0.716,0.001,75000,-3.5033108128441706,1.1125241825702015,-6.836600418444033,1.3603997230529785,9.795730590820312,4.6554322794631675
501,83882,38.055189350000006,148,167,471.78,-1.7338464260101318,-3.8192152976989746,0.708,0.001,75307,-3.2097914507894805,1.9704721280887945,-6.677877057682384,0.26541686058044434,2.9454362392425537,4.898425954760927
503,84175,25.18477641000001,152,167,423.99,-3.1774508953094482,-5.89619255065918,0.7,0.001,75667,-3.0344278111177334,1.6421909156967611,-6.722009883207433,2.1973209381103516,3.8839168548583984,5.267974469591589
505,84445,8.732530450000004,156,167,378.69,-2.6629228591918945,-7.080151081085205,0.692,0.001,75949,-3.323861393663618,1.1859971060328287,-6.813829627301958,0.7106844186782837,6.383277893066406,5.043306907018025
507,84750,-7.583231059999998,160,166,332.38,-5.494907855987549,-6.748712539672852,0.684,0.001,76238,-3.5567176043987274,1.3816211871802806,-6.466161286830902,0.6600754857063293,1.833047866821289,4.253572523593903
510,85110,-24.05934536,164,166,287.27,-4.855844497680664,-8.500344276428223,0.676,0.001,76615,-3.7840643548346184,1.4840102886611766,-6.890689167109403,0.5343538522720337,5.391272068023682,4.595598857124131
512,85517,-40.59067751,168,166,243.69,-7.133270740509033,-8.08951187133789,0.668,0.001,77015,-3.358426752716604,1.7728005505386908,-6.736400686129175,1.841111660003662,1.431498646736145,5.056847331499813
515,85964,-53.2866169,172,166,209.0,-4.018933296203613,-4.772134780883789,0.66,0.001,77406,-3.9975745322856495,1.7858378605176044,-7.2454216277345695,0.8704426288604736,1.1412140130996704,4.920980235363575
518,86426,-66.74725034,176,166,176.86,-7.044146537780762,-7.93737268447876,0.652,0.001,77913,-3.7511821073644303,1.3756601571166602,-7.07674064355738,0.9212905168533325,1.369978666305542,5.100549815332188
521,86797,-83.81418468,180,166,138.02,-3.5393192768096924,-5.037868022918701,0.644,0.001,78263,-3.7716725178253956,1.2883876222598403,-7.268892337114383,0.5604431629180908,2.326939105987549,5.430465664619055
523,87164,-89.11545421000001,184,166,125.54,-3.1813712120056152,-8.423727989196777,0.636,0.001,78638,-4.795288764912149,1.3352397592819256,-7.795444576636605,0.7561923265457153,8.24269962310791,4.717226225396861
526,87580,-93.76494895,188,166,115.85,-6.993979454040527,-8.553884506225586,0.628,0.001,79037,-4.68943724415519,1.416486677822766,-7.4812240080399945,0.781283974647522,2.4839248657226562,4.445520164749839
529,87965,-95.15858177,192,166,113.73,-3.7896556854248047,-6.0325798988342285,0.62,0.001,79444,-4.042904504414262,1.8158856189769248,-7.363978856596454,1.574808120727539,3.617619752883911,5.356571489366992
531,88375,-95.88573449000003,196,166,113.1,-2.0534303188323975,-5.631303787231445,0.612,0.001,79847,-3.9994776248931885,1.5097252038200344,-7.184531216110502,1.2900896072387695,5.846198558807373,5.204336053558758
534,88764,-96.70727625,200,166,112.64,-0.9016129970550537,-3.9562911987304688,0.604,0.001,80256,-4.54175577903616,1.3653195176658959,-7.488541566092392,0.8681222796440125,5.057414531707764,4.878784670911986
537,89321,-96.94453752000001,204,166,112.87,-3.9261038303375244,-6.881751537322998,0.596,0.001,80768,-5.086431008427083,1.4565252924518746,-7.980083744065101,0.9341839551925659,4.959140300750732,4.855121914078207
542,90249,-97.93524465,208,166,111.06,-2.788228750228882,-6.37791633605957,0.588,0.001,81416,-5.018977597544465,1.7419384344469142,-7.967752865598172,0.6960873603820801,6.104910850524902,5.014923967138121
557,92553,-92.79601620000001,212,165,128.71,-7.3229217529296875,-7.973830223083496,0.58,0.001,83736,-6.2770024836063385,1.651679096083656,-9.239805534482002,2.7764925956726074,1.1222560405731201,5.108281267434359
