rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/std,rollout/ep_len_mean,time/fps,time/time_elapsed,train/ent_coef,train/loss,train/learning_rate,train/Main_losses,train/n_updates,train/MSE_loss,train/ent_coef_loss,train/critic_loss,train/RL_loss,train/MSE_losses,train/Beta,train/critic_los,train/actor_loss
-92.825378,4915,4,0.04978706315159798,1228.75,2136,2,,,,,,,,,,,,,
-100.528700125,6809,8,0.04978706315159798,851.125,2134,3,,,,,,,,,,,,,
-100.50301391666666,8655,12,0.04978706315159798,721.25,2134,4,,,,,,,,,,,,,
-102.8094905,8946,16,0.04978706315159798,559.125,2130,4,,,,,,,,,,,,,
-103.87803975,9332,20,0.04978706315159798,466.6,2126,4,,,,,,,,,,,,,
-105.514055,10172,24,0.04994795471429825,423.8333333333333,1575,6,0.9240465480834246,-1.7075517177581787,0.00073,-2.103994108736515,128,6.228585720062256,-0.4982653181068599,20.200675873318687,-1.7075517177581787,7.779532790184021,0.0,1.1117650270462036,-2.103994108736515
-106.64452053571428,10459,28,0.05001790449023247,373.5357142857143,984,10,0.7153214914724231,-8.288970947265625,0.00073,-9.45172118395567,448,6.609602928161621,-2.0968160685151815,18.511360860429704,-8.288970947265625,7.889402821660042,0.0,3.4297397136688232,-9.45172118395567
-107.96171000000001,10951,32,0.050086479634046555,342.21875,631,17,0.48939013527706265,-17.927648544311523,0.00073,-18.064711809158325,960,6.338099479675293,-4.589644394814968,4.792738932184875,-17.927648544311523,7.824571043252945,0.0,10.71300983428955,-18.064711809158325
-108.80928200000001,11327,36,0.05010780319571495,314.6388888888889,524,21,0.3875083797611296,-21.648759841918945,0.00073,-20.023434817790985,1280,9.295812606811523,-6.017641499638557,3.1561907725408673,-21.648759841918945,7.809903308749199,0.0,0.8696954250335693,-20.023434817790985
-109.346681275,11680,40,0.05009319260716438,292.0,438,26,0.29347504768520594,-16.777996063232422,0.00073,-20.826229751110077,1664,10.034502029418945,-7.609125606715679,2.567965700291097,-16.777996063232422,7.907349072396755,0.0,3.2239789962768555,-20.826229751110077
-109.73230595454544,12005,44,0.05007435753941536,272.84090909090907,388,30,0.2336020520888269,-20.88686752319336,0.00073,-20.070371717214584,1984,7.8214263916015625,-8.911521278321743,3.5730413561686873,-20.88686752319336,8.132312394678593,0.0,1.4879027605056763,-20.070371717214584
-109.39700114583336,12584,48,0.05003422498703003,262.1666666666667,331,37,0.15696403454057872,-18.618511199951172,0.00073,-17.541016042232513,2560,7.026032447814941,-10.2704898416996,2.266629252117127,-18.618511199951172,8.018905706703663,0.0,1.3493399620056152,-17.541016042232513
-109.89356467307695,13129,52,0.05002352222800255,252.48076923076923,296,44,0.10657665331382304,-13.202329635620117,0.00073,-14.418787762522697,3136,8.843814849853516,-12.316365256905556,1.842977736145258,-13.202329635620117,7.770663447678089,0.0,1.153939962387085,-14.418787762522697
-111.42843705357143,14483,56,0.04973649978637695,258.625,244,59,0.044544678763486445,-8.08724308013916,0.00073,-8.326213873922825,4480,7.5219035148620605,-14.324780911207199,1.1787535338662565,-8.08724308013916,8.009244710206985,0.0,1.2096344232559204,-8.326213873922825
-110.30323918333333,20316,60,0.04764166101813316,338.6,164,123,0.0031035993815748952,2.9055914878845215,0.00073,1.2593983081169426,10304,8.690427780151367,-1.1497661862522364,1.287943314295262,2.9055914878845215,8.152154475450516,0.0,0.3184059262275696,1.2593983081169426
-108.9068358125,23644,64,0.046733200550079346,369.4375,147,160,0.002500030601368053,0.8955246210098267,0.00073,1.1526355125242844,13632,7.999473571777344,0.7354970797896385,0.5453988809022121,0.8955246210098267,7.842782519757748,0.0,0.37732604146003723,1.1526355125242844
-108.63606144117647,23911,68,0.04666280001401901,351.63235294117646,146,163,0.00243603187482222,1.1076056957244873,0.00073,1.4370145699940622,13888,7.233245372772217,-0.4306157676037401,0.4482595925219357,1.1076056957244873,7.563344396650791,0.0,0.330680251121521,1.4370145699940622
-109.09657206944445,27049,72,0.04563905671238899,375.68055555555554,137,197,0.002270483415486524,1.8967560529708862,0.00073,2.0988858938217163,17024,8.648059844970703,2.250063279643655,0.2316526072099805,1.8967560529708862,8.246136456727982,0.0,0.13002584874629974,2.0988858938217163
-110.21360818421054,29613,76,0.04530499130487442,389.64473684210526,130,227,0.0031798101590538863,2.831606864929199,0.00073,2.364179387688637,19584,8.26945686340332,-1.5830617537721992,0.40309379913378507,2.831606864929199,8.496911153197289,0.0,0.542483389377594,2.364179387688637
-109.14220837500002,32940,80,0.04451503977179527,411.75,121,271,0.002619024548039306,3.201864004135132,0.00073,3.0988939963281155,22912,8.31440544128418,0.0017790207639336586,0.25749706954229623,3.201864004135132,8.072025164961815,0.0,0.15391378104686737,3.0988939963281155
-109.34207333333336,34763,84,0.04406034201383591,413.8452380952381,117,296,0.0025812442727328744,3.8581366539001465,0.00073,2.8328939247876406,24768,7.720353603363037,0.044386969530023634,0.3413396900286898,3.8581366539001465,7.780144900083542,0.0,1.4991726875305176,2.8328939247876406
-109.15956027272728,38156,88,0.043028607964515686,433.59090909090907,114,333,0.0025149729335680604,4.584070205688477,0.00073,3.281989522278309,28160,8.968225479125977,0.08683090540580451,0.19604260916821659,4.584070205688477,8.542350940406322,0.0,0.3383638858795166,3.281989522278309
-106.0139933152174,44556,92,0.042431142181158066,484.30434782608694,110,404,0.0027458366348582786,2.8007566928863525,0.00073,2.625911323353648,34560,8.598814010620117,1.131218000780791,0.15676616947166622,2.8007566928863525,8.422148004174232,0.0,0.07880224287509918,2.625911323353648
