train/loss,train/n_updates,train/MSE_losses,train/critic_los,rollout/ep_rew_mean,train/learning_rate,train/ent_coef,train/Main_losses,train/Beta,train/RL_loss,time/time_elapsed,train/critic_loss,time/episodes,train/MSE_loss,rollout/ep_len_mean,train/ent_coef_loss,time/fps,train/actor_loss,time/total_timesteps
32.19478988647461,699,1.8562332391738892,0.7050392031669617,-565.46780125,0.001,0.7740845680236816,32.19478988647461,0.8604,16.223758697509766,8,0.7050392031669617,4,1.8562332391738892,200.0,-0.0622127391397953,98,16.223758697509766,800
31.046092987060547,1499,1.6865365505218506,0.8487906455993652,-342.159021875,0.001,0.5536250472068787,31.046092987060547,0.7004,19.233591079711914,17,0.8487906455993652,8,1.6865365505218506,200.0,-0.02425629273056984,92,19.233591079711914,1600
35.263999938964844,2299,1.7786033153533936,0.757987380027771,-291.30185458333335,0.001,0.4617861211299896,35.263999938964844,0.5404,25.65242576599121,26,0.757987380027771,12,1.7786033153533936,200.0,-0.2011336386203766,90,25.65242576599121,2400
30.151119232177734,3099,1.6269220113754272,0.5202656984329224,-271.2564055625,0.001,0.350330650806427,30.151119232177734,0.3804,23.96230697631836,35,0.5202656984329224,16,1.6269220113754272,200.0,-0.03444483131170273,89,23.96230697631836,3200
30.352190017700195,3899,1.6782740354537964,0.4927406907081604,-251.54720129999995,0.001,0.2261766642332077,30.352190017700195,0.2204,26.653274536132812,44,0.4927406907081604,20,1.6782740354537964,200.0,0.050291553139686584,89,26.653274536132812,4000
25.632356643676758,4699,1.6342902183532715,0.4909582734107971,-229.75750895833335,0.001,0.1059173196554184,25.632356643676758,0.0604,24.645244598388672,53,0.4909582734107971,24,1.6342902183532715,200.0,-0.45298323035240173,88,24.645244598388672,4800
24.655824661254883,5499,2.2247118949890137,0.6663531064987183,-222.3196500714286,0.001,0.04059948772192001,24.655824661254883,0,24.655824661254883,63,0.6663531064987183,28,2.2247118949890137,200.0,-0.7122105360031128,88,24.655824661254883,5600
22.203624725341797,6299,2.1613166332244873,1.2829347848892212,-213.519113375,0.001,0.027509232982993126,22.203624725341797,0,22.203624725341797,72,1.2829347848892212,32,2.1613166332244873,200.0,-0.3884497284889221,88,22.203624725341797,6400
20.457616806030273,7099,2.01067852973938,0.9262385368347168,-209.43751627777777,0.001,0.022477544844150543,20.457616806030273,0,20.457616806030273,81,0.9262385368347168,36,2.01067852973938,200.0,-0.07270213961601257,88,20.457616806030273,7200
24.7574520111084,7899,1.6965892314910889,0.7215768098831177,-200.1122814,0.001,0.0219896100461483,24.7574520111084,0,24.7574520111084,90,0.7215768098831177,40,1.6965892314910889,200.0,4.3113226890563965,88,24.7574520111084,8000
21.50076675415039,8699,2.1041018962860107,0.5303680300712585,-200.06548431818183,0.001,0.02265751175582409,21.50076675415039,0,21.50076675415039,99,0.5303680300712585,44,2.1041018962860107,200.0,-1.0163989067077637,88,21.50076675415039,8800
21.075759887695312,9499,1.8933275938034058,0.7194105982780457,-198.23265722916668,0.001,0.0229889415204525,21.075759887695312,0,21.075759887695312,108,0.7194105982780457,48,1.8933275938034058,200.0,-0.7404391765594482,88,21.075759887695312,9600
16.52783966064453,10299,2.001190662384033,0.8994339108467102,-194.52381196153846,0.001,0.020064733922481537,16.52783966064453,0,16.52783966064453,117,0.8994339108467102,52,2.001190662384033,200.0,-0.8789447546005249,88,16.52783966064453,10400
22.353139877319336,11099,2.0538716316223145,0.8149328231811523,-193.2478805714286,0.001,0.018412917852401733,22.353139877319336,0,22.353139877319336,126,0.8149328231811523,56,2.0538716316223145,200.0,-0.0278073251247406,88,22.353139877319336,11200
19.395782470703125,11899,1.9685226678848267,0.43172603845596313,-186.25972215000002,0.001,0.015893232077360153,19.395782470703125,0,19.395782470703125,135,0.43172603845596313,60,1.9685226678848267,200.0,0.3705591559410095,88,19.395782470703125,12000
16.162809371948242,12699,1.8914029598236084,0.7243769764900208,-183.67594857812497,0.001,0.013329734094440937,16.162809371948242,0,16.162809371948242,144,0.7243769764900208,64,1.8914029598236084,200.0,-0.4040047526359558,88,16.162809371948242,12800
19.435504913330078,13499,2.0131919384002686,0.7764326930046082,-179.88646208823525,0.001,0.014462446793913841,19.435504913330078,0,19.435504913330078,154,0.7764326930046082,68,2.0131919384002686,200.0,0.5692411661148071,88,19.435504913330078,13600
19.531082153320312,14299,2.222062110900879,0.7736077308654785,-179.83564834722222,0.001,0.021460913121700287,19.531082153320312,0,19.531082153320312,163,0.7736077308654785,72,2.222062110900879,200.0,-0.270450234413147,88,19.531082153320312,14400
15.612984657287598,15099,2.2374420166015625,0.3900119960308075,-178.35736942105265,0.001,0.017331605777144432,15.612984657287598,0,15.612984657287598,172,0.3900119960308075,76,2.2374420166015625,200.0,-0.4643736779689789,88,15.612984657287598,15200
19.55988311767578,15899,2.2563676834106445,0.7673436403274536,-173.98479018749998,0.001,0.01946745626628399,19.55988311767578,0,19.55988311767578,181,0.7673436403274536,80,2.2563676834106445,200.0,-0.015498951077461243,88,19.55988311767578,16000
16.33361053466797,16699,1.8565948009490967,1.0608153343200684,-175.38481664285712,0.001,0.019121535122394562,16.33361053466797,0,16.33361053466797,190,1.0608153343200684,84,1.8565948009490967,200.0,-0.8938968181610107,88,16.33361053466797,16800
16.543731689453125,17499,1.9178471565246582,0.5451247692108154,-173.02350714772726,0.001,0.017534727230668068,16.543731689453125,0,16.543731689453125,199,0.5451247692108154,88,1.9178471565246582,200.0,0.5248104333877563,88,16.543731689453125,17600
