time/episodes,train/std,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/loss,train/ent_coef,train/Main_losses,train/MSE_loss,train/n_updates,train/RL_loss,train/actor_loss,train/MSE_losses,train/ent_coef_loss,train/Beta,train/critic_loss,train/critic_los,train/learning_rate
428,0.04142138734459877,290455,692.99,3176,91,299.07308007000006,-18.0069580078125,0.006867107636935543,-16.296733513474464,4.065528392791748,280448,-18.0069580078125,-16.296733513474464,2.355162324383855,0.30857689841650426,0,0.5510498883668333,0.04433925077319145,0.00073
432,0.04135791212320328,293277,692.2,3208,91,299.17109883999996,-17.196334838867188,0.006521189279737882,-16.64902339875698,1.4126462936401367,283264,-17.196334838867188,-16.64902339875698,2.4147868137806654,0.003500718157738447,0,0.3811390033806674,0.08031903207302094,0.00073
436,0.04131615534424782,296074,691.0,3240,91,299.27470411999997,-16.51324462890625,0.007240635641210247,-16.51784621179104,3.4045448303222656,286080,-16.51324462890625,-16.51784621179104,2.60464258864522,0.3978532000910491,0,0.6519768472062424,0.11905854940414429,0.00073
440,0.04138562083244324,298651,692.29,3269,91,300.24829947999996,-16.366329193115234,0.007194631165475585,-16.6403129696846,2.5877861976623535,288640,-16.366329193115234,-16.6403129696846,2.5846947580575943,0.4954073722474277,0,0.5553791164420545,0.10771817713975906,0.00073
444,0.04141956567764282,301474,691.54,3301,91,300.32306156999994,-16.513256072998047,0.007171345438109711,-16.577219307422638,4.644032955169678,291456,-16.513256072998047,-16.577219307422638,2.380949145182967,-0.997738012811169,0,0.549225315451622,1.7750649452209473,0.00073
448,0.041375428438186646,304293,694.65,3333,91,303.38188623,-17.83899688720703,0.007213363714981824,-16.788518652319908,1.8354179859161377,294272,-17.83899688720703,-16.788518652319908,2.0524011477828026,-0.2608913065632805,0,0.4286069852532819,0.0935831367969513,0.00073
452,0.04133838415145874,306739,690.88,3360,91,300.32587056999995,-16.522663116455078,0.006760417301848065,-16.96449786424637,1.3336429595947266,296704,-16.522663116455078,-16.96449786424637,2.215849094092846,0.8384136316599324,0,0.50263537093997,1.2045698165893555,0.00073
456,0.041260283440351486,309404,689.14,3390,91,298.60612991,-17.336769104003906,0.006995947980612982,-17.23267911374569,3.064593553543091,299392,-17.336769104003906,-17.23267911374569,1.9965717252343893,-0.15575147001072764,0,0.4322390120360069,0.12045128643512726,0.00073
460,0.041230227798223495,312226,688.24,3422,91,298.69111855000006,-17.255414962768555,0.0070279663559631445,-17.408323407173157,2.3130388259887695,302208,-17.255414962768555,-17.408323407173157,2.12645857129246,0.8228897342924029,0,0.3752197247813456,0.11320086568593979,0.00073
464,0.04113461822271347,314730,684.24,3451,91,296.0403503200001,-17.98476791381836,0.00674530265678186,-17.750950798392296,1.319595456123352,304704,-17.98476791381836,-17.750950798392296,2.3382701175287366,1.4046628099749796,0,0.44847066496731713,0.08913826197385788,0.00073
468,0.04110691323876381,317563,684.09,3482,91,296.1257844,-16.947860717773438,0.006689059468044434,-17.657038658857346,1.3164706230163574,307520,-16.947860717773438,-17.657038658857346,1.9142424259334803,0.5125043271109462,0,0.3687436683103442,0.15261593461036682,0.00073
472,0.04110429063439369,320360,683.21,3514,91,296.23215181,-16.282772064208984,0.006774602334189694,-17.923488199710846,1.0017565488815308,310336,-16.282772064208984,-17.923488199710846,2.2253965828567743,-0.2542849520687014,0,0.395239197590854,1.7295622825622559,0.00073
476,0.04119476303458214,322840,679.41,3542,91,293.58438988,-17.689769744873047,0.006388810332282446,-17.81779310107231,4.538599014282227,312832,-17.689769744873047,-17.81779310107231,2.228397252969444,0.7222705632448196,0,0.3567598006920889,0.05745597183704376,0.00073
480,0.041090961545705795,325138,680.69,3568,91,295.58197234000005,-18.180484771728516,0.00595166883431375,-18.051825612783432,1.2788029909133911,315136,-18.180484771728516,-18.051825612783432,2.142692044377327,0.5578543972223997,0,0.4528006106847897,0.05001896247267723,0.00073
484,0.041078656911849976,327743,682.61,3597,91,298.90396697000006,-18.712650299072266,0.006620836007641628,-18.17686665058136,2.5316903591156006,317696,-18.712650299072266,-18.17686665058136,2.216015823185444,-0.3208497241139412,0,0.3321977147134021,0.4446426033973694,0.00073
488,0.04100814089179039,330579,688.63,3629,91,303.04442341000004,-18.5800724029541,0.006664400767476764,-18.1213136613369,2.0090928077697754,320576,-18.5800724029541,-18.1213136613369,2.1267366157844663,0.021889440715312958,0,0.5146945196902379,0.15137064456939697,0.00073
492,0.04090685024857521,333390,688.33,3661,91,303.10043083,-18.528148651123047,0.00627631427050801,-18.313091158866882,1.2923675775527954,323392,-18.528148651123047,-18.313091158866882,2.0313978157937527,-0.47767239599488676,0,0.5467673967359588,0.13776730000972748,0.00073
496,0.04080069065093994,336223,687.96,3693,91,303.17978074,-17.750640869140625,0.00633951981581049,-18.562350571155548,1.4850884675979614,326208,-17.750640869140625,-18.562350571155548,2.166745708324015,-0.8923379317857325,0,0.6023608068935573,0.10245433449745178,0.00073
500,0.040879830718040466,339065,684.32,3725,91,303.53539410999997,-17.187124252319336,0.006285050250880886,-18.625037401914597,3.426544666290283,329024,-17.187124252319336,-18.625037401914597,2.0713135208934546,-0.7641256289789453,0,0.49079660791903734,0.1917952001094818,0.00073
504,0.04093066602945328,341787,684.84,3756,90,304.36783274,-17.372421264648438,0.0065949525669566356,-18.56375902891159,2.235391139984131,331776,-17.372421264648438,-18.56375902891159,2.0529072526842356,-0.14533699152525514,0,0.4708507434115745,0.0831136628985405,0.00073
508,0.040886376053094864,344588,683.99,3788,90,304.45426822999997,-19.329505920410156,0.006464915655669756,-18.831210553646088,2.406801223754883,334592,-19.329505920410156,-18.831210553646088,2.0500898603349924,-0.21493248315528035,0,0.3540868355485145,0.0642356425523758,0.00073
512,0.040880605578422546,347390,683.45,3819,90,304.53103660000005,-18.841007232666016,0.00646435782982735,-18.994970053434372,2.1094865798950195,337344,-18.841007232666016,-18.994970053434372,2.131540977396071,-0.5027418262325227,0,0.4502386051462963,0.23971624672412872,0.00073
516,0.04077301174402237,350202,682.84,3851,90,304.56768379,-19.020002365112305,0.006374116841470823,-19.160602033138275,1.016555666923523,340160,-19.020002365112305,-19.160602033138275,2.056722927838564,0.5321590880630538,0,0.5898237493238412,0.07722102105617523,0.00073
520,0.040781427174806595,352994,682.27,3883,90,304.57802841000006,-18.298397064208984,0.006222841919225175,-19.06301039457321,2.4008865356445312,342976,-18.298397064208984,-19.06301039457321,2.2518382128328085,0.3419771996559575,0,0.37663335603429005,0.26054662466049194,0.00073
524,0.04063660278916359,355816,682.02,3915,90,304.61753559,-19.496688842773438,0.0061988216257304884,-19.19008383154869,3.804375648498535,345792,-19.496688842773438,-19.19008383154869,2.110817164182663,0.31141571782063693,0,0.5469534288858995,0.11238402873277664,0.00073
528,0.040594421327114105,358630,681.75,3946,90,304.6612601300001,-19.173553466796875,0.00660244828031864,-19.23786488175392,2.0125913619995117,348608,-19.173553466796875,-19.23786488175392,2.193211419507861,0.6646744823083282,0,0.6455360954569187,1.8885712623596191,0.00073
532,0.04054698348045349,361429,681.52,3978,90,304.76332272,-19.33124542236328,0.006671496928902343,-19.309128612279892,1.9304804801940918,351424,-19.33124542236328,-19.309128612279892,2.1072295559570193,0.33068303763866425,0,0.4694989121926483,0.13371913135051727,0.00073
536,0.040579456835985184,364277,682.03,4010,90,304.82258592,-19.835506439208984,0.0066384016899974085,-19.340360164642334,2.0795583724975586,354240,-19.835506439208984,-19.340360164642334,2.0896751638501883,-0.13459209236316383,0,1.0053833488491364,0.05801135301589966,0.00073
540,0.04063823074102402,367102,684.51,4042,90,307.16017044,-19.05056381225586,0.0067551837710198015,-19.212745010852814,3.6323022842407227,357056,-19.05056381225586,-19.212745010852814,2.1656965473666787,-1.2779961698688567,0,0.5542524482880253,0.05441006273031235,0.00073
544,0.040623392909765244,369904,684.3,4074,90,307.25410946000005,-19.297733306884766,0.006426082662073895,-19.48700988292694,5.129295349121094,359872,-19.297733306884766,-19.48700988292694,2.180668002925813,0.949407402658835,0,0.615040555538144,0.09752541780471802,0.00073
548,0.040591444820165634,372686,683.93,4105,90,307.32188603,-20.182861328125,0.006982647246331908,-19.49075162410736,0.8709515333175659,362688,-20.182861328125,-19.49075162410736,2.128504440188408,-0.8827960351482034,0,0.5368859305162914,0.022392433136701584,0.00073
552,0.04049229994416237,375479,687.4,4137,90,310.50144387,-20.178098678588867,0.0065961402069660835,-19.516988426446915,0.8939183950424194,365440,-20.178098678588867,-19.516988426446915,2.3158207423985004,0.09793017816264182,0,0.6323062641604338,0.041992977261543274,0.00073
556,0.04039495065808296,378041,686.37,4166,90,310.02354981,-19.632450103759766,0.006303438058239408,-19.660411477088928,1.2666059732437134,368000,-19.632450103759766,-19.660411477088928,2.1239706380292773,0.4995658894767985,0,0.7739246552227996,0.14521367847919464,0.00073
560,0.04043390601873398,380841,686.15,4198,90,310.08257853,-19.457130432128906,0.0069019763977848925,-19.728857427835464,0.8310167789459229,370816,-19.457130432128906,-19.728857427835464,2.289059879258275,-1.0363440812798217,0,0.4362447785970289,0.04411449655890465,0.00073
564,0.040389981120824814,383649,689.19,4230,90,312.89166179000006,-19.861713409423828,0.0067569270395324565,-19.551241725683212,1.445827603340149,373632,-19.861713409423828,-19.551241725683212,2.4126049233600497,0.0990715028019622,0,0.3886651540524326,0.04186118394136429,0.00073
568,0.040430948138237,386463,689.0,4262,90,312.88968869,-19.58001708984375,0.006759928037354257,-19.70083773136139,1.3190791606903076,376448,-19.58001708984375,-19.70083773136139,2.05766936019063,-0.21929823816753924,0,0.6948315751506016,1.8100485801696777,0.00073
572,0.04036412760615349,389234,688.74,4293,90,312.92746415000005,-18.714962005615234,0.0067413774522719905,-19.915444374084473,1.6279582977294922,379200,-18.714962005615234,-19.915444374084473,2.314509093761444,0.03143775439821184,0,0.5659001778694801,0.17123672366142273,0.00073
576,0.04042747616767883,392012,691.72,4325,90,315.65723748999994,-19.22762107849121,0.0066102155251428485,-19.866943508386612,2.167031764984131,382016,-19.22762107849121,-19.866943508386612,2.1820552852004766,-0.3206878527998924,0,0.4563571142789442,0.16363312304019928,0.00073
580,0.04038016498088837,394751,696.13,4355,90,319.42671932999997,-20.601444244384766,0.006579101536772214,-20.047744274139404,1.121549129486084,384704,-20.601444244384766,-20.047744274139404,2.4482063110917807,0.9256916441954672,0,0.6949608075956348,0.06926193833351135,0.00073
584,0.04029545560479164,397528,697.85,4387,90,321.74346083,-20.215171813964844,0.006258290522964671,-20.067068070173264,2.118393898010254,387520,-20.215171813964844,-20.067068070173264,2.088075814768672,-0.29652564972639084,0,0.7424250385374762,0.038532666862010956,0.00073
588,0.04032418504357338,400281,697.02,4418,90,320.58539185999996,-20.227785110473633,0.006375729390128981,-20.094293892383575,2.716891050338745,390272,-20.227785110473633,-20.094293892383575,2.3195805326104164,0.04130024742335081,0,0.6644658833101857,0.04553993418812752,0.00073
592,0.04041624814271927,402788,693.98,4447,90,318.15001444,-20.41742706298828,0.006734966089425143,-19.999261289834976,2.411573886871338,392768,-20.41742706298828,-19.999261289834976,2.1935309153050184,-0.839716078247875,0,0.5829521887353621,1.9076164960861206,0.00073
596,0.04036268964409828,405598,693.75,4479,90,318.1953072,-20.226049423217773,0.006649750284850597,-20.07034993171692,2.9114811420440674,395584,-20.226049423217773,-20.07034993171692,2.2403152072802186,0.29947989276843145,0,0.7832519765361212,0.08347111940383911,0.00073
600,0.04035970941185951,408437,693.72,4510,90,318.23358252,-20.550748825073242,0.006788076643715613,-20.24044069647789,4.345273971557617,398400,-20.550748825073242,-20.24044069647789,2.2325799874961376,0.0459676852915436,0,0.5761789384414442,1.7828989028930664,0.00073
604,0.040306080132722855,411220,694.33,4542,90,319.92817141,-20.36134147644043,0.00688894899940351,-20.152789264917374,1.0999003648757935,401216,-20.36134147644043,-20.152789264917374,2.271502777002752,0.3969095405191183,0,0.6670321201090701,0.021984076127409935,0.00073
608,0.04022105783224106,414014,694.26,4573,90,320.00905259,-20.224365234375,0.006515357657917775,-20.33047044277191,1.181836485862732,403968,-20.224365234375,-20.33047044277191,2.062018072232604,-1.1015155434142798,0,0.7472310993471183,0.04699274152517319,0.00073
612,0.04018726944923401,416842,694.52,4606,90,320.06749802,-20.586000442504883,0.0061761555771226995,-20.609676361083984,2.380467653274536,406848,-20.586000442504883,-20.609676361083984,2.1029412504285574,0.02939901314675808,0,0.5798117922095116,0.044950127601623535,0.00073
616,0.04018157348036766,419630,694.28,4637,90,320.05003251,-20.87648582458496,0.006408895249478519,-20.60523721575737,0.8453148007392883,409600,-20.87648582458496,-20.60523721575737,2.156121495179832,-1.0793986858334392,0,0.5338895691384096,1.9370403289794922,0.00073
620,0.04006356745958328,422079,690.85,4665,90,317.22433934,-21.005556106567383,0.006432525296986569,-20.4838690161705,2.098501205444336,412032,-21.005556106567383,-20.4838690161705,2.332850130274892,0.16543512581847608,0,0.7822880575840827,0.05501795560121536,0.00073
624,0.040074270218610764,424860,690.44,4696,90,316.16993886,-20.50545883178711,0.0068739279740839265,-20.49053466320038,1.0829377174377441,414848,-20.50545883178711,-20.49053466320038,2.3448214484378695,-0.14818032714538276,0,0.5476347933290526,0.08510435372591019,0.00073
628,0.03999004513025284,427066,684.36,4721,90,312.21592798999995,-20.477581024169922,0.006669972164672799,-20.37188982963562,1.5487194061279297,417024,-20.477581024169922,-20.37188982963562,2.1983607206493616,-1.0921089284820482,0,0.6052841456839815,1.845173954963684,0.00073
632,0.039955414831638336,429832,684.03,4753,90,312.21654392,-20.81714630126953,0.0075789394686580636,-20.19473370909691,3.2088072299957275,419840,-20.81714630126953,-20.19473370909691,2.0562031660228968,-0.21965055540204048,0,0.6797339966578875,0.0245103370398283,0.00073
636,0.039829425513744354,432582,683.05,4784,90,312.31697794,-20.8330135345459,0.00703165189770516,-20.482206881046295,4.282309532165527,422592,-20.8330135345459,-20.482206881046295,2.3406017906963825,-0.33599703619256616,0,0.9056893069646321,2.048530101776123,0.00073
640,0.03976042568683624,435373,682.71,4815,90,312.36174385,-20.61545181274414,0.006708203938615043,-20.475144863128662,2.1334805488586426,425344,-20.61545181274414,-20.475144863128662,2.176579079590738,-0.1318488826509565,0,0.9102807964663953,0.12178128212690353,0.00073
644,0.03973366692662239,438149,682.45,4847,90,312.40053453999997,-20.61489486694336,0.00669899692729814,-20.585037052631378,4.265143394470215,428160,-20.61489486694336,-20.585037052631378,2.0898135378956795,0.35876952880062163,0,0.6879259920387994,1.7993524074554443,0.00073
648,0.039709873497486115,440778,680.92,4877,90,310.73393548,-20.6864070892334,0.006576081897947006,-20.73012202978134,3.527371883392334,430784,-20.6864070892334,-20.73012202978134,1.8887686282396317,0.20385207538492978,0,0.529338223306695,0.13673396408557892,0.00073
652,0.03963282331824303,443067,675.88,4902,90,307.06806277,-21.347110748291016,0.006340766092762351,-20.816309928894043,2.3209359645843506,433024,-21.347110748291016,-20.816309928894043,2.2010037833824754,-0.3495843179989606,0,0.6839499538764358,0.03495842218399048,0.00073
656,0.039521440863609314,445846,678.05,4934,90,309.4506449,-21.24241065979004,0.006495572408312,-20.84755578637123,1.37419593334198,435840,-21.24241065979004,-20.84755578637123,2.3289854116737843,-0.1727142222225666,0,0.4440326163894497,0.32737958431243896,0.00073
660,0.039381593465805054,448244,674.03,4961,90,306.09436084,-20.606910705566406,0.00652583253395278,-20.760932624340057,1.6432077884674072,438208,-20.606910705566406,-20.760932624340057,2.0262925857678056,0.2845676022116095,0,0.6428459256712813,0.03564298897981644,0.00073
664,0.03933161497116089,450826,671.77,4991,90,303.75203701999993,-20.474830627441406,0.00689510942902416,-20.837854146957397,2.8996505737304688,440832,-20.474830627441406,-20.837854146957397,2.063118839636445,0.5583577824290842,0,0.7014517933130264,0.16025346517562866,0.00073
668,0.03925313055515289,453617,671.54,5022,90,303.77014624,-21.232370376586914,0.006833366060163826,-20.80314028263092,2.728402614593506,443584,-21.232370376586914,-20.80314028263092,2.190658073872328,-0.8205878185108304,0,0.7751624437514693,0.04609013348817825,0.00073
672,0.039241187274456024,456416,671.82,5054,90,303.77917853,-21.08945083618164,0.007427060823829379,-20.734237611293793,1.405664324760437,446400,-21.08945083618164,-20.734237611293793,2.1009951196610928,0.08989287819713354,0,0.7267202798102517,3.440906047821045,0.00073
676,0.039244458079338074,459197,671.85,5085,90,303.85841602999994,-21.22151756286621,0.0069349155892268755,-20.85317113995552,2.3016207218170166,449152,-21.22151756286621,-20.85317113995552,2.122284264303744,-0.7927506281994283,0,0.5759752235899214,0.03954780101776123,0.00073
680,0.039166487753391266,461959,672.08,5117,90,303.88173366999996,-21.47048568725586,0.0065901526977540925,-20.873075991868973,3.5176949501037598,451968,-21.47048568725586,-20.873075991868973,2.3505775993689895,0.22927811462432146,0,0.7181157180748414,1.8495171070098877,0.00073
684,0.03912947699427605,464723,671.95,5148,90,303.91431664000004,-20.151020050048828,0.006966602806642186,-20.752926498651505,1.5120187997817993,454720,-20.151020050048828,-20.752926498651505,2.1182153932750225,-0.11009723762981594,0,0.6236889662395697,0.5125999450683594,0.00073
688,0.03909877687692642,467523,672.42,5180,90,305.11391835999996,-19.349979400634766,0.006853487102489453,-20.890343755483627,3.5745763778686523,457536,-19.349979400634766,-20.890343755483627,2.232144101522863,1.4377703084610403,0,0.7567316471540835,4.446389198303223,0.00073
692,0.03911137208342552,470287,674.99,5211,90,307.6336234799999,-20.842540740966797,0.007081825475324877,-20.982071965932846,1.8257358074188232,460288,-20.842540740966797,-20.982071965932846,2.3406361527740955,-0.3695227277930826,0,0.8150562018854544,0.09509790688753128,0.00073
696,0.039055995643138885,473056,674.58,5242,90,307.66192354000003,-21.02234649658203,0.007317572271858808,-20.941630870103836,2.424086093902588,463040,-21.02234649658203,-20.941630870103836,2.3182500656694174,0.9595057377591729,0,0.7642362787446473,1.7297126054763794,0.00073
700,0.039017971605062485,475862,674.25,5274,90,307.7222488,-21.28168487548828,0.006931688440090511,-21.043367475271225,2.076639413833618,465856,-21.28168487548828,-21.043367475271225,2.1857064459472895,-0.7497953530400991,0,0.6516832392662764,0.027901507914066315,0.00073
704,0.039038412272930145,478102,668.82,5299,90,303.73951353,-20.67437171936035,0.007180499211244751,-21.005589187145233,1.8383467197418213,468096,-20.67437171936035,-21.005589187145233,2.124887941405177,-0.7591077957767993,0,0.5373088161868509,1.8849985599517822,0.00073
708,0.039045464247465134,480889,668.75,5330,90,303.72004561,-21.030353546142578,0.007249328671605326,-20.9588822722435,1.2563835382461548,470848,-21.030353546142578,-20.9588822722435,2.0835605449974537,1.1123066851869226,0,0.6259075727721211,0.024326441809535027,0.00073
712,0.03902117535471916,483703,668.61,5362,90,303.68507975,-20.391834259033203,0.006412658134649973,-20.868438482284546,1.632692813873291,473664,-20.391834259033203,-20.868438482284546,2.0695287752896547,0.997666469309479,0,0.5305657840217464,0.11804796755313873,0.00073
716,0.039005327969789505,486470,668.4,5393,90,303.71456194,-21.37948989868164,0.006998975812166464,-20.922299176454544,2.453932762145996,476480,-21.37948989868164,-20.922299176454544,2.3089777175337076,0.3819430514704436,0,0.6403811404015869,0.02543560415506363,0.00073
720,0.03890954330563545,488942,668.63,5421,90,304.15671227999997,-21.428068161010742,0.00747152412077412,-20.949268609285355,1.8325812816619873,478912,-21.428068161010742,-20.949268609285355,2.4473423790186644,-0.5023195676039904,0,0.749702996283304,0.04295000806450844,0.00073
724,0.03875327482819557,491553,666.93,5450,90,303.50216614,-20.974058151245117,0.006984943822317291,-20.99340730905533,3.846163034439087,481536,-20.974058151245117,-20.99340730905533,2.10165036842227,0.8703944712178782,0,0.7292197206406854,0.02798650413751602,0.00073
728,0.038740452378988266,494284,672.18,5481,90,307.49947677,-20.960493087768555,0.007021181481832173,-20.96552938222885,1.0049189329147339,484288,-20.960493087768555,-20.96552938222885,2.225980846211314,0.35468690819106996,0,0.5826258797314949,0.27088236808776855,0.00073
732,0.038781486451625824,497151,673.19,5513,90,307.41800027,-20.903743743896484,0.007425417883496266,-20.93173810839653,3.6071624755859375,487104,-20.903743743896484,-20.93173810839653,2.156242648139596,-0.386545141460374,0,0.8747067774529569,0.11602964252233505,0.00073
736,0.03875639662146568,499449,668.67,5539,90,303.83003885,-21.13344383239746,0.007170953285822179,-20.913723468780518,0.8101136684417725,489408,-21.13344383239746,-20.913723468780518,2.284257129766047,-0.6302062221802771,0,0.8124756095930934,0.027280069887638092,0.00073
