time/episodes,train/std,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/loss,train/ent_coef,train/Main_losses,train/MSE_loss,train/n_updates,train/RL_loss,train/actor_loss,train/MSE_losses,train/ent_coef_loss,train/Beta,train/critic_loss,train/critic_los,train/learning_rate
128,0.04913612827658653,74745,649.82,739,101,-2.505049979999999,-7.223231315612793,0.006703171966364607,-6.503754079341888,1.8244829177856445,64704,-7.223231315612793,-6.503754079341888,2.512461183592677,-0.19954753387719393,0,0.23263477708678693,0.12524132430553436,0.00073
132,0.04887361824512482,78354,678.64,780,100,10.26674963,-5.582129955291748,0.006289900898991618,-6.643824778497219,3.121755599975586,68352,-5.582129955291748,-6.643824778497219,2.477738980203867,-0.2872085460694507,0,0.3360793680185452,0.21255271136760712,0.00073
136,0.04875311627984047,82247,715.06,824,99,24.06818198,-8.92795467376709,0.006117668948718347,-7.598338805139065,2.2138009071350098,72256,-8.92795467376709,-7.598338805139065,2.705469338223338,0.1598536518868059,0,0.20713381370296702,0.14182397723197937,0.00073
140,0.04861344397068024,85559,744.08,861,99,36.91517096,-6.997490882873535,0.006185217265738174,-7.421709477901459,2.5631914138793945,75520,-6.997490882873535,-7.421709477901459,2.557205682620406,0.2950740731321275,0,0.23458835046039894,0.1987583190202713,0.00073
144,0.04859362542629242,89649,779.01,907,98,52.373545629999995,-7.362112998962402,0.0064533004915574566,-7.506007485091686,2.1426186561584473,79616,-7.362112998962402,-7.506007485091686,2.4785369262099266,0.1646980606019497,0,0.27775887527968735,0.201187402009964,0.00073
148,0.04859079420566559,93664,813.11,952,98,69.33756345,-7.225361347198486,0.006074333978176583,-8.411008603870869,1.7770740985870361,83648,-7.225361347198486,-8.411008603870869,2.4254366494715214,0.38514958089217544,0,0.18445008218986914,0.23757235705852509,0.00073
152,0.04849586263298988,96439,830.67,983,98,79.19435904,-8.81234359741211,0.005948176571109798,-8.501629151403904,2.2425646781921387,86400,-8.81234359741211,-8.501629151403904,2.519777974113822,0.21817575977183878,0,0.2776801735162735,0.10004545748233795,0.00073
156,0.04832369461655617,100355,848.62,1028,97,95.48060056000003,-8.905908584594727,0.005871823079360183,-8.797213613986969,1.8895701169967651,90368,-8.905908584594727,-8.797213613986969,2.4657969288527966,-0.03634850820526481,0,0.225950077874586,0.9034028053283691,0.00073
160,0.04829341918230057,103355,861.5,1061,97,107.69214968,-7.185368061065674,0.006290027544309851,-8.787661045789719,3.089505195617676,93312,-7.185368061065674,-8.787661045789719,2.6662106458097696,-0.6575475062709302,0,0.20728316315216944,0.13596101105213165,0.00073
164,0.048091985285282135,106320,873.24,1095,97,119.66480068000003,-9.355232238769531,0.006105396336351987,-9.142393708229065,3.4148073196411133,96320,-9.355232238769531,-9.142393708229065,2.5026723500341177,-0.09376273606903851,0,0.2974331928999163,0.12882837653160095,0.00073
