time/time_elapsed,time/total_timesteps,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/MSE_loss,train/Beta,train/learning_rate,train/loss,train/ent_coef_loss,train/ent_coef,train/n_updates,train/critic_loss,train/Main_losses,train/RL_loss,train/actor_loss,train/MSE_losses,train/critic_los
0,76,2891,4,19.0,19.0,,,,,,,,,,,,,
0,155,228,8,19.375,19.375,1.3443115949630737,0.947,0.001,-1.24602210521698,-0.08666405826807022,0.9483986496925354,54,0.15776470303535461,-1.24602210521698,-2.519085168838501,-2.519085168838501,1.3443115949630737,0.15776470303535461
2,278,131,12,23.166666666666668,23.166666666666668,1.2912660837173462,0.824,0.001,-2.0547432899475098,-0.2873263955116272,0.8387500643730164,177,0.10190001875162125,-2.0547432899475098,-3.118746519088745,-3.118746519088745,1.2912660837173462,0.10190001875162125
2,350,119,16,21.875,21.875,1.2218871116638184,0.752,0.001,-2.5428714752197266,-0.40003204345703125,0.7805184125900269,249,0.19781534373760223,-2.5428714752197266,-3.461730480194092,-3.461730480194092,1.2218871116638184,0.19781534373760223
3,400,114,20,20.0,20.0,1.4232537746429443,0.702,0.001,-2.6091136932373047,-0.47378021478652954,0.7427082061767578,299,0.1734621226787567,-2.6091136932373047,-3.6082379817962646,-3.6082379817962646,1.4232537746429443,0.1734621226787567
4,526,106,24,21.916666666666668,21.916666666666668,1.3076945543289185,0.576,0.001,-3.558126449584961,-0.6717965602874756,0.6556819081306458,425,0.15112408995628357,-3.558126449584961,-4.311358451843262,-4.311358451843262,1.3076945543289185,0.15112408995628357
6,656,102,28,23.428571428571427,23.428571428571427,1.3765454292297363,0.446,0.001,-4.218242645263672,-0.8564693927764893,0.5769616961479187,555,0.15399128198623657,-4.218242645263672,-4.832181930541992,-4.832181930541992,1.3765454292297363,0.15399128198623657
8,796,98,32,24.875,24.875,1.3755910396575928,0.306,0.001,-5.062528133392334,-1.075467586517334,0.5028748512268066,695,0.13563454151153564,-5.062528133392334,-5.483458995819092,-5.483458995819092,1.3755910396575928,0.13563454151153564
10,1034,95,36,28.72222222222222,28.72222222222222,1.1076812744140625,0.068,0.001,-6.244344711303711,-1.3449366092681885,0.39991793036460876,933,0.1595851331949234,-6.244344711303711,-6.319666862487793,-6.319666862487793,1.1076812744140625,0.1595851331949234
14,1336,94,40,33.4,33.4,1.2598047256469727,0,0.001,-7.7698163986206055,-1.5408432483673096,0.3060983121395111,1235,0.2331731915473938,-7.7698163986206055,-7.7698163986206055,-7.7698163986206055,1.2598047256469727,0.2331731915473938
20,1860,92,44,42.27272727272727,42.27272727272727,1.2946237325668335,0,0.001,-9.579996109008789,-1.8993334770202637,0.1987796574831009,1759,0.08906465768814087,-9.579996109008789,-9.579996109008789,-9.579996109008789,1.2946237325668335,0.08906465768814087
28,2574,91,48,53.625,53.625,1.4569787979125977,0,0.001,-12.592828750610352,-2.0723397731781006,0.10791049897670746,2473,0.479728102684021,-12.592828750610352,-12.592828750610352,-12.592828750610352,1.4569787979125977,0.479728102684021
36,3315,91,52,63.75,63.75,1.3953114748001099,0,0.001,-15.398239135742188,-2.5430455207824707,0.056152839213609695,3214,0.09511984884738922,-15.398239135742188,-15.398239135742188,-15.398239135742188,1.3953114748001099,0.09511984884738922
42,3901,90,56,69.66071428571429,69.66071428571429,1.2125110626220703,0,0.001,-17.616260528564453,-1.9569287300109863,0.03531671687960625,3800,0.25222018361091614,-17.616260528564453,-17.616260528564453,-17.616260528564453,1.2125110626220703,0.25222018361091614
50,4556,90,60,75.93333333333334,75.93333333333334,1.3101593255996704,0,0.001,-19.742599487304688,-1.1731690168380737,0.024200616404414177,4455,0.22276747226715088,-19.742599487304688,-19.742599487304688,-19.742599487304688,1.3101593255996704,0.22276747226715088
61,5563,90,64,86.921875,86.921875,1.447536826133728,0,0.001,-22.673625946044922,-1.0594696998596191,0.01597655564546585,5462,0.14658598601818085,-22.673625946044922,-22.673625946044922,-22.673625946044922,1.447536826133728,0.14658598601818085
70,6363,90,68,93.57352941176471,93.57352941176471,1.5509216785430908,0,0.001,-25.65015411376953,0.7858530879020691,0.011652675457298756,6262,0.16808214783668518,-25.65015411376953,-25.65015411376953,-25.65015411376953,1.5509216785430908,0.16808214783668518
79,7186,90,72,99.80555555555556,99.80555555555556,1.4321082830429077,0,0.001,-28.69878578186035,0.22943326830863953,0.014839169569313526,7085,0.19168484210968018,-28.69878578186035,-28.69878578186035,-28.69878578186035,1.4321082830429077,0.19168484210968018
93,8495,90,76,111.77631578947368,111.77631578947368,1.223713755607605,0,0.001,-31.511062622070312,-0.6586542129516602,0.0223101694136858,8394,0.09795159101486206,-31.511062622070312,-31.511062622070312,-31.511062622070312,1.223713755607605,0.09795159101486206
109,9915,90,80,123.9375,123.9375,1.399596929550171,0,0.001,-35.265811920166016,0.11906208097934723,0.02646569162607193,9814,0.23562490940093994,-35.265811920166016,-35.265811920166016,-35.265811920166016,1.399596929550171,0.23562490940093994
123,11186,90,84,133.16666666666666,133.16666666666666,1.2797727584838867,0,0.001,-39.43550109863281,-0.6867949962615967,0.022662032395601273,11085,0.2471800446510315,-39.43550109863281,-39.43550109863281,-39.43550109863281,1.2797727584838867,0.2471800446510315
139,12639,90,88,143.625,143.625,1.2286601066589355,0,0.001,-41.45494842529297,1.1332675218582153,0.021936221048235893,12538,0.16121657192707062,-41.45494842529297,-41.45494842529297,-41.45494842529297,1.2286601066589355,0.16121657192707062
162,14639,90,92,159.1195652173913,159.1195652173913,1.3948813676834106,0,0.001,-47.517738342285156,0.874789834022522,0.018226390704512596,14538,0.14397519826889038,-47.517738342285156,-47.517738342285156,-47.517738342285156,1.3948813676834106,0.14397519826889038
184,16639,90,96,173.32291666666666,173.32291666666666,1.4107158184051514,0,0.001,-51.78804397583008,0.7321693301200867,0.018415266647934914,16538,0.1436210572719574,-51.78804397583008,-51.78804397583008,-51.78804397583008,1.4107158184051514,0.1436210572719574
206,18639,90,100,186.39,186.39,1.241323709487915,0,0.001,-55.93938446044922,-0.8734334111213684,0.017467273399233818,18538,0.1757887750864029,-55.93938446044922,-55.93938446044922,-55.93938446044922,1.241323709487915,0.1757887750864029
229,20639,90,104,205.63,205.63,1.4326775074005127,0,0.001,-60.0562744140625,-0.2168128490447998,0.017751414328813553,20538,0.09112513065338135,-60.0562744140625,-60.0562744140625,-60.0562744140625,1.4326775074005127,0.09112513065338135
251,22639,90,108,224.84,224.84,1.0011866092681885,0,0.001,-63.28022384643555,-0.3691045343875885,0.019531194120645523,22538,0.15691149234771729,-63.28022384643555,-63.28022384643555,-63.28022384643555,1.0011866092681885,0.15691149234771729
273,24639,89,112,243.61,243.61,1.2380633354187012,0,0.001,-64.81639862060547,-0.08107851445674896,0.01678568497300148,24538,0.14022861421108246,-64.81639862060547,-64.81639862060547,-64.81639862060547,1.2380633354187012,0.14022861421108246
296,26639,89,116,262.89,262.89,1.3902055025100708,0,0.001,-69.54752349853516,0.31254056096076965,0.015318022109568119,26538,0.15105831623077393,-69.54752349853516,-69.54752349853516,-69.54752349853516,1.3902055025100708,0.15105831623077393
318,28639,90,120,282.39,282.39,1.171248435974121,0,0.001,-69.45785522460938,-0.0692107230424881,0.01444486528635025,28538,0.18324708938598633,-69.45785522460938,-69.45785522460938,-69.45785522460938,1.171248435974121,0.18324708938598633
340,30639,90,124,301.13,301.13,1.303189754486084,0,0.001,-73.48403930664062,0.33279359340667725,0.013089333660900593,30538,0.14219966530799866,-73.48403930664062,-73.48403930664062,-73.48403930664062,1.303189754486084,0.14219966530799866
362,32639,90,128,319.83,319.83,1.2993576526641846,0,0.001,-74.3216781616211,0.13124430179595947,0.015201831236481667,32538,1.3987332582473755,-74.3216781616211,-74.3216781616211,-74.3216781616211,1.2993576526641846,1.3987332582473755
384,34639,89,132,338.43,338.43,1.5129375457763672,0,0.001,-75.97441864013672,-0.5480256080627441,0.015142456628382206,34538,0.09956374764442444,-75.97441864013672,-75.97441864013672,-75.97441864013672,1.5129375457763672,0.09956374764442444
407,36639,89,136,356.05,356.05,1.3229550123214722,0,0.001,-78.53274536132812,0.11052170395851135,0.015568618662655354,36538,0.4258466362953186,-78.53274536132812,-78.53274536132812,-78.53274536132812,1.3229550123214722,0.4258466362953186
429,38639,89,140,373.03,373.03,1.327204704284668,0,0.001,-80.64682006835938,-0.6662642955780029,0.013191680423915386,38538,0.09773122519254684,-80.64682006835938,-80.64682006835938,-80.64682006835938,1.327204704284668,0.09773122519254684
451,40639,90,144,387.79,387.79,1.2936601638793945,0,0.001,-80.15470886230469,-1.4724137783050537,0.01092366874217987,40538,1.658226728439331,-80.15470886230469,-80.15470886230469,-80.15470886230469,1.2936601638793945,1.658226728439331
473,42639,90,148,400.65,400.65,1.316413164138794,0,0.001,-83.51731872558594,0.49994325637817383,0.011374206282198429,42538,0.23047885298728943,-83.51731872558594,-83.51731872558594,-83.51731872558594,1.316413164138794,0.23047885298728943
496,44639,89,152,413.24,413.24,1.0475451946258545,0,0.001,-84.99978637695312,-0.1321077048778534,0.00796208344399929,44538,0.06284043192863464,-84.99978637695312,-84.99978637695312,-84.99978637695312,1.0475451946258545,0.06284043192863464
518,46639,89,156,427.38,427.38,1.1802653074264526,0,0.001,-85.3388671875,0.6578993797302246,0.009485287591814995,46538,0.08791578561067581,-85.3388671875,-85.3388671875,-85.3388671875,1.1802653074264526,0.08791578561067581
540,48639,89,160,440.83,440.83,1.244788646697998,0,0.001,-85.0470199584961,0.016017630696296692,0.009954660199582577,48538,0.06832019984722137,-85.0470199584961,-85.0470199584961,-85.0470199584961,1.244788646697998,0.06832019984722137
563,50639,89,164,450.76,450.76,1.30924654006958,0,0.001,-86.75540161132812,0.5499086380004883,0.009855959564447403,50538,0.19298036396503448,-86.75540161132812,-86.75540161132812,-86.75540161132812,1.30924654006958,0.19298036396503448
585,52639,89,168,462.76,462.76,1.3539228439331055,0,0.001,-86.75496673583984,1.4506726264953613,0.009275233373045921,52538,0.11199434101581573,-86.75496673583984,-86.75496673583984,-86.75496673583984,1.3539228439331055,0.11199434101581573
607,54639,89,172,474.53,474.53,1.1731616258621216,0,0.001,-89.97981262207031,0.060145556926727295,0.007996398955583572,54538,0.1152748167514801,-89.97981262207031,-89.97981262207031,-89.97981262207031,1.1731616258621216,0.1152748167514801
630,56639,89,176,481.44,481.44,1.295766830444336,0,0.001,-89.61744689941406,0.1888314187526703,0.00777751998975873,56538,0.18124105036258698,-89.61744689941406,-89.61744689941406,-89.61744689941406,1.295766830444336,0.18124105036258698
652,58639,89,180,487.24,487.24,1.175161600112915,0,0.001,-90.06212615966797,0.0378742516040802,0.009378827176988125,58538,0.05460117757320404,-90.06212615966797,-90.06212615966797,-90.06212615966797,1.175161600112915,0.05460117757320404
674,60639,89,184,494.53,494.53,1.1286041736602783,0,0.001,-90.90829467773438,-0.22849830985069275,0.008592274971306324,60538,0.07398170232772827,-90.90829467773438,-90.90829467773438,-90.90829467773438,1.1286041736602783,0.07398170232772827
696,62639,89,188,500.0,500.0,1.2407276630401611,0,0.001,-91.82930755615234,0.4953784942626953,0.006563414819538593,62538,0.04640759527683258,-91.82930755615234,-91.82930755615234,-91.82930755615234,1.2407276630401611,0.04640759527683258
719,64639,89,192,500.0,500.0,1.3000380992889404,0,0.001,-91.3676528930664,0.09734407067298889,0.00532322283834219,64538,0.025460753589868546,-91.3676528930664,-91.3676528930664,-91.3676528930664,1.3000380992889404,0.025460753589868546
