train/ent_coef_loss,rollout/ep_len_mean,train/Main_losses,train/Beta,time/episodes,train/RL_loss,train/critic_los,train/n_updates,train/critic_loss,rollout/ep_rew_mean,train/MSE_loss,time/fps,train/learning_rate,time/total_timesteps,train/ent_coef,train/MSE_losses,train/actor_loss,train/loss,time/time_elapsed
-0.0568605437874794,200.0,28.389507293701172,0.8604,4,13.432744979858398,1.2134461402893066,699,1.2134461402893066,-433.48299275,1.7383499145507812,99,0.001,800,0.7239750027656555,1.7383499145507812,13.432744979858398,28.389507293701172,8
0.012957107275724411,200.0,27.18764877319336,0.7004,8,16.89936065673828,0.6761012077331543,1499,0.6761012077331543,-320.67685074999997,1.4689161777496338,93,0.001,1600,0.5614150166511536,1.4689161777496338,16.89936065673828,27.18764877319336,17
-0.1078033372759819,200.0,29.0328426361084,0.5404,12,20.694128036499023,0.780536949634552,2299,0.780536949634552,-292.5704958333333,1.5430635213851929,91,0.001,2400,0.4750210642814636,1.5430635213851929,20.694128036499023,29.0328426361084,26
-0.07586240768432617,200.0,26.200407028198242,0.3804,16,19.629241943359375,0.3655772805213928,3099,0.3655772805213928,-257.65566756249996,1.72743558883667,90,0.001,3200,0.36830490827560425,1.72743558883667,19.629241943359375,26.200407028198242,35
-0.13647374510765076,200.0,28.032583236694336,0.2204,20,24.243478775024414,0.6303609609603882,3899,0.6303609609603882,-247.9623478,1.7191946506500244,89,0.001,4000,0.24259231984615326,1.7191946506500244,24.243478775024414,28.032583236694336,44
-0.804957389831543,200.0,24.537458419799805,0.0604,24,23.482006072998047,0.9459941387176514,4699,0.9459941387176514,-221.38088241666665,1.7474377155303955,89,0.001,4800,0.11178181320428848,1.7474377155303955,23.482006072998047,24.537458419799805,53
-0.9368085861206055,200.0,22.085830688476562,0,28,22.085830688476562,0.9401267766952515,5499,0.9401267766952515,-211.18144207142856,2.185061454772949,89,0.001,5600,0.03160122036933899,2.185061454772949,22.085830688476562,22.085830688476562,62
1.3590571880340576,200.0,25.05748748779297,0,32,25.05748748779297,1.1371206045150757,6299,1.1371206045150757,-206.64852596875,2.010373115539551,89,0.001,6400,0.027722101658582687,2.010373115539551,25.05748748779297,25.05748748779297,71
-0.6179232001304626,200.0,17.328453063964844,0,36,17.328453063964844,0.2855459451675415,7099,0.2855459451675415,-199.94974155555556,2.0295722484588623,89,0.001,7200,0.02758754976093769,2.0295722484588623,17.328453063964844,17.328453063964844,80
0.18463844060897827,200.0,22.088363647460938,0,40,22.088363647460938,0.38383543491363525,7899,0.38383543491363525,-194.940721475,1.9985196590423584,88,0.001,8000,0.0230538509786129,1.9985196590423584,22.088363647460938,22.088363647460938,89
-0.9603914618492126,200.0,19.47308349609375,0,44,19.47308349609375,0.49615857005119324,8699,0.49615857005119324,-188.20335511363635,2.1176459789276123,88,0.001,8800,0.019065646454691887,2.1176459789276123,19.47308349609375,19.47308349609375,98
-1.632783055305481,200.0,16.90532684326172,0,48,16.90532684326172,0.4384274482727051,9499,0.4384274482727051,-185.1152641041667,2.2248330116271973,88,0.001,9600,0.011861970648169518,2.2248330116271973,16.90532684326172,16.90532684326172,108
1.3706642389297485,200.0,16.632362365722656,0,52,16.632362365722656,0.3870738744735718,10299,0.3870738744735718,-180.13564136538466,2.3046255111694336,88,0.001,10400,0.011182600632309914,2.3046255111694336,16.632362365722656,16.632362365722656,117
-0.9935755133628845,200.0,17.036651611328125,0,56,17.036651611328125,0.47216999530792236,11099,0.47216999530792236,-181.6020786607143,2.087427854537964,88,0.001,11200,0.011584371328353882,2.087427854537964,17.036651611328125,17.036651611328125,126
-0.3190501630306244,200.0,15.390035629272461,0,60,15.390035629272461,0.23365283012390137,11899,0.23365283012390137,-178.97018585000004,2.3445305824279785,88,0.001,12000,0.011844376102089882,2.3445305824279785,15.390035629272461,15.390035629272461,135
1.05576491355896,200.0,18.088706970214844,0,64,18.088706970214844,0.6121658086776733,12699,0.6121658086776733,-177.233782375,2.305009365081787,88,0.001,12800,0.011996342800557613,2.305009365081787,18.088706970214844,18.088706970214844,144
1.044730544090271,200.0,20.094802856445312,0,68,20.094802856445312,0.4988960027694702,13499,0.4988960027694702,-172.1068076617647,2.2551708221435547,88,0.001,13600,0.012757557444274426,2.2551708221435547,20.094802856445312,20.094802856445312,153
0.32915377616882324,200.0,17.407405853271484,0,72,17.407405853271484,0.3129279315471649,14299,0.3129279315471649,-170.72121093055554,2.134631872177124,88,0.001,14400,0.011238702572882175,2.134631872177124,17.407405853271484,17.407405853271484,162
1.2591667175292969,200.0,19.162179946899414,0,76,19.162179946899414,0.47017472982406616,15099,0.47017472982406616,-168.18236951315788,2.3703160285949707,88,0.001,15200,0.011755784042179585,2.3703160285949707,19.162179946899414,19.162179946899414,171
0.2507912814617157,200.0,14.184660911560059,0,80,14.184660911560059,0.4693000614643097,15899,0.4693000614643097,-167.412518225,2.2621331214904785,88,0.001,16000,0.010443178936839104,2.2621331214904785,14.184660911560059,14.184660911560059,181
-0.3260658383369446,200.0,16.194623947143555,0,84,16.194623947143555,0.1436896026134491,16699,0.1436896026134491,-167.06924138095238,2.5272216796875,88,0.001,16800,0.011201241053640842,2.5272216796875,16.194623947143555,16.194623947143555,190
0.890770673751831,200.0,18.620731353759766,0,88,18.620731353759766,0.7389891743659973,17499,0.7389891743659973,-167.40752520454546,2.2029855251312256,88,0.001,17600,0.012599768117070198,2.2029855251312256,18.620731353759766,18.620731353759766,199
