time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,train/ent_coef_loss,train/Beta,train/loss,train/RL_loss,train/ent_coef,train/MSE_loss,train/learning_rate,train/n_updates,train/critic_los,train/MSE_losses,train/Main_losses,train/actor_loss,train/critic_loss
172120,1928,89,491.03,408,491.03,-0.3433934450149536,0,-98.80709838867188,-98.80709838867188,0.00358623662032187,1.0872125625610352,0.001,172019,0.07230192422866821,1.0872125625610352,-98.80709838867188,-98.80709838867188,0.07230192422866821
174120,1950,89,491.03,412,491.03,0.40855276584625244,0,-99.72305297851562,-99.72305297851562,0.00561853963881731,1.1948459148406982,0.001,174019,0.13517659902572632,1.1948459148406982,-99.72305297851562,-99.72305297851562,0.13517659902572632
176120,1973,89,491.03,416,491.03,-0.32952797412872314,0,-100.14566040039062,-100.14566040039062,0.005621602758765221,1.2029553651809692,0.001,176019,0.08242881298065186,1.2029553651809692,-100.14566040039062,-100.14566040039062,0.08242881298065186
178120,1995,89,491.03,420,491.03,0.9623956680297852,0,-100.33062744140625,-100.33062744140625,0.005240469239652157,1.1200408935546875,0.001,178019,0.2742152214050293,1.1200408935546875,-100.33062744140625,-100.33062744140625,0.2742152214050293
180120,2017,89,491.03,424,491.03,-0.15412288904190063,0,-100.5269775390625,-100.5269775390625,0.005853530019521713,1.662773847579956,0.001,180019,0.07495366036891937,1.662773847579956,-100.5269775390625,-100.5269775390625,0.07495366036891937
182120,2040,89,491.03,428,491.03,1.4388692378997803,0,-99.31105041503906,-99.31105041503906,0.005954062566161156,1.3994946479797363,0.001,182019,0.033212337642908096,1.3994946479797363,-99.31105041503906,-99.31105041503906,0.033212337642908096
183638,2057,89,486.21,432,486.21,-0.8666003942489624,0,-100.11580657958984,-100.11580657958984,0.009348376654088497,1.3828239440917969,0.001,183537,0.19035552442073822,1.3828239440917969,-100.11580657958984,-100.11580657958984,0.19035552442073822
185638,2079,89,486.21,436,486.21,0.6221760511398315,0,-99.74124908447266,-99.74124908447266,0.0077741676941514015,1.4489915370941162,0.001,185537,1.3382211923599243,1.4489915370941162,-99.74124908447266,-99.74124908447266,1.3382211923599243
187638,2101,89,486.21,440,486.21,-2.0880050659179688,0,-100.60115051269531,-100.60115051269531,0.005407240241765976,1.3125804662704468,0.001,187537,0.5447594523429871,1.3125804662704468,-100.60115051269531,-100.60115051269531,0.5447594523429871
189638,2124,89,486.21,444,486.21,-1.9197804927825928,0,-100.1600570678711,-100.1600570678711,0.0043701971881091595,1.2315104007720947,0.001,189537,0.0668751671910286,1.2315104007720947,-100.1600570678711,-100.1600570678711,0.0668751671910286
191638,2146,89,486.21,448,486.21,-1.0110000371932983,0,-100.47869873046875,-100.47869873046875,0.006930543575435877,1.38930082321167,0.001,191537,0.06359772384166718,1.38930082321167,-100.47869873046875,-100.47869873046875,0.06359772384166718
193638,2168,89,486.21,452,486.21,-0.8501701951026917,0,-99.8230972290039,-99.8230972290039,0.0024663866497576237,1.210167407989502,0.001,193537,0.01407614629715681,1.210167407989502,-99.8230972290039,-99.8230972290039,0.01407614629715681
