time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/episodes,train/Beta,train/actor_loss,train/critic_los,train/MSE_loss,train/MSE_losses,train/RL_loss,train/Main_losses,train/loss,train/n_updates,train/learning_rate,train/critic_loss
3773,18.25,0,73,18.25,4,,,,,,,,,,,
711,15.625,0,125,15.625,8,0.0,-1.016242179003629,0.01478651911020279,1.0912927389144897,0.7900669534098018,-1.1783373355865479,-1.016242179003629,-1.1783373355865479,23,0.001,0.22480634203099686
454,12.416666666666666,0,149,12.416666666666666,12,0.0,-1.1071612040201824,0.011563871055841446,1.2995634078979492,1.3206064701080322,-1.0728145837783813,-1.1071612040201824,-1.0728145837783813,47,0.001,0.009479223129649958
360,10.8125,0,173,10.8125,16,0.0,-1.2058829069137573,0.00826462171971798,1.237674593925476,1.3061720530192058,-1.223091959953308,-1.2058829069137573,-1.223091959953308,71,0.001,0.008145914878696203
312,9.85,0,197,9.85,20,0.0,-1.275773247083028,0.011380826123058796,1.3824899196624756,1.3785148461659749,-1.2805135250091553,-1.275773247083028,-1.2805135250091553,95,0.001,0.013103753017882505
283,9.25,0,222,9.25,24,0.0,-1.3431528806686401,0.013375574722886086,1.4468269348144531,1.4561909437179565,-1.3368630409240723,-1.3431528806686401,-1.3368630409240723,119,0.001,0.01053960807621479
261,8.785714285714286,0,246,8.785714285714286,28,0.0,-1.4206315279006958,0.011808772571384907,1.338087797164917,1.3987579345703125,-1.466561198234558,-1.4206315279006958,-1.466561198234558,144,0.001,0.013334523420780897
248,8.40625,1,269,8.40625,32,0.0,-1.4825323422749836,0.015256708487868309,1.3727328777313232,1.4152388175328572,-1.4135723114013672,-1.4825323422749836,-1.4135723114013672,167,0.001,0.02027034666389227
238,8.13888888888889,1,293,8.13888888888889,36,0.0,-1.5131803750991821,0.013240231201052666,1.4370063543319702,1.4726804892222087,-1.525744915008545,-1.5131803750991821,-1.525744915008545,191,0.001,0.018308985667924087
229,7.925,1,317,7.925,40,0.0,-1.5713565349578857,0.027344025671482086,1.4909636974334717,1.470330834388733,-1.6284860372543335,-1.5713565349578857,-1.6284860372543335,215,0.001,0.014894659630954266
222,7.704545454545454,1,339,7.704545454545454,44,0.0,-1.583140214284261,0.02517383173108101,1.4273027181625366,1.518611987431844,-1.626954436302185,-1.583140214284261,-1.626954436302185,238,0.001,0.018401234255482752
217,7.5625,1,363,7.5625,48,0.0,-1.6850300232569377,0.015776116400957108,1.3782079219818115,1.4621522823969524,-1.6961135864257812,-1.6850300232569377,-1.6961135864257812,261,0.001,0.018476461060345173
213,7.423076923076923,1,386,7.423076923076923,52,0.0,-1.7033856709798176,0.009916504845023155,1.5131573677062988,1.5055864254633586,-1.724541425704956,-1.7033856709798176,-1.724541425704956,284,0.001,0.02031190344132483
209,7.303571428571429,1,409,7.303571428571429,56,0.0,-1.7162485122680664,0.0540471114218235,1.5298813581466675,1.5507710576057434,-1.7635070085525513,-1.7162485122680664,-1.7635070085525513,307,0.001,0.031276234239339826
206,7.216666666666667,2,433,7.216666666666667,60,0.0,-1.7394105990727742,0.03621333837509155,1.489445447921753,1.5248557726542156,-1.708402156829834,-1.7394105990727742,-1.708402156829834,331,0.001,0.028629861151178677
203,7.125,2,456,7.125,64,0.0,-1.803865114847819,0.02159733697772026,1.5080944299697876,1.5090545018513997,-1.797757863998413,-1.803865114847819,-1.797757863998413,354,0.001,0.028374982997775078
200,7.0588235294117645,2,480,7.0588235294117645,68,0.0,-1.8162662982940674,0.018271423876285553,1.4744402170181274,1.5571677287419636,-1.8888720273971558,-1.8162662982940674,-1.8888720273971558,378,0.001,0.01948636583983898
198,7.0,2,504,7.0,72,0.0,-1.9081594546635945,0.00957288034260273,1.4919625520706177,1.5287881294886272,-1.9494515657424927,-1.9081594546635945,-1.9494515657424927,402,0.001,0.016644935278842848
196,6.947368421052632,2,528,6.947368421052632,76,0.0,-1.9194711446762085,0.019995156675577164,1.5042462348937988,1.5311458905537922,-1.993844747543335,-1.9194711446762085,-1.993844747543335,426,0.001,0.025857520910600822
194,6.8875,2,551,6.8875,80,0.0,-1.9729410807291667,0.007259609643369913,1.5269306898117065,1.5524918635686238,-1.9763801097869873,-1.9729410807291667,-1.9763801097869873,449,0.001,0.01789382309652865
192,6.821428571428571,2,573,6.821428571428571,84,0.0,-1.9262173573176067,0.026670269668102264,1.636256217956543,1.61845858891805,-1.9088332653045654,-1.9262173573176067,-1.9088332653045654,472,0.001,0.030883440747857094
191,6.784090909090909,3,597,6.784090909090909,88,0.0,-2.001351793607076,0.03521488234400749,1.514737844467163,1.5563180049260457,-2.0822737216949463,-2.001351793607076,-2.0822737216949463,495,0.001,0.043059968700011574
190,6.75,3,621,6.75,92,0.0,-2.0629149278004966,0.047553036361932755,1.5632061958312988,1.5355408986409504,-2.1215193271636963,-2.0629149278004966,-2.1215193271636963,519,0.001,0.03725094379236301
188,6.708333333333333,3,644,6.708333333333333,96,0.0,-2.0366360743840537,0.024880744516849518,1.613228678703308,1.5692458550135295,-2.0417115688323975,-2.0366360743840537,-2.0417115688323975,542,0.001,0.034635710840423904
187,6.67,3,667,6.67,100,0.0,-2.1369196573893228,0.013302961364388466,1.4796090126037598,1.5277714331944783,-2.130376100540161,-2.1369196573893228,-2.130376100540161,566,0.001,0.033716071086625256
186,6.18,3,691,6.18,104,0.0,-2.0987207094828286,0.05545823648571968,1.669301152229309,1.647414008776347,-2.031355619430542,-2.0987207094828286,-2.031355619430542,589,0.001,0.051596960673729576
185,5.89,3,714,5.89,108,0.0,-2.1785195668538413,0.03874514251947403,1.5687615871429443,1.559312065442403,-2.195981025695801,-2.1785195668538413,-2.195981025695801,612,0.001,0.03337507471442223
184,5.89,3,738,5.89,112,0.0,-2.1978400548299155,0.029746247455477715,1.4859626293182373,1.5777452786763508,-2.2422497272491455,-2.1978400548299155,-2.2422497272491455,636,0.001,0.026098092086613178
183,5.89,4,762,5.89,116,0.0,-2.1889241536458335,0.0152240339666605,1.6196966171264648,1.5938947598139446,-2.162094831466675,-2.1889241536458335,-2.162094831466675,660,0.001,0.02491761650890112
