train/Main_losses,rollout/ep_rew_mean,train/loss,train/RL_loss,time/episodes,train/critic_loss,train/ent_coef,train/ent_coef_loss,time/fps,train/n_updates,train/MSE_loss,train/critic_los,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/MSE_losses,train/learning_rate,train/actor_loss,train/Beta
21.07480812072754,-1366.73379425,21.07480812072754,21.07480812072754,4,0.04071234166622162,0.5032521486282349,-1.024735689163208,100,699,4.518989086151123,0.04071234166622162,200.0,800,7,4.518989086151123,0.001,21.07480812072754,0.0
45.86991882324219,-1391.218320875,45.86991882324219,45.86991882324219,8,0.057348910719156265,0.2620844841003418,-1.0113303661346436,93,1499,4.968656539916992,0.057348910719156265,200.0,1600,17,4.968656539916992,0.001,45.86991882324219,-0.0
58.660926818847656,-1257.7339719166664,58.660926818847656,58.660926818847656,12,0.11398822069168091,0.20642556250095367,0.3421865701675415,91,2299,4.026093482971191,0.11398822069168091,200.0,2400,26,4.026093482971191,0.001,58.660926818847656,-0.0
57.21430206298828,-992.5186637500001,57.21430206298828,57.21430206298828,16,0.14610722661018372,0.21778708696365356,-0.015398059040307999,90,3099,2.9643988609313965,0.14610722661018372,200.0,3200,35,2.9643988609313965,0.001,57.21430206298828,-0.0
61.21631622314453,-807.1333841000001,61.21631622314453,61.21631622314453,20,0.2607983946800232,0.19141745567321777,-0.32457971572875977,90,3899,3.0655055046081543,0.2607983946800232,200.0,4000,44,3.0655055046081543,0.001,61.21631622314453,-0.0
68.20693969726562,-751.249373,68.20693969726562,68.20693969726562,24,0.6666460633277893,0.14416709542274475,-0.12586116790771484,90,4699,2.49908447265625,0.6666460633277893,200.0,4800,53,2.49908447265625,0.001,68.20693969726562,-0.0
57.603424072265625,-661.8128587142857,57.603424072265625,57.603424072265625,28,1.069146752357483,0.11665846407413483,0.0026209354400634766,90,5499,2.3927955627441406,1.069146752357483,200.0,5600,62,2.3927955627441406,0.001,57.603424072265625,-0.0
58.43214416503906,-597.936038875,58.43214416503906,58.43214416503906,32,2.1734631061553955,0.10090591013431549,0.07288301736116409,89,6299,2.460385799407959,2.1734631061553955,200.0,6400,71,2.460385799407959,0.001,58.43214416503906,-0.0
60.25569152832031,-574.9434727777777,60.25569152832031,60.25569152832031,36,2.2340757846832275,0.09498172998428345,0.8419770002365112,89,7099,2.5581655502319336,2.2340757846832275,200.0,7200,80,2.5581655502319336,0.001,60.25569152832031,-0.0
61.74290466308594,-536.95083345,61.74290466308594,61.74290466308594,40,2.3179547786712646,0.09220832586288452,0.11808960139751434,89,7899,3.005157709121704,2.3179547786712646,200.0,8000,89,3.005157709121704,0.001,61.74290466308594,-0.0
52.10382843017578,-501.78792688636366,52.10382843017578,52.10382843017578,44,3.8947598934173584,0.08468282222747803,-0.3108333945274353,89,8699,2.8323400020599365,3.8947598934173584,200.0,8800,98,2.8323400020599365,0.001,52.10382843017578,-0.0
45.34955596923828,-469.5977861666667,45.34955596923828,45.34955596923828,48,3.6793978214263916,0.0761888325214386,-0.2154841423034668,89,9499,2.772162437438965,3.6793978214263916,200.0,9600,107,2.772162437438965,0.001,45.34955596923828,-0.0
42.45729064941406,-443.1313932884615,42.45729064941406,42.45729064941406,52,0.9521852135658264,0.06971950829029083,-0.20330539345741272,89,10299,2.9701590538024902,0.9521852135658264,200.0,10400,116,2.9701590538024902,0.001,42.45729064941406,-0.0
41.603824615478516,-415.9537768214286,41.603824615478516,41.603824615478516,56,1.9773155450820923,0.05623334273695946,-0.006839781999588013,89,11099,3.152536392211914,1.9773155450820923,200.0,11200,125,3.152536392211914,0.001,41.603824615478516,-0.0
35.025123596191406,-400.6876569,35.025123596191406,35.025123596191406,60,0.7390909194946289,0.049035876989364624,-0.018897317349910736,89,11899,3.6773760318756104,0.7390909194946289,200.0,12000,134,3.6773760318756104,0.001,35.025123596191406,-0.0
36.456787109375,-385.009695625,36.456787109375,36.456787109375,64,1.045093059539795,0.04359429329633713,-0.35433894395828247,89,12699,3.3202760219573975,1.045093059539795,200.0,12800,143,3.3202760219573975,0.001,36.456787109375,-0.0
41.68128204345703,-367.6974082941176,41.68128204345703,41.68128204345703,68,1.834820032119751,0.038935478776693344,0.8707841038703918,88,13499,2.979865074157715,1.834820032119751,200.0,13600,152,2.979865074157715,0.001,41.68128204345703,-0.0
28.525598526000977,-357.1205704166666,28.525598526000977,28.525598526000977,72,0.6639172434806824,0.03616398945450783,0.004852078855037689,88,14299,3.201472759246826,0.6639172434806824,200.0,14400,161,3.201472759246826,0.001,28.525598526000977,-0.0
32.31300735473633,-343.46561918421054,32.31300735473633,32.31300735473633,76,1.4176955223083496,0.030815856531262398,0.09884504228830338,88,15099,3.2461295127868652,1.4176955223083496,200.0,15200,171,3.2461295127868652,0.001,32.31300735473633,-0.0
28.409170150756836,-331.16802443750004,28.409170150756836,28.409170150756836,80,0.7200448513031006,0.027452537789940834,-0.13494303822517395,88,15899,3.2324419021606445,0.7200448513031006,200.0,16000,180,3.2324419021606445,0.001,28.409170150756836,-0.0
33.657222747802734,-319.69381804761906,33.657222747802734,33.657222747802734,84,0.6288986802101135,0.021773582324385643,-0.40175509452819824,88,16699,3.7022619247436523,0.6288986802101135,200.0,16800,189,3.7022619247436523,0.001,33.657222747802734,-0.0
29.848609924316406,-312.0714430340909,29.848609924316406,29.848609924316406,88,2.5703771114349365,0.03773321211338043,-0.9241321086883545,88,17499,3.1740293502807617,2.5703771114349365,200.0,17600,198,3.1740293502807617,0.001,29.848609924316406,-0.0
