rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,time/episodes,train/critic_los,train/Beta,train/MSE_losses,train/loss,train/actor_loss,train/Main_losses,train/n_updates,train/MSE_loss,train/critic_loss,train/RL_loss,train/learning_rate
200.0,-1188.80249725,4553,800,0,4,,,,,,,,,,,
200.0,-1198.763888875,4549,1600,0,8,,,,,,,,,,,
200.0,-1206.175483,4560,2400,0,12,,,,,,,,,,,
200.0,-1163.717717125,4562,3200,0,16,,,,,,,,,,,
200.0,-1121.9629036000001,4561,4000,0,20,,,,,,,,,,,
200.0,-1181.4549138333332,4566,4800,1,24,,,,,,,,,,,
200.0,-1171.2272255357143,4449,5600,1,28,,,,,,,,,,,
200.0,-1169.86955775,4238,6400,1,32,,,,,,,,,,,
200.0,-1175.1149762777777,4271,7200,1,36,,,,,,,,,,,
200.0,-1200.8473986249999,4300,8000,1,40,,,,,,,,,,,
200.0,-1209.4723755454545,4325,8800,2,44,,,,,,,,,,,
200.0,-1214.786106,4339,9600,2,48,,,,,,,,,,,
200.0,-1208.3597627884615,2557,10400,4,52,0.5347923040390015,0.5,1.8874331390857697,13.538496017456055,7.429912694692612,12.148495550155639,200,1.7912932634353638,4.991186090409756,9.060262680053711,0.001
200.0,-1146.5151009464284,1106,11200,10,56,0.07410897314548492,0.46,1.651622612476349,23.547218322753906,16.968277311325075,20.767009220123292,1000,1.7799978256225586,0.06754130931571126,19.453224182128906,0.001
200.0,-1084.2614526166667,742,12000,16,60,0.19692251086235046,0.42,1.630993094444275,26.978364944458008,25.872243843078614,29.297329196929933,1800,1.549593448638916,0.23459215745329856,23.724218368530273,0.001
200.0,-1027.62144925,574,12800,22,64,0.29648643732070923,0.38,1.6516913759708405,39.46891403198242,33.4351997756958,36.57341325759888,2600,1.753051996231079,0.3525403296202421,36.13811492919922,0.001
200.0,-972.5519824264707,480,13600,28,68,0.748126208782196,0.34,1.6803799676895141,43.71748733520508,39.127079277038575,41.98372543334961,3400,1.5911306142807007,0.5242417086660862,41.01256561279297,0.001
200.0,-928.1676977777778,417,14400,34,72,0.3905350863933563,0.3,1.7008218634128571,45.62670135498047,43.59378269195557,46.14501564025879,4200,1.7640517950057983,0.6135944448411464,42.98062515258789,0.001
200.0,-884.3705764342106,375,15200,40,76,1.4339070320129395,0.26,1.6659536743164063,43.94261932373047,47.04334095001221,49.20908054351807,5000,1.567116618156433,0.6080992040038109,41.90536880493164,0.001
200.0,-846.3742587,343,16000,46,80,1.4210585355758667,0.22,1.6381290245056153,51.838924407958984,48.391204566955565,50.19314643859863,5800,1.9050519466400146,0.7404766489565372,49.74336624145508,0.001
200.0,-810.2537568690476,319,16800,52,84,0.5351740121841431,0.18,1.625429275035858,46.898216247558594,50.38974746704102,51.852633743286134,6600,1.7119148969650269,0.8483223171532154,45.35749435424805,0.001
200.0,-781.7248621363636,301,17600,58,88,1.0548889636993408,0.14,1.6000026655197144,59.79515075683594,51.15270946502685,52.27271137237549,7400,2.068483591079712,1.2026789471507073,58.34721374511719,0.001
200.0,-755.4248474130436,287,18400,63,92,0.8199350833892822,0.1,1.5683511018753051,51.1973991394043,52.09078960418701,52.87496520996094,8200,1.2755844593048096,1.4613145515322685,50.559608459472656,0.001
200.0,-733.8200624583333,274,19200,69,96,0.8764070272445679,0.06,1.5784098756313325,56.25942611694336,53.281150817871094,53.75467372894287,9000,1.7526742219924927,1.829154987037182,55.73362350463867,0.001
200.0,-710.7756861199999,263,20000,75,100,1.7295409440994263,0.02,1.7823986077308656,45.26863098144531,53.74847122192383,53.92671127319336,9800,1.6838656663894653,2.291942802667618,45.100242614746094,0.001
200.0,-666.8360393099999,254,20800,81,104,3.33298397064209,0,2.0595209193229675,50.75262451171875,52.258752975463864,52.258752975463864,10600,2.1122031211853027,2.899676651954651,50.75262451171875,0.001
200.0,-622.0125780399999,246,21600,87,108,2.6087241172790527,0,2.1466058433055877,55.76443862915039,51.60964527130127,51.60964527130127,11400,2.0410590171813965,3.0206592959165572,55.76443862915039,0.001
200.0,-582.38957608,240,22400,93,112,2.232405424118042,0,2.268033027648926,51.103271484375,51.481376800537106,51.481376800537106,12200,2.6143107414245605,3.017572289407253,51.103271484375,0.001
200.0,-545.79785932,234,23200,99,116,2.645660161972046,0,2.1937933886051177,40.721412658691406,50.6670703125,50.6670703125,13000,2.3899919986724854,3.6277575862407683,40.721412658691406,0.001
200.0,-509.9355747,228,24000,104,120,2.816051483154297,0,2.2438832974433898,57.34298324584961,50.495809669494626,50.495809669494626,13800,2.1618664264678955,3.4546272230148314,57.34298324584961,0.001
200.0,-457.21530899,224,24800,110,124,4.593969345092773,0,2.2018585026264192,45.55533981323242,48.848525543212894,48.848525543212894,14600,2.067603349685669,3.6140518015623093,45.55533981323242,0.001
200.0,-422.22855948000006,219,25600,116,128,5.180226802825928,0,2.1899574780464173,52.800086975097656,49.209837169647216,49.209837169647216,15400,1.9932705163955688,3.3333368092775344,52.800086975097656,0.001
200.0,-378.35123626,216,26400,122,132,2.4387292861938477,0,2.1784294056892395,43.53805160522461,48.01939472198487,48.01939472198487,16200,2.0951411724090576,3.628151471018791,43.53805160522461,0.001
200.0,-336.85396123000004,212,27200,127,136,1.1908231973648071,0,2.1789548170566557,40.71158218383789,47.96491390228272,47.96491390228272,17000,2.017061948776245,3.784914727807045,40.71158218383789,0.001
200.0,-284.66116979000003,209,28000,133,140,4.5561981201171875,0,2.2482134389877317,48.17555618286133,46.07037607192993,46.07037607192993,17800,1.8749706745147705,3.804253549575806,48.17555618286133,0.001
200.0,-238.95571753999997,206,28800,139,144,2.485309600830078,0,2.2133665335178376,50.105072021484375,44.85673671722412,44.85673671722412,18600,2.5015671253204346,4.119671396613121,50.105072021484375,0.001
