rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/n_updates,train/MSE_loss,train/loss,train/learning_rate,train/Beta,train/RL_loss,train/critic_loss,train/Main_losses,train/critic_los,train/actor_loss,train/MSE_losses
19.0,76,3804,19.0,0,4,,,,,,,,,,,
34.875,279,916,34.875,0,8,29,0.3159736394882202,2.2358784675598145,0.001,0.988,-0.8859409689903259,0.04334129010768313,1.9400367736816406,0.010893093422055244,-0.8787547813521491,0.2853027863634957
118.25,1419,201,118.25,7,12,1077,0.2705417275428772,-0.6376423835754395,0.001,0.98,-3.2889513969421387,0.03546897353129989,-0.30957357222292603,0.09559951722621918,-2.7793900816380477,0.25202208794966463
156.6875,2507,179,156.6875,13,16,2173,0.30089548230171204,-2.6038718223571777,0.001,0.972,-5.528575897216797,0.09455511016398668,-2.5194304351806642,0.02856070175766945,-4.986551204681397,0.2538190019726753
217.15,4343,178,217.15,24,20,3798,0.22544406354427338,-6.680172920227051,0.001,0.964,-8.853453636169434,0.1939788433164358,-5.897892841339111,0.10176753997802734,-8.348025407791138,0.2541631224155426
264.2916666666667,6343,172,264.2916666666667,36,24,5751,0.25918442010879517,-10.20604419708252,0.001,0.956,-12.683847427368164,0.2718155230730772,-9.748304851531982,0.1277809590101242,-12.163934429168702,0.252680904507637
297.9642857142857,8343,168,297.9642857142857,49,28,7751,0.23128356039524078,-13.979047775268555,0.001,0.948,-16.171615600585938,0.3187597413957119,-13.312304050445556,0.39545923471450806,-15.726778366088867,0.25469139230251314
320.0,10240,166,320.0,61,32,9648,0.29557207226753235,-16.23699951171875,0.001,0.94,-19.015377044677734,0.34970162640511987,-16.45732936859131,0.17646317183971405,-18.863847480773927,0.2560125685930252
340.0,12240,165,340.0,74,36,11648,0.28709930181503296,-20.007699966430664,0.001,0.932,-22.6834659576416,0.3700214889720082,-19.694177673339844,0.45712363719940186,-22.065198333740234,0.2544013625979423
356.0,14240,164,356.0,86,40,13648,0.2818285822868347,-22.556386947631836,0.001,0.924,-25.16048240661621,0.3627897256463766,-22.822973281860353,0.17563819885253906,-25.166331115722656,0.2536101517677307
369.09090909090907,16240,163,369.09090909090907,99,44,15648,0.21103553473949432,-26.886585235595703,0.001,0.916,-28.819671630859375,0.33980043686181305,-25.716887382507323,0.1842588186264038,-28.04956301879883,0.25465891766548154
380.0,18240,162,380.0,112,48,17648,0.25081461668014526,-29.335840225219727,0.001,0.908,-31.613237380981445,0.4079514957815409,-28.350984924316407,0.4000626802444458,-30.669247497558594,0.2553152585029602
389.2307692307692,20240,162,389.2307692307692,124,52,19648,0.27092960476875305,-30.636337280273438,0.001,0.9,-33.074703216552734,0.35370420598983765,-30.95171883392334,0.22878813743591309,-33.23680233001709,0.2538981633782387
397.14285714285717,22240,161,397.14285714285717,137,56,21648,0.22583894431591034,-33.489845275878906,0.001,0.892,-35.504329681396484,0.2920681850165129,-33.450868499755856,0.20858952403068542,-35.74817251586914,0.2575453033447266
404.0,24240,161,404.0,150,60,23648,0.25984957814216614,-35.92454528808594,0.001,0.884,-38.221614837646484,0.4118489644825459,-35.71972752380371,0.24089215695858002,-37.98195838928223,0.25590847271680833
410.0,26240,161,410.0,162,64,25648,0.32979393005371094,-36.544254302978516,0.001,0.876,-39.433250427246094,0.4784080943763256,-37.90151361083984,1.1676404476165771,-40.244913208007816,0.26751137286424637
411.13235294117646,27957,159,411.13235294117646,175,68,27648,0.32050567865371704,-41.22224807739258,0.001,0.868,-44.00423812866211,0.6883809271752834,-40.33154214477539,1.177073359489441,-42.7456231842041,0.2781199492812157
396.52777777777777,28550,159,396.52777777777777,179,72,28308,0.33279889822006226,-41.368228912353516,0.001,0.86,-44.23030090332031,0.9504092880594197,-42.02029959835223,0.7267550230026245,-44.582814686333954,0.2979668652388587
387.44736842105266,29446,159,387.44736842105266,184,76,29164,0.25300997495651245,-43.98505401611328,0.001,0.852,-46.14069747924805,0.7416025158188758,-43.27114461107952,3.0105531215667725,-45.65099548712009,0.2793251951111526
391.125,31290,160,391.125,194,80,30698,0.23508284986019135,-43.95072937011719,0.001,0.844,-45.93482971191406,0.7439277053773403,-45.138218200683596,1.80741286277771,-47.31744537353516,0.2582022889256477
396.3095238095238,33290,160,396.3095238095238,207,84,32698,0.22327987849712372,-48.04928970336914,0.001,0.836,-49.91590881347656,0.5977329315021634,-47.41987387084961,0.39155447483062744,-49.5642893371582,0.2565090446472168
401.02272727272725,35290,160,401.02272727272725,220,88,34698,0.25435706973075867,-50.3279914855957,0.001,0.828,-52.43406677246094,0.7693626644015312,-50.04800059509277,0.3821786046028137,-52.15533766174316,0.25450930309295655
405.32608695652175,37290,160,405.32608695652175,232,92,36698,0.28278473019599915,-53.086368560791016,0.001,0.82,-55.40520477294922,0.6936292702853679,-52.63879051208496,0.7148343324661255,-54.86220118713379,0.2711476458311081
409.2708333333333,39290,160,409.2708333333333,245,96,38698,0.2349259853363037,-55.503089904785156,0.001,0.812,-57.41069030761719,0.7544816890656948,-55.26032362365723,0.22730091214179993,-57.47101431274414,0.2722525390982628
406.6,40660,158,406.6,256,100,40420,0.30833691358566284,-57.543434143066406,0.001,0.804,-60.022464752197266,0.7058840894081571,-57.625276823301576,1.0102113485336304,-59.783243299604536,0.2684037975362829
422.96,42372,159,422.96,265,104,41780,0.36210739612579346,-58.0360221862793,0.001,0.796,-60.91839599609375,0.742529359459877,-58.78778317260742,0.35377925634384155,-60.87638655090332,0.2623873783349991
