time/episodes,train/std,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/RL_loss,train/critic_loss,train/MSE_loss,train/Main_losses,train/critic_los,train/actor_loss,train/ent_coef,train/loss,train/MSE_losses,train/ent_coef_loss,train/Beta,train/learning_rate
96,0.0431421622633934,114,41827,-111.20932319791666,364,435.6979166666667,31808,2.782186508178711,0.3484922269708477,8.430787086486816,2.66598934866488,0.1858063042163849,2.66598934866488,0.0024878888834791724,2.782186508178711,8.07178744673729,-1.7080871486105025,0.0,0.00073
100,0.042713552713394165,112,44320,-110.3165545,392,443.2,34304,3.562000274658203,0.2368944772752002,8.452038764953613,3.5966086350381374,1.1722768545150757,3.5966086350381374,0.002227986973593943,3.562000274658203,8.228275820612907,0.427213067188859,0.0,0.00073
104,0.04248135909438133,109,49180,-109.14611328999999,447,473.71,39168,2.7087831497192383,0.29453266627388075,8.326042175292969,3.4837779626250267,0.06532026082277298,3.4837779626250267,0.002535865940444637,2.7087831497192383,8.10553165525198,-0.11388019612058997,0.0,0.00073
108,0.04212145507335663,108,52613,-109.54778748000001,486,444.04,42624,2.6279754638671875,0.18078478891402483,8.103140830993652,3.35199130512774,0.10843491554260254,3.35199130512774,0.00255754495083238,2.6279754638671875,7.902272544801235,0.09218308748677373,0.0,0.00073
112,0.041832052171230316,106,56046,-109.11614092000002,524,460.56,46016,3.496530532836914,0.1283696658210829,8.573219299316406,3.641725119203329,0.16383549571037292,3.641725119203329,0.002359506059292471,3.496530532836914,8.266210310161114,0.7984176008030772,0.0,0.00073
116,0.041540175676345825,104,62446,-107.19107997,597,520.89,52416,3.784977912902832,0.2277637331862934,7.773958206176758,3.0311497282236814,0.3730981945991516,3.0311497282236814,0.002233522780443309,3.784977912902832,8.20801429450512,0.035196320386603475,0.0,0.00073
120,0.041510678827762604,102,68846,-104.59577858,670,577.78,58816,2.839104175567627,0.09482688820571639,7.9415202140808105,2.8430415596812963,0.1649666130542755,2.8430415596812963,0.0021808231867908034,2.839104175567627,8.067610204219818,0.2797462702728808,0.0,0.00073
124,0.04144817590713501,101,75246,-100.65070818000002,743,634.64,65216,1.751516342163086,0.09133499464951456,8.104719161987305,2.6969623435288668,0.03217202425003052,2.6969623435288668,0.0018026355392066762,1.751516342163086,8.164372451603413,-0.7758442687336355,-0.0,0.00073
128,0.041080985218286514,100,80252,-97.43093883,800,671.97,70208,1.8206771612167358,0.10796328002470545,8.319164276123047,2.3614069744944572,0.06622706353664398,2.3614069744944572,0.0018223530914838193,1.8206771612167358,7.99295537173748,0.10600538202561438,-0.0,0.00073
132,0.04081393778324127,99,85110,-94.46897137,855,717.15,75072,2.7019505500793457,0.1056495992525015,8.137167930603027,2.4173615481704473,0.13663345575332642,2.4173615481704473,0.0017271014730795287,2.7019505500793457,7.886813938617706,-0.5698355227941647,-0.0,0.00073
136,0.04071527719497681,99,88498,-92.79740869000001,893,746.17,78464,2.986701726913452,0.0917086468252819,8.240982055664062,2.2578364927321672,0.19057270884513855,2.2578364927321672,0.0017464047232351732,2.986701726913452,7.905689992010593,-0.14531423128210008,-0.0,0.00073
140,0.04068942740559578,98,93376,-89.89780929,948,789.53,83328,1.728590965270996,0.12513078065239824,8.07673454284668,2.1535003315657377,0.024377599358558655,2.1535003315657377,0.00188869180783513,1.728590965270996,8.20235924422741,-0.7928405874408782,-0.0,0.00073
144,0.04075410217046738,97,99598,-87.25041593000002,1020,848.64,89600,2.6103711128234863,0.09462926970445551,8.223554611206055,2.2376279160380363,0.0860205814242363,2.2376279160380363,0.0017505820123915328,2.6103711128234863,7.726900041103363,0.10285148117691278,-0.0,0.00073
