rollout/ep_len_mean,time/episodes,time/time_elapsed,time/total_timesteps,train/std,rollout/ep_rew_mean,time/fps,train/critic_los,train/ent_coef,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/n_updates,train/MSE_losses,train/RL_loss,train/Main_losses,train/actor_loss,train/MSE_loss,train/Beta,train/loss
471.75,4,0,1887,0.04978706315159798,-100.92233025,2118,,,,,,,,,,,,,
654.875,8,2,5239,0.04978706315159798,-100.19811812500001,2050,,,,,,,,,,,,,
717.8333333333334,12,4,8614,0.04978706315159798,-97.76718616666666,2057,,,,,,,,,,,,,
647.4375,16,8,10359,0.04999834671616554,-106.46413712500001,1211,3.2482855319976807,0.799207167699933,11.168593429028988,-1.2049975506961346,0.00073,320,6.711340755224228,-2.9468159675598145,2.945371776819229,-3.7391235530376434,4.260194778442383,0.996,1.2963380813598633
548.7,20,15,10974,0.05007810890674591,-109.16199285000002,696,0.4941132366657257,0.5112361889332533,3.890945238992572,-3.2075078561902046,0.00073,960,6.2411576099693775,-8.899362564086914,-2.5336937457323074,-8.68747516721487,4.739001750946045,0.986,-4.2267069816589355
488.0833333333333,24,24,11714,0.05006405711174011,-107.5029675,478,0.9658464193344116,0.31376323383301497,2.2051358935423195,-4.393533620983362,0.00073,1728,5.671343132853508,-7.808717727661133,-2.142322789877653,-7.666210852563381,5.359736442565918,0.974,-2.588334560394287
458.82142857142856,28,36,12847,0.05003194138407707,-107.65144714285712,348,0.27038976550102234,0.16892622667364776,1.7073437438812107,-4.909414179623127,0.00073,2816,4.927111022174358,-1.8802766799926758,2.628791591152549,-2.0864537581801414,8.645488739013672,0.957,6.39345645904541
424.78125,32,45,13593,0.04992217570543289,-108.16530275,298,1.2141993045806885,0.11560817051213235,2.0841689533554018,-4.648418011143804,0.00073,3584,5.0401125475764275,2.662977695465088,7.367967218160629,2.6050609182566404,6.958477973937988,0.945,9.238739013671875
407.55555555555554,36,57,14672,0.04976291209459305,-108.27297672222223,253,0.43886661529541016,0.07243823551107198,0.9823207624722272,-2.9333053620066494,0.00073,4672,4.344767026603222,5.690535545349121,10.358871564269066,6.326927907764912,6.674000263214111,0.928,11.884007453918457
389.325,40,68,15573,0.04966362938284874,-106.38253434999999,228,1.1921091079711914,0.05284785636467859,0.6866215432528406,-2.938889557728544,0.00073,5568,4.358503986150026,8.082084655761719,12.353480815887451,8.369808308780193,6.187564373016357,0.914,13.737518310546875
387.3181818181818,44,84,17042,0.049482785165309906,-105.05480545454544,201,0.2959709167480469,0.038010344142094254,0.4188128465320915,-1.5015965173952281,0.00073,7040,4.044357191771269,10.858778953552246,14.452942907810211,10.849420711398125,2.33261775970459,0.891,12.937141418457031
380.1875,48,98,18249,0.04936673119664192,-105.10143320833333,185,0.3494414985179901,0.03447795583633706,0.4296247537713498,-0.1810881698038429,0.00073,8256,3.818867191672325,10.661434173583984,15.075849384069443,11.74579730629921,2.960433006286621,0.872,13.242931365966797
391.36538461538464,52,121,20351,0.049220796674489975,-104.57093798076923,167,0.3237910866737366,0.029211736342404038,0.2541865687817335,0.5511097926646471,0.00073,10304,3.4157219510525465,12.891711235046387,14.589096710085869,11.719890385866165,3.037743091583252,0.84,15.443415641784668
398.5,56,143,22316,0.049096833914518356,-103.71889866071429,155,0.2440454661846161,0.025281080015702173,0.2617655146168545,-0.40561038930900395,0.00073,12288,3.17228246293962,11.567533493041992,14.280738830566406,11.71436221897602,2.99302339553833,0.809,13.988889694213867
424.5833333333333,60,180,25475,0.048983555287122726,-103.18507046666667,141,0.1771540641784668,0.019699093681992963,0.22546480665914714,-0.15667388262227178,0.00073,15488,3.2072493880987167,9.809497833251953,12.402295798063278,9.967993542551994,2.6856565475463867,0.759,11.84791088104248
471.828125,64,232,30197,0.04885406047105789,-99.12716709375,129,0.23618640005588531,0.015348085318692029,0.19670356961432844,-0.37532045342959464,0.00073,20160,2.785086141899228,7.823868751525879,10.21856515109539,8.30799612402916,3.493072032928467,0.686,10.220115661621094
467.04411764705884,68,250,31759,0.048747073858976364,-98.69353347058825,126,0.19592377543449402,0.015511902776779607,0.19946763024199754,-1.608127687126398,0.00073,21760,2.987554792314768,7.418341159820557,9.350837342441082,7.376063637435436,4.314157485961914,0.661,10.269999504089355
475.875,72,278,34263,0.048713989555835724,-96.416679125,122,0.17133069038391113,0.014263617020333186,0.2752221245318651,-0.8681891136802733,0.00073,24256,2.567807039245963,5.156802654266357,8.0242153480649,6.427039422094822,3.129664897918701,0.622,7.103454113006592
472.61842105263156,76,297,35919,0.048776958137750626,-93.80037136842105,120,0.1904953122138977,0.01598077011294663,0.3370294547639787,1.8834638819098473,0.00073,25920,2.6427333373576403,5.84932279586792,7.719557650387287,6.144488550722599,2.359177827835083,0.596,7.255393028259277
489.6125,80,334,39169,0.049049679189920425,-85.46180554999998,117,1.8818027973175049,0.014086021750699729,0.28064802731387317,0.6868502568686381,0.00073,29184,2.3763738181442022,2.8462722301483154,4.554633695632219,3.2595099275931716,3.3277552127838135,0.545,4.65989875793457
518.2261904761905,84,383,43531,0.04913507029414177,-73.16099004761904,113,0.15136651694774628,0.012444798863725737,0.23791291180532426,1.5793699473142624,0.00073,33536,2.5388916805386543,0.5355376601219177,2.2533547300845385,1.042303423746489,1.8098506927490234,0.477,1.398836374282837
548.6818181818181,88,436,48284,0.04937563091516495,-57.726235249999995,110,0.1375451385974884,0.012549513165140525,0.15267309889895841,0.1852220199070871,0.00073,38272,2.4117833115160465,-1.796170949935913,-0.6937716491520405,-1.6657203217037022,1.3870633840560913,0.403,-1.2371844053268433
