rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/time_elapsed,train/MSE_losses,train/critic_los,train/loss,train/n_updates,train/actor_loss,train/MSE_loss,train/Beta,train/learning_rate,train/critic_loss,train/Main_losses,train/RL_loss
200.0,104,-876.4479772399999,20800,308,67,1.9181929337978363,4.202839374542236,74.14291381835938,10600,69.46500385284423,2.373422384262085,0.0,0.001,1.7398918175697327,69.46500385284423,74.14291381835938
200.0,108,-816.935814,21600,298,72,1.993671635389328,1.765214443206787,72.55503845214844,11400,70.37868618011474,1.7155812978744507,0.0,0.001,1.7709061086177826,70.37868618011474,72.55503845214844
200.0,112,-773.9988018700001,22400,290,77,2.0548983132839203,2.197577953338623,68.96471405029297,12200,69.71359386444092,2.1538710594177246,0.0,0.001,2.1915091827511786,69.71359386444092,68.96471405029297
200.0,116,-730.39575978,23200,282,82,2.185392990112305,1.4147382974624634,69.02513885498047,13000,68.94775840759277,2.1107606887817383,0.0,0.001,2.3062770980596543,68.94775840759277,69.02513885498047
200.0,120,-680.72305748,24000,275,87,2.2692764472961424,2.8751988410949707,73.0829086303711,13800,69.3692777633667,2.560678005218506,0.0,0.001,2.7322709518671036,69.3692777633667,73.0829086303711
200.0,124,-637.3736653100001,24800,269,92,2.6641396176815033,0.9790760278701782,70.22026824951172,14600,67.70536754608155,1.6241081953048706,0.0,0.001,3.042970479130745,67.70536754608155,70.22026824951172
200.0,128,-591.0503107700001,25600,264,96,2.646040415763855,1.0584347248077393,79.54951477050781,15400,67.74375553131104,3.0843193531036377,0.0,0.001,2.9719133043289183,67.74375553131104,79.54951477050781
200.0,132,-560.53965419,26400,259,101,2.886311869621277,4.26430606842041,53.081581115722656,16200,67.48773719787597,2.825623035430908,0.0,0.001,3.40609918653965,67.48773719787597,53.081581115722656
200.0,136,-522.3058777599999,27200,254,106,2.936453790664673,3.757086753845215,65.03546905517578,17000,64.73718872070313,2.9775280952453613,0.0,0.001,3.258680465221405,64.73718872070313,65.03546905517578
200.0,140,-478.66205025000005,28000,250,111,3.1108724021911622,4.046418190002441,59.377197265625,17800,64.7233959197998,2.884342670440674,0.0,0.001,3.774500935077667,64.7233959197998,59.377197265625
200.0,144,-433.34007918,28800,246,116,3.0383616304397583,4.662440299987793,64.29267120361328,18600,64.10628734588623,3.0754175186157227,0.0,0.001,4.022800324559212,64.10628734588623,64.29267120361328
200.0,148,-398.04808033,29600,243,121,2.961099169254303,3.7483692169189453,60.77006530761719,19400,61.787436447143556,2.8220860958099365,0.0,0.001,3.400711523294449,61.787436447143556,60.77006530761719
200.0,152,-349.15482067000005,30400,239,126,2.8753013467788695,1.5364680290222168,59.154541015625,20200,61.996438064575194,3.435990571975708,0.0,0.001,3.8052583354711533,61.996438064575194,59.154541015625
200.0,156,-293.34302540000004,31200,236,131,2.587279278039932,1.9008150100708008,51.89510726928711,21000,61.196659812927244,2.6500473022460938,0.0,0.001,3.9826775884628294,61.196659812927244,51.89510726928711
200.0,160,-242.52345646,32000,233,136,2.701006883382797,3.467752456665039,41.122398376464844,21800,59.57741516113281,3.316323757171631,0.0,0.001,3.65003173828125,59.57741516113281,41.122398376464844
200.0,164,-213.70784354,32800,231,141,3.0313140392303466,3.089810371398926,47.29528045654297,22600,58.476300468444826,2.9932403564453125,0.0,0.001,3.2945270696282387,58.476300468444826,47.29528045654297
200.0,168,-183.51706001000002,33600,228,146,2.959923357963562,2.8016486167907715,65.16616821289062,23400,57.46774658203125,2.306575059890747,0.0,0.001,3.9394846761226656,57.46774658203125,65.16616821289062
200.0,172,-170.43490936,34400,226,152,3.025348949432373,2.868657112121582,65.28724670410156,24200,56.99271087646484,3.197096109390259,0.0,0.001,3.7264882493019105,56.99271087646484,65.28724670410156
200.0,176,-151.14103854,35200,224,157,3.2154211378097535,2.1187686920166016,64.37151336669922,25000,54.387060737609865,2.850698232650757,0.0,0.001,3.46451740950346,54.387060737609865,64.37151336669922
200.0,180,-153.50942135,36000,222,162,3.20181291103363,1.618070125579834,47.85335922241211,25800,54.70700698852539,3.0353896617889404,0.0,0.001,3.660900077819824,54.70700698852539,47.85335922241211
