rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,rollout/ep_len_mean,time/total_timesteps,train/MSE_loss,train/critic_loss,train/learning_rate,train/critic_los,train/Beta,train/n_updates,train/ent_coef,train/ent_coef_loss,train/loss,train/MSE_losses,train/Main_losses,train/RL_loss,train/actor_loss
19.0,2913,0,4,19.0,76,,,,,,,,,,,,,
15.75,396,0,8,15.75,126,0.43014785647392273,0.1934058666229248,0.001,0.1934058666229248,0.0,25,0.9762746095657349,-0.040642790496349335,-2.1295723915100098,0.43014785647392273,-2.1295723915100098,-2.1295723915100098,-2.1295723915100098
14.583333333333334,203,0,12,14.583333333333334,175,0.4987108111381531,0.09427930414676666,0.001,0.09427930414676666,0.0,74,0.9295873641967773,-0.12191509455442429,-2.682953357696533,0.4987108111381531,-2.682953357696533,-2.682953357696533,-2.682953357696533
14.375,156,1,16,14.375,230,0.4192913770675659,0.09015480428934097,0.001,0.09015480428934097,0.0,129,0.8797917366027832,-0.21421357989311218,-2.940842628479004,0.4192913770675659,-2.940842628479004,-2.940842628479004,-2.940842628479004
14.1,137,2,20,14.1,282,0.4996529817581177,0.14979210495948792,0.001,0.14979210495948792,0.0,181,0.8351309299468994,-0.29997116327285767,-3.1701107025146484,0.4996529817581177,-3.1701107025146484,-3.1701107025146484,-3.1701107025146484
13.666666666666666,127,2,24,13.666666666666666,328,0.4404865503311157,0.1557031273841858,0.001,0.1557031273841858,0.0,227,0.7975432276725769,-0.37956202030181885,-3.3551025390625,0.4404865503311157,-3.3551025390625,-3.3551025390625,-3.3551025390625
13.892857142857142,119,3,28,13.892857142857142,389,0.3915669620037079,0.18863412737846375,0.001,0.18863412737846375,0.0,288,0.7503209114074707,-0.48286640644073486,-3.6448802947998047,0.3915669620037079,-3.6448802947998047,-3.6448802947998047,-3.6448802947998047
14.0625,114,3,32,14.0625,450,0.3810795843601227,0.14259454607963562,0.001,0.14259454607963562,0.0,349,0.7060094475746155,-0.5743837356567383,-3.860686779022217,0.3810795843601227,-3.860686779022217,-3.860686779022217,-3.860686779022217
14.555555555555555,110,4,36,14.555555555555555,524,0.4064052700996399,0.16067850589752197,0.001,0.16067850589752197,0.0,423,0.6557520627975464,-0.7059746980667114,-4.293103218078613,0.4064052700996399,-4.293103218078613,-4.293103218078613,-4.293103218078613
16.625,105,6,40,16.625,665,0.34492066502571106,0.15591897070407867,0.001,0.15591897070407867,0.0,564,0.5701906681060791,-0.9136631488800049,-4.8998541831970215,0.34492066502571106,-4.8998541831970215,-4.8998541831970215,-4.8998541831970215
17.568181818181817,102,7,44,17.568181818181817,773,0.33545881509780884,0.16031360626220703,0.001,0.16031360626220703,0.0,672,0.5131129622459412,-1.1014783382415771,-5.2519636154174805,0.33545881509780884,-5.2519636154174805,-5.2519636154174805,-5.2519636154174805
22.395833333333332,98,10,48,22.395833333333332,1075,0.26150232553482056,0.2898871898651123,0.001,0.2898871898651123,0.0,974,0.3863736093044281,-1.3648803234100342,-6.467597961425781,0.26150232553482056,-6.467597961425781,-6.467597961425781,-6.467597961425781
33.55769230769231,95,18,52,33.55769230769231,1745,0.3353244364261627,0.06281236559152603,0.001,0.06281236559152603,-0.0,1644,0.22099052369594574,-1.7596452236175537,-9.521295547485352,0.3353244364261627,-9.521295547485352,-9.521295547485352,-9.521295547485352
47.232142857142854,93,28,56,47.232142857142854,2645,0.3704131245613098,0.09214842319488525,0.001,0.09214842319488525,-0.0,2544,0.10283124446868896,-2.5134809017181396,-13.631895065307617,0.3704131245613098,-13.631895065307617,-13.631895065307617,-13.631895065307617
57.75,92,37,60,57.75,3465,0.33642512559890747,0.061439745128154755,0.001,0.061439745128154755,-0.0,3364,0.04953949153423309,-3.253065347671509,-16.578453063964844,0.33642512559890747,-16.578453063964844,-16.578453063964844,-16.578453063964844
65.5625,92,45,64,65.5625,4196,0.3551550507545471,0.09886877238750458,0.001,0.09886877238750458,-0.0,4095,0.027493959292769432,-2.811086416244507,-18.478132247924805,0.3551550507545471,-18.478132247924805,-18.478132247924805,-18.478132247924805
74.27941176470588,91,55,68,74.27941176470588,5051,0.3287103474140167,0.34078288078308105,0.001,0.34078288078308105,-0.0,4950,0.014833205379545689,-2.4437153339385986,-21.493867874145508,0.3287103474140167,-21.493867874145508,-21.493867874145508,-21.493867874145508
82.84722222222223,91,65,72,82.84722222222223,5965,0.28254833817481995,0.8397369384765625,0.001,0.8397369384765625,-0.0,5864,0.009686445817351341,-2.1433072090148926,-24.478883743286133,0.28254833817481995,-24.478883743286133,-24.478883743286133,-24.478883743286133
88.23684210526316,91,73,76,88.23684210526316,6706,0.3198322057723999,0.4183273911476135,0.001,0.4183273911476135,-0.0,6605,0.009553338401019573,-0.31636568903923035,-27.50311279296875,0.3198322057723999,-27.50311279296875,-27.50311279296875,-27.50311279296875
93.8125,91,82,80,93.8125,7505,0.33136510848999023,0.24369750916957855,0.001,0.24369750916957855,-0.0,7404,0.008157625794410706,-0.5754948854446411,-29.465986251831055,0.33136510848999023,-29.465986251831055,-29.465986251831055,-29.465986251831055
99.1547619047619,90,91,84,99.1547619047619,8329,0.31621766090393066,0.32919415831565857,0.001,0.32919415831565857,-0.0,8228,0.008560034446418285,-0.021179109811782837,-30.90475082397461,0.31621766090393066,-30.90475082397461,-30.90475082397461,-30.90475082397461
103.79545454545455,90,100,88,103.79545454545455,9134,0.29953163862228394,1.491963267326355,0.001,1.491963267326355,-0.0,9033,0.012589587830007076,-0.589064359664917,-33.74901580810547,0.29953163862228394,-33.74901580810547,-33.74901580810547,-33.74901580810547
